"method","region","n_pixels","avg_corr","mean_pixel_intravariance","median_pixel_intravariance","cluster_snr"
"voronoi",1,98,0.995850325323473,0.0753495118270568,0.034293192330286,32.5809021099
"voronoi",2,2139,0.994468454147999,0.194568081904155,0.030340708862562,34.2806754311913
"voronoi",3,193,0.997193099634228,0.0788788825972924,0.037910700929505,29.0034749655974
"voronoi",4,1151,0.989316009248893,0.319769082208707,0.0760751005523522,28.2353495856202
"voronoi",5,1464,0.9969791643975,0.106864230522336,0.0464882268246382,34.4768513412216
"voronoi",6,144,0.996494548065447,0.146140352294343,0.0790503995480885,36.2553460139023
"voronoi",7,1753,0.986266945747023,0.344193900619693,0.187978341929967,34.0361334501911
"voronoi",8,1521,0.994597280282465,0.212184321990943,0.0879773788323743,32.8152634629249
