"wavelength","throughput","filter","lambda_c"
0.747549987792969,0,"F090W",0.902
0.748549987792969,0,"F090W",0.902
0.749549987792969,4.02155383772693e-07,"F090W",0.902
0.750549987792969,4.23336137370633e-07,"F090W",0.902
0.751549987792969,4.5188503109321e-07,"F090W",0.902
0.752549987792969,4.30149032234103e-07,"F090W",0.902
0.753549987792969,4.65076544091882e-07,"F090W",0.902
0.754549987792969,4.47275787103707e-07,"F090W",0.902
0.755549987792969,4.48726180327014e-07,"F090W",0.902
0.756549987792969,4.16096448132386e-07,"F090W",0.902
0.757549987792969,4.56031134430561e-07,"F090W",0.902
0.758549987792969,5.04971670000322e-07,"F090W",0.902
0.759549987792969,5.07428527751523e-07,"F090W",0.902
0.760549987792969,5.25120476346474e-07,"F090W",0.902
0.761549987792969,5.16606927775151e-07,"F090W",0.902
0.762549987792969,5.79315052189015e-07,"F090W",0.902
0.763549987792969,5.7623210085828e-07,"F090W",0.902
0.764549987792969,5.91363920059361e-07,"F090W",0.902
0.765549987792969,6.18802435973883e-07,"F090W",0.902
0.766549987792969,6.28935990605287e-07,"F090W",0.902
0.767549987792969,6.8182783241131e-07,"F090W",0.902
0.768549987792969,7.27465750771528e-07,"F090W",0.902
0.769549987792969,9.55546346053004e-07,"F090W",0.902
0.770549987792969,1.09921790975858e-06,"F090W",0.902
0.771549987792969,1.48843897226852e-06,"F090W",0.902
0.772549987792969,1.96772835327785e-06,"F090W",0.902
0.773549987792969,2.90805983622221e-06,"F090W",0.902
0.774549987792969,4.39393264348598e-06,"F090W",0.902
0.775549987792969,6.48987121803666e-06,"F090W",0.902
0.776549987792969,9.42048001479138e-06,"F090W",0.902
0.777549987792969,1.33424021164364e-05,"F090W",0.902
0.778549987792969,1.87665564812875e-05,"F090W",0.902
0.779549987792969,2.54714675669789e-05,"F090W",0.902
0.780549987792969,3.57533917291697e-05,"F090W",0.902
0.781549987792969,5.09763664514373e-05,"F090W",0.902
0.782549987792969,7.68308828770615e-05,"F090W",0.902
0.783549987792969,0.000127561730578863,"F090W",0.902
0.784549987792969,0.000221143318861059,"F090W",0.902
0.785549987792969,0.000430548932583347,"F090W",0.902
0.786549987792969,0.000934865560220797,"F090W",0.902
0.787549987792969,0.00212153039945526,"F090W",0.902
0.788549987792969,0.00500202429390294,"F090W",0.902
