region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F430M,F444W,F460M,F480M,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F430M_err,F444W_err,F460M_err,F480M_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F430M_n_eff,F444W_n_eff,F460M_n_eff,F480M_n_eff
1,600,4.2254626357846043e-7,5.271008157228379e-7,6.484727725815715e-7,6.510751271963811e-7,6.665438112404053e-7,6.955247208455783e-7,7.400839762604489e-7,7.567102670164511e-7,7.747856829159738e-7,7.700526217249251e-7,6.890552555502239e-7,7.17837953443452e-7,6.813226560415126e-7,5.805751353284518e-7,6.500355863938993e-8,7.260170905170468e-8,8.052780715886728e-8,8.068922649253624e-8,8.164213441847323e-8,8.339812472985098e-8,8.602813355295167e-8,8.69890951221158e-8,8.802191107423049e-8,8.775264222374875e-8,8.300935221709803e-8,8.472531814301154e-8,8.254227135483447e-8,7.61954811867772e-8,600,600,600,600,600,600,600,600,600,600,600,600,600,600
2,21,6.276934414973475e-8,6.817054748117417e-8,9.435203522171648e-8,1.2485639869650363e-7,1.3008349567271498e-7,9.886583596201279e-8,9.748768806214247e-8,7.777606859635531e-8,8.138769566885617e-8,8.322999000383075e-8,8.351986155062659e-8,7.850104212644688e-8,6.761093810142696e-8,6.883009403954202e-8,2.5053810917649786e-8,2.6109490129294785e-8,3.0716776396900195e-8,3.5335024932282644e-8,3.60670896625601e-8,3.144293815183511e-8,3.122301844187113e-8,2.7888361120072172e-8,2.8528528820963796e-8,2.884960831689587e-8,2.889980303576939e-8,2.801803742706596e-8,2.6002103395961443e-8,2.623549009253344e-8,21,21,21,21,21,21,21,21,21,21,21,21,21,21
3,143,2.4294198200067156e-7,3.372771474739908e-7,4.6098896637097127e-7,4.996286211899989e-7,5.302390012104975e-7,5.637720541596488e-7,6.569702698166124e-7,7.103481146541454e-7,7.328547069267501e-7,7.692175903740468e-7,7.059459869395711e-7,7.234567844717644e-7,6.887638796652132e-7,6.296177215646319e-7,4.9289145052503346e-8,5.8075566934296105e-8,6.789616825498854e-8,7.068441279306202e-8,7.28175117132203e-8,7.508475572042896e-8,8.105370255679949e-8,8.428215200468872e-8,8.56069335350093e-8,8.770505061705665e-8,8.402059193671341e-8,8.505626281889913e-8,8.299179957472987e-8,7.934845439985785e-8,143,143,143,143,143,143,143,143,143,143,143,143,143,143
4,336,4.90310300277389e-7,6.582696679042477e-7,8.335107151182603e-7,8.740467176405159e-7,9.176415914850001e-7,9.431021054650989e-7,1.041129527453922e-6,1.1205801372116381e-6,1.1362644991175829e-6,1.1556880795829665e-6,1.037174332884474e-6,1.0614631450091536e-6,1.0003384981997448e-6,8.951294330437535e-7,7.002216079766383e-8,8.113381957631772e-8,9.129680800106103e-8,9.349046569787294e-8,9.579361103356528e-8,9.711344425284786e-8,1.0203575488297824e-7,1.0585745780112226e-7,1.0659570812737176e-7,1.0750293389405549e-7,1.0184175631264781e-7,1.0302733350956695e-7,1.0001692347796672e-7,9.46112801437415e-8,336,336,336,336,336,336,336,336,336,336,336,336,336,336
5,168,7.172547751662433e-7,8.612907285975223e-7,1.079195963299447e-6,1.1280847662655813e-6,1.2093164581046865e-6,1.2754033350883572e-6,1.3637241065569902e-6,1.5507397297046618e-6,1.5280895873856146e-6,1.4828170523028245e-6,1.281628345852073e-6,1.3302899450075437e-6,1.2720746201251378e-6,1.0988937741559363e-6,8.469089532920543e-8,9.280575028507244e-8,1.0388435701776505e-7,1.0621133490666529e-7,1.0996892552465385e-7,1.129337564720291e-7,1.1677859849120429e-7,1.2452870069605085e-7,1.2361592079443547e-7,1.2177097570040345e-7,1.1320902551705288e-7,1.1533819597199984e-7,1.1278628551934575e-7,1.048281343035321e-7,168,168,168,168,168,168,168,168,168,168,168,168,168,168
6,60,4.0607675196283983e-07,4.830634850419062e-7,6.145708149830569e-7,6.338027328440535e-7,6.929608673031813e-7,7.163902771698915e-7,7.928562808164568e-7,9.14915132531403e-7,8.87292655719296e-7,8.546186232683168e-7,7.454031962392072e-7,7.56495601546132e-7,7.052332634017778e-7,6.194737720701847e-7,6.372415177645284e-8,6.950276865290376e-8,7.839456709383992e-8,7.961172858593473e-8,8.324427111238232e-8,8.463984151508623e-8,8.904247754956377e-8,9.565119615202953e-8,9.41962130724636e-8,9.244558525253203e-8,8.63367358798795e-8,8.697675560436432e-8,8.397816760335853e-8,7.870665613975636e-8,60,60,60,60,60,60,60,60,60,60,60,60,60,60
7,132,4.908064430821414e-7,6.4827821581461e-7,8.599234607736616e-7,9.540481927987601e-7,1.0291980835731956e-6,1.0907346743329591e-6,1.2312893551611883e-6,1.405442592501345e-6,1.395167462234312e-6,1.356510596877971e-6,1.2404854297649883e-6,1.2367518937671576e-6,1.1947554743308725e-6,1.0476686745917828e-6,7.005757939596125e-8,8.051572615424952e-8,9.273205814461694e-8,9.767539059552105e-8,1.0144940037147562e-7,1.0443824368175478e-7,1.1096347845850853e-7,1.1855136407909211e-7,1.1811720713910873e-7,1.1646933488596779e-7,1.1137708156371257e-7,1.1120934734846516e-7,1.0930487062939476e-7,1.0235568741363533e-7,132,132,132,132,132,132,132,132,132,132,132,132,132,132
8,30,1.901402807105144e-7,2.1273592738841864e-7,2.4589861927848423e-7,2.519780403208802e-7,2.6444683788467687e-7,2.739390557835057e-7,2.6256547807539473e-7,2.8827849982907494e-7,2.823607253930417e-7,2.6518069862524816e-7,2.3235033451781838e-7,2.3324964642047739e-7,2.163134735798945e-7,1.8644625543931141e-7,4.36050777674475e-8,4.612330510581594e-8,4.958816585421206e-8,5.0197414307998004e-8,5.1424394783475755e-8,5.233918759242502e-8,5.124114343722188e-8,5.369157287964983e-8,5.31376255955271e-8,5.1495698716033376e-8,4.820273171904456e-8,4.829592595866419e-8,4.650951231521295e-8,4.31794228121812e-8,30,30,30,30,30,30,30,30,30,30,30,30,30,30
9,22,2.5338110743686646e-7,2.817412531244658e-7,3.3626588700661336e-7,3.466651499101144e-7,3.7183755157582675e-7,3.8574482796690987e-7,3.822586917742723e-7,4.24583644853083e-7,4.131460714254887e-7,3.9562017916739346e-7,3.381743216461428e-7,3.429419207502412e-7,3.2106460213211317e-7,2.7565904438026453e-7,5.0336975220693036e-8,5.3079304170690274e-8,5.798843738251733e-8,5.88782769712323e-8,6.097848403952223e-8,6.210835917707937e-8,6.1827072692654e-8,6.51600832452724e-8,6.427643980693772e-8,6.289834490409056e-8,5.8152757599802847e-8,5.85612432202597e-8,5.6662562784621126e-8,5.250324222181565e-8,22,22,22,22,22,22,22,22,22,22,22,22,22,22
10,96,3.7116003677039353e-7,5.15968932505024e-7,7.162385615622209e-7,8.212685900810537e-7,8.784593391310006e-7,9.504229759995537e-7,1.0638537830017693e-6,1.2165063911652569e-6,1.2145676988241333e-6,1.1846523606660875e-6,1.0764327835965429e-6,1.0746719342405365e-6,1.041738209122014e-6,9.205028808102915e-7,6.092290511543203e-8,7.183097747525256e-8,8.463087861780833e-8,9.062387048019158e-8,9.372616172291494e-8,9.748963924436041e-8,1.0314328785731864e-7,1.1029534854948585e-7,1.1020742710108667e-7,1.0884173651068269e-7,1.0375127871966413e-7,1.0366638482365133e-7,1.0206557740599982e-7,9.594284135933706e-8,96,96,96,96,96,96,96,96,96,96,96,96,96,96
