region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F444W,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F444W_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F444W_n_eff
1,6814,2.058587973267729e-6,3.968596733112058e-6,5.956454843277817e-6,7.776588444086306e-6,8.48974010893254e-6,8.902725405636398e-6,1.1383993452305107e-5,1.3257190890934048e-5,1.3145568391462618e-5,1.2455052699978347e-5,1.2009739452331762e-5,1.1877726449845963e-8,1.543448044448944e-8,2.0217290286855524e-8,2.269488920553579e-8,2.4589200406447622e-8,2.6018146922804354e-8,2.9755550975654296e-8,3.554920613997409e-8,3.4107364403006245e-8,3.2437054390075545e-8,2.963606562282795e-8,6814,6814,6814,6814,6814,6814,6814,6814,6814,6814,6814
2,3484,2.8286698186917783e-6,5.664079378362686e-6,8.65079060442731e-6,1.106605824139973e-5,1.2175058234940407e-5,1.2796961229922433e-5,1.5913088009356887e-5,1.8718426193313486e-5,1.8261005347984534e-5,1.6739725015167826e-5,1.558049021602191e-5,8.49319954047007e-9,1.1036465839826786e-8,1.4456426598046313e-8,1.6228040221786344e-8,1.7582572428688644e-8,1.8604344393830562e-8,2.1276784992479625e-8,2.5419553357033184e-8,2.438856063047442e-8,2.319420106223823e-8,2.1191346676653552e-8,3484,3484,3484,3484,3484,3484,3484,3484,3484,3484,3484
3,1015,1.725955279430975e-6,3.564397716977549e-6,5.498554955870499e-6,7.049340423356507e-6,7.874580594236374e-6,8.355885756016133e-6,1.0636192393960334e-5,1.2849908395482096e-5,1.2622646362857526e-5,1.1677772752704055e-5,1.0891381140412777e-5,4.5842181419775515e-09,5.9569502264925335e-9,7.802879558303986e-9,8.759110867344223e-9,9.490221809361576e-9,1.0041724874519563e-8,1.148417899529091e-8,1.372024489769946e-8,1.3163764911703984e-8,1.2519107409585555e-8,1.1438063526607571e-8,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015
4,247,8.258829179452298e-7,1.6950144628461872e-6,2.5902643102361692e-6,3.313638065749251e-6,3.7729708440489448e-6,3.992846201497657e-6,5.243277541426467e-6,6.258786792826366e-6,6.141880179701199e-6,5.758749452933355e-6,5.512798700425673e-6,2.2614174083890063e-9,2.938592912876923e-9,3.849198952190212e-9,4.3209125709006345e-9,4.681573202776346e-9,4.9536323835792385e-9,5.665202112263139e-9,6.768264445119404e-9,6.493750124732508e-9,6.175737400950935e-9,5.642453124224902e-9,247,247,247,247,247,247,247,247,247,247,247
5,143,8.652364474292037e-7,1.6483504478411131e-6,2.4378711463359567e-6,3.116220014373746e-6,3.5279428654731447e-6,3.749242021121332e-6,4.7876993394773015e-6,5.816489005194067e-6,5.792100706176494e-6,5.607579901289475e-6,5.32969286444403e-6,1.7206806432433304e-9,2.235933943376438e-9,2.9288012484809197e-9,3.287721494631986e-9,3.562143087809045e-9,3.769149085236852e-9,4.310572465954756e-9,5.149877053155541e-9,4.9410029746105625e-9,4.6990315738040856e-9,4.293263081483954e-9,143,143,143,143,143,143,143,143,143,143,143
6,104,7.986052106294184e-7,1.5933312673917289e-6,2.475023542970078e-6,3.2351391891078505e-6,3.662162228882632e-6,3.905439088995635e-6,5.411227963213263e-6,6.685837259509121e-6,6.703251428836509e-6,6.3168851186844814e-6,5.831436305240883e-6,1.4674013830348424e-9,1.9068108738067256e-9,2.4976900969573525e-9,2.80377831133311e-9,3.0378058323282976e-9,3.2143411400943623e-9,3.676068550577296e-9,4.391829907504326e-9,4.213701494808695e-9,4.0073475908506494e-9,3.661307057901898e-9,104,104,104,104,104,104,104,104,104,104,104
7,32,2.8452758954761946e-7,6.307216862317956e-7,1.012886752564235e-6,1.3347710515117763e-6,1.5359660596854608e-6,1.6392871387111492e-6,2.1173165228308356e-6,2.7963828184955657e-6,2.5741519405747796e-6,2.349731941484809e-6,2.1242872955594855e-6,8.139678351105997e-10,1.0577083658649916e-9,1.3854691868920553e-9,1.555256379468518e-9,1.6850714912866524e-9,1.7829956611451698e-9,2.03911594634262e-9,2.43614891148048e-9,2.337341046004925e-9,2.222876494987555e-9,2.0309277434589997e-9,32,32,32,32,32,32,32,32,32,32,32
8,54,6.390918158059622e-7,1.3144609534827112e-6,2.0883904332121755e-6,2.798989616062238e-6,3.233979219226776e-6,3.4990641749276734e-6,4.887342362464034e-6,5.854872293641419e-6,5.786777486996806e-6,5.472182903416021e-6,5.122039785503104e-6,1.0573752346038037e-9,1.374003471951612e-9,1.7997772680136352e-9,2.020337301026321e-9,2.188972077970754e-9,2.3161793060837214e-9,2.648889316191983e-9,3.164650267115855e-9,3.0362950847225358e-9,2.8876012712018023e-9,2.6382525286291483e-9,54,54,54,54,54,54,54,54,54,54,54
9,5,7.971996068813124e-8,1.8570007800873558e-7,3.043905389287295e-7,4.341702210787929e-7,5.035083091112637e-7,5.456643676638283e-7,6.321985721851037e-7,8.245036793117216e-7,7.314112854132951e-7,6.705186939519521e-7,6.205362129388238e-7,3.217490376332335e-10,4.1809594204350813e-10,5.476547823200495e-10,6.147690630784562e-10,6.660829915852995e-10,7.04790918427065e-10,8.060313504515464e-10,9.629724099522796e-10,9.239151717469958e-10,8.786690851765666e-10,8.027946790695715e-10,5,5,5,5,5,5,5,5,5,5,5
10,18,2.7577957020307046e-7,6.335137105212728e-7,1.0784895760229004e-6,1.4861543763324885e-6,1.743134868214553e-6,1.8541147888538353e-6,2.4425901986637964e-6,3.0654107667660454e-6,2.978522348527851e-6,2.779679231822349e-6,2.603228559634407e-6,6.104758763329496e-10,7.932812743987435e-10,1.0391018901690414e-9,1.1664422846013884e-9,1.263803618464989e-9,1.3372467458588771e-9,1.5293369597569647e-9,1.8271116836103596e-9,1.7530057845036934e-9,1.667157371240666e-9,1.5231958075942492e-9,18,18,18,18,18,18,18,18,18,18,18
