region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F430M,F444W,F460M,F480M,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F430M_err,F444W_err,F460M_err,F480M_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F430M_n_eff,F444W_n_eff,F460M_n_eff,F480M_n_eff
1,1214,1.0253435434376418e-6,1.3554889877973616e-6,1.4590344622661494e-6,1.7882431020917857e-6,1.6691130597571935e-6,1.8063896511517098e-6,1.9319674297951067e-06,1.9135269791699276e-6,1.8464371524146924e-6,1.591326186866734e-6,1.4432322430567128e-06,1.45787054788197e-6,1.3637572500906233e-6,1.3574141862249922e-6,1.012592486362427e-7,1.1642546919799645e-7,1.2079049889234457e-7,1.337252071260982e-7,1.2919415852727992e-7,1.344019959357639e-7,1.3899523120579017e-7,1.383302923863724e-7,1.3588366908553407e-7,1.2614777789825447e-7,1.2013460130439994e-7,1.2074231022644756e-7,1.1678001755825452e-7,1.1650811929754047e-7,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214
2,203,3.8966844026612597e-7,5.714138230009621e-7,7.681681528735449e-7,9.66307188575109e-7,9.714585554663918e-7,1.075518328549043e-6,1.2664718878313023e-6,1.4828173735759517e-6,1.4821911475047572e-6,1.4194390153892128e-6,1.3420470699702479e-6,1.3205585435021052e-6,1.2693035659163818e-6,1.1994946432068049e-6,6.242342831550715e-8,7.559191907875882e-8,8.764520254261183e-8,9.830092515206095e-8,9.856259713838672e-8,1.0370719977653639e-7,1.1253763316470195e-7,1.2177098889209827e-7,1.2174527290637435e-7,1.1914021216152055e-7,1.158467552402849e-7,1.1491555784584197e-7,1.1266337319272763e-7,1.0952144279577424e-7,203,203,203,203,203,203,203,203,203,203,203,203,203,203
3,229,4.750049912608345e-7,7.102186604643747e-7,9.965175354614514e-7,1.3000082630114236e-6,1.3228412327353325e-6,1.4961636439203713e-6,1.8265855720995964e-6,2.2821434659229603e-6,2.2961901027298053e-6,2.3230759865265883e-6,2.187859752192774e-6,2.1741301596436793e-6,2.08897745550669e-6,1.9795270115297663e-6,6.892060586361922e-8,8.427447184434767e-8,9.982572491404465e-8,1.1401790486635964e-7,1.150148352489944e-7,1.2231776828900907e-7,1.351512327764566e-7,1.5106764928080933e-7,1.5153184822768464e-7,1.5241640287470994e-7,1.4791415592135778e-7,1.4744931873846278e-7,1.4453295318046643e-7,1.4069566487741428e-7,229,229,229,229,229,229,229,229,229,229,229,229,229,229
4,150,3.5772468101510725e-7,5.687329325100814e-7,8.411741079418944e-7,1.1387311795301087e-6,1.1860646659092295e-6,1.3674970057505263e-6,1.727636262759238e-6,2.2012322783129683e-6,2.203173461520844e-6,2.1800782888850305e-6,2.0207449155851795e-6,2.005499947049824e-6,1.9014122927058802e-6,1.780793335427929e-6,5.981008953471874e-8,7.541438407293939e-8,9.171554437181815e-8,1.0671134801557465e-7,1.0890659603115092e-7,1.1694002761033222e-7,1.3143957785839234e-7,1.4836550402007094e-7,1.4843090855751184e-7,1.4765088177471308e-7,1.4215290765880166e-7,1.4161567522876216e-7,1.3789170724542793e-7,1.334463688313747e-7,150,150,150,150,150,150,150,150,150,150,150,150,150,150
5,62,4.0052965315744777e-7,6.050976127773371e-7,8.411394906561288e-7,1.130729737355798e-6,1.133517458509981e-6,1.2647711754673251e-6,1.397238360736924e-6,1.5970360351785491e-6,1.5028495384268044e-6,1.342072999552642e-6,1.2034295285422908e-6,1.207778788871326e-6,1.1161442793018004e-6,1.054708595326239e-6,6.328741210994866e-8,7.778802046442224e-8,9.171365714309559e-8,1.0633577654561037e-7,1.0646677690763355e-7,1.1246204584068908e-7,1.1820483749563399e-7,1.2637389110012199e-7,1.2259076386199756e-7,1.1584787436775187e-7,1.0970093566338851e-7,1.0989898947994591e-7,1.056477297106663e-7,1.0269900658361984e-7,62,62,62,62,62,62,62,62,62,62,62,62,62,62
6,86,2.0966246880147355e-7,3.37442734234537e-7,5.226210665640627e-7,7.120231071067183e-7,7.647544762478574e-7,8.621289753912639e-7,1.2051049286120927e-6,1.4954322385823724e-6,1.5422265410486333e-6,1.543373981734276e-6,1.4490803504456074e-6,1.4357044601691423e-6,1.3781494570111179e-6,1.2974506354668272e-6,4.578891446643757e-8,5.8089821331670235e-8,7.22925353383088e-8,8.438146165519523e-8,8.745024163762256e-8,9.285090066290494e-8,1.0977727126377721e-7,1.2228786687903148e-7,1.2418641395292132e-7,1.2423260368092895e-7,1.2037775336189025e-7,1.1982088549869518e-7,1.1739461048153438e-7,1.1390569061582601e-7,86,86,86,86,86,86,86,86,86,86,86,86,86,86
7,32,2.1719305158256597e-7,3.335654795357982e-7,4.872645831437182e-7,6.808000195529107e-7,6.802708769430637e-7,7.970894134645475e-7,8.674118602989053e-7,1.084519100259547e-6,1.009465699264684e-6,9.234500909760315e-7,8.25596777277135e-7,8.369343806096323e-7,7.518446505808859e-7,7.051126790787204e-7,4.660397532212954e-8,5.775512787067467e-8,6.980433963183939e-8,8.251060656381764e-8,8.247853520420108e-8,8.927986410521397e-8,9.313494834372891e-8,1.0414024679534551e-7,1.0047217023955858e-7,9.60963105939053e-8,9.086235619205213e-8,9.148411778060892e-8,8.670897592411561e-8,8.397098779213691e-8,32,32,32,32,32,32,32,32,32,32,32,32,32,32
8,52,1.3270144157481226e-7,2.1148997322394562e-7,3.444096970621931e-7,4.804562336247439e-7,5.252927309275381e-7,6.060660111925679e-7,8.612849092353031e-7,1.1083406090488383e-6,1.1482994937592996e-6,1.1900865721489626e-6,1.1218918943022155e-6,1.1111582386337502e-6,1.0825724720703002e-6,1.0233223747941439e-6,3.642820906588907e-8,4.598803901276348e-8,5.8686429186157944e-8,6.931495030833853e-8,7.247708126901483e-8,7.785024156626413e-8,9.280543676074711e-8,1.0527775686482109e-7,1.0715873710338787e-7,1.0909108910213348e-7,1.0591939833204377e-7,1.0541149076992271e-7,1.0404674296057039e-7,1.0115939772429173e-7,52,52,52,52,52,52,52,52,52,52,52,52,52,52
9,33,2.3743923841401756e-7,3.864067685368836e-7,5.868775605832752e-7,7.77637267066114e-7,8.288393342030278e-7,9.352159773757334e-7,1.138556423139635e-6,1.349279889993546e-6,1.3604378246809689e-6,1.2966553520741315e-6,1.2133550357299096e-6,1.1740802812239253e-6,1.0909372066950258e-6,1.0169311236826203e-6,4.872773731808379e-8,6.216162550455736e-8,7.660793435299475e-8,8.818374380043716e-8,9.104061369537376e-8,9.670656530844913e-8,1.0670315942555943e-7,1.1615850765198157e-7,1.1663780796469766e-7,1.1387077553411725e-7,1.1015239605791195e-7,1.0835498517483749e-7,1.0444793950552714e-7,1.0084300291456123e-7,33,33,33,33,33,33,33,33,33,33,33,33,33,33
10,39,1.0626964688869508e-7,1.6789790973866993e-7,2.7448848665863983e-7,3.835300999983357e-7,4.29135422718369e-7,5.010244959740646e-7,7.628360080865251e-7,1.0184813356672892e-6,1.047925307783786e-6,1.1219131946860522e-6,1.0380483699145987e-6,1.0535542822120508e-6,1.047565135978984e-6,9.778260040496021e-7,3.259902558186289e-8,4.097534743460632e-8,5.2391648824849926e-8,6.192980703977172e-8,6.550842867283331e-8,7.07830838529987e-8,8.734048363081837e-8,1.0091983628936827e-7,1.0236822298857131e-7,1.0592040382693281e-7,1.0188465880173515e-7,1.0264279235348436e-7,1.0235062950363245e-7,9.888508502547804e-8,39,39,39,39,39,39,39,39,39,39,39,39,39,39
