region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff
1,151,9.71999425766808e-8,1.2688248429311016e-7,1.2848000988201906e-7,1.5041807677558405e-7,1.6388627396705794e-7,1.3015751082341917e-7,1.096824228167289e-7,9.065212195688723e-8,3.117690532696932e-8,3.562056769523896e-8,3.584410828602367e-8,3.878376938560563e-8,4.0482869706464475e-8,3.607734896350051e-8,3.311833673612383e-8,3.010849082184081e-8,151,151,151,151,151,151,151,151
2,81,8.176660504087065e-8,1.1060711815527505e-7,1.2304602875660437e-7,1.3208779468969476e-7,1.4102358825322118e-7,1.1468500755600174e-7,8.22042869778212e-8,8.150939192499104e-8,2.8594860559350638e-8,3.325764846697298e-8,3.507791737783251e-8,3.6343884587327035e-8,3.75531074950158e-8,3.3865174967213994e-8,2.8671289991526576e-8,2.854984972377106e-8,81,81,81,81,81,81,81,81
3,168,1.9070296422392275e-7,2.591932435416351e-7,2.7511142168819473e-7,3.378808255504477e-7,3.6819233276062463e-7,2.9763575374933406e-7,2.3179034210350352e-7,2.1621432907732882e-7,4.366955051565367e-8,5.091102469422857e-8,5.245106497376338e-8,5.8127517197145765e-8,6.067885403998865e-8,5.455600367964411e-8,4.814460947016847e-8,4.6498852574803266e-8,168,168,168,168,168,168,168,168
4,145,2.5044600173753236e-7,3.332512377101355e-7,3.5568430110354867e-7,3.9728808030363093e-7,4.183995847402549e-7,3.3185024112391544e-7,2.436915147305699e-7,2.3474135808722271e-7,5.004458029972201e-8,5.7727916791629983e-8,5.963927406529599e-8,6.303079249887557e-8,6.468381441599241e-8,5.760644418152499e-8,4.936512075651896e-8,4.84501143535516e-8,145,145,145,145,145,145,145,145
5,14,4.414974316189044e-8,5.496613948620534e-8,5.0187154106472274e-8,5.111204653512969e-8,4.660050913467581e-8,3.6857525406782883e-8,2.7000083624390175e-8,2.6195221989431234e-8,2.1011840272068136e-8,2.344485860187801e-8,2.240248961755641e-8,2.2607973490591697e-8,2.158715107064288e-8,1.9198313833975856e-8,1.643170217122687e-8,1.6184938056548514e-8,14,14,14,14,14,14,14,14
6,39,1.0206640794456776e-7,1.313256218963328e-7,1.396437835643547e-7,1.5466979085883728e-7,1.5327633738309999e-7,1.2060656741145068e-7,9.074808508191394e-8,8.401852250025355e-8,3.194783372070284e-8,3.623887717580841e-8,3.7368942126364064e-8,3.932808040813043e-8,3.9150522012241424e-8,3.4728456258729765e-8,3.012442282964338e-8,2.8985948751119663e-8,39,39,39,39,39,39,39,39
7,140,2.054186813515181e-7,2.6188924485128376e-7,3.195485787113961e-7,3.670931111303344e-7,3.9865991890627397e-7,3.1425373226593794e-7,2.437529597443365e-7,2.2646850168684364e-7,4.532313772804328e-8,5.1175115520268614e-8,5.652862803141397e-8,6.058820934227503e-8,6.31395216093909e-8,5.605833856492163e-8,4.9371343889379446e-8,4.758870682071994e-8,140,140,140,140,140,140,140,140
8,263,5.000431373738922e-7,6.638153721466382e-7,7.87434210920522e-7,8.887995874887254e-7,9.512310999622891e-7,7.525544020560277e-7,5.72420914622367e-7,5.291777512448965e-7,7.071372832582738e-8,8.147486558114952e-8,8.873748987437734e-8,9.427616811733097e-8,9.75310770965998e-8,8.674989349019558e-8,7.565850346275473e-8,7.274460469649255e-8,263,263,263,263,263,263,263,263
9,36,5.599530055858642e-8,7.31583853059284e-8,8.090130761518017e-8,1.0692344530927347e-7,1.1754590659931561e-7,9.420197695262801e-8,7.364726826274475e-8,6.766285150999657e-8,2.366332617333971e-8,2.704780680682417e-8,2.844315517223435e-8,3.2699150647879754e-8,3.4284968513813106e-8,3.0692340567742306e-8,2.7138030190628197e-8,2.601208402070018e-8,36,36,36,36,36,36,36,36
10,98,2.480405174187141e-7,3.4001800178585017e-7,4.0084043979027384e-7,4.544015201890516e-7,4.842743381835275e-7,3.8492153733616e-7,2.8684311255737394e-7,2.660166060914541e-7,4.9803666272546046e-8,5.8311062568422653e-8,6.331196093869419e-8,6.740931094359677e-8,6.95898224012339e-8,6.204204520614709e-8,5.3557736374624154e-8,5.157679769930023e-8,98,98,98,98,98,98,98,98
