region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff
11,113,2.695812052464678e-7,3.61799874902463e-7,4.5538252620895535e-7,5.173870825758013e-7,5.640402555448903e-7,4.4676430344561313e-7,3.405915661113778e-7,3.104977105558956e-7,5.1921210044303456e-8,6.014980256845927e-8,6.748203658818806e-8,7.192962411800867e-8,7.510261350611511e-8,6.684042963997262e-8,5.836022327847777e-8,5.572232143009618e-8,113,113,113,113,113,113,113,113
12,130,3.1502947241532934e-7,4.23472336094448e-7,5.027878459022485e-7,6.146571540948902e-7,6.70698875494276e-7,5.31495521074913e-7,4.004166851988305e-7,3.7280209467138365e-7,5.612748635163785e-8,6.507475210052267e-8,7.090753457159884e-8,7.84000736029559e-8,8.189620720731064e-8,7.290373934682041e-8,6.327848648623247e-8,6.105752162276026e-8,130,130,130,130,130,130,130,130
13,90,2.331323367386058e-7,3.2252557069333796e-7,4.1309162467299803e-7,4.707146462809825e-7,5.125245440008256e-7,4.1241614401171634e-7,3.085410007829119e-7,2.8614060372052303e-7,4.828377954744282e-8,5.679133478738971e-8,6.427220430893888e-8,6.860864714312494e-8,7.159081952323396e-8,6.421963438168395e-8,5.554646710484042e-8,5.349211191573231e-8,90,90,90,90,90,90,90,90
14,98,3.205601115516521e-7,4.3352495670288103e-7,5.261686950933442e-7,6.274050265566324e-7,6.801636803157184e-7,5.440513640663863e-7,3.9997423023198876e-7,3.754159501205425e-7,5.661802818463851e-8,6.584261209147773e-8,7.253748652202834e-8,7.920890269134098e-8,8.247203649211764e-8,7.375983758566625e-8,6.324351589151166e-8,6.127119634220818e-8,98,98,98,98,98,98,98,98
15,63,1.7513089045933136e-7,2.355296650579398e-7,2.875551506963522e-7,3.5609282970529855e-7,3.901732897775591e-7,3.118570780774331e-7,2.323434326077138e-7,2.1636223226898943e-7,4.184864280467545e-8,4.853139860522668e-8,5.3624169056159014e-8,5.967351420063163e-8,6.246385272920324e-8,5.584416514528918e-8,4.820201578852422e-8,4.651475381736309e-8,63,63,63,63,63,63,63,63
16,53,1.4771528423152472e-7,2.1210811853528391e-7,2.727923384307676e-7,3.200150483865275e-7,3.546706020850748e-7,2.879182595016986e-7,2.1832592576511606e-7,1.9995571702789888e-7,3.8433746139496305e-8,4.605519715898347e-8,5.222952598203124e-8,5.6569872581306696e-8,5.955422756489037e-8,5.365801519826266e-8,4.672535989857286e-8,4.471640828911674e-8,53,53,53,53,53,53,53,53
17,18,7.105062364847602e-8,9.222446202416228e-8,1.0595207183591208e-7,1.1600277840195017e-7,1.1002551435874926e-7,8.482029407787568e-8,6.469864606587492e-8,5.7874423710363366e-8,2.665532285463375e-8,3.0368480703545624e-8,3.25502798507036e-8,3.4059180612861225e-8,3.317009411484225e-8,2.9123923856148863e-8,2.5435928539346648e-8,2.405710367237988e-8,18,18,18,18,18,18,18,18
18,37,1.0598093644129043e-7,1.5313186288217235e-7,1.885871365717836e-7,2.3539715409418115e-7,2.626719999306013e-7,2.1304649591321286e-7,1.5575716674322652e-7,1.4685608804116252e-7,3.2554713397800084e-8,3.913206650333871e-8,4.342662047313647e-8,4.8517744598670416e-8,5.1251536555561074e-8,4.615696002914543e-8,3.946608249411468e-8,3.832180685212566e-8,37,37,37,37,37,37,37,37
19,100,3.5614708274494703e-7,5.011750364281188e-7,6.334364110144328e-7,7.414022517204441e-7,8.076183056853044e-7,6.494416910428858e-7,4.764872255943088e-7,4.460851147783677e-7,5.967805984991025e-8,7.079371698308536e-8,7.958871848537535e-8,8.610471832138144e-8,8.986758624138652e-8,8.058794519299309e-8,6.902805412253115e-8,6.67896035905565e-8,100,100,100,100,100,100,100,100
20,61,2.1465028673562917e-7,3.04320207241316e-7,3.743507874092235e-7,4.6454171359776875e-7,5.191192108379641e-7,4.141630059478387e-7,3.0561701148732586e-7,2.8553058087776434e-7,4.6330366579127037e-8,5.516522520948464e-8,6.118421262133096e-8,6.815729701196848e-8,7.204992788601278e-8,6.435549750781503e-8,5.528263845795765e-8,5.343506160544445e-8,61,61,61,61,61,61,61,61
21,131,5.09047836364111e-7,7.248796367653555e-7,9.314632242878429e-7,1.1187883484368946e-6,1.2306782341037848e-6,9.90707384349999e-7,7.213753762884687e-7,6.780501687537434e-7,7.134758835196261e-8,8.513986356374761e-8,9.651234243804483e-8,1.0577279179623152e-7,1.1093593800494881e-7,9.95342847640952e-8,8.493381990046536e-8,8.234380175542926e-8,131,131,131,131,131,131,131,131
22,31,1.205724206579811e-7,1.751668334037198e-7,2.2148467124168296e-7,2.77336934212727e-7,3.1041004658038607e-7,2.5302884400132187e-7,1.9000018417872227e-7,1.7419525206295725e-7,3.4723539660867105e-8,4.185293698221426e-8,4.706215796600098e-8,5.266278897027075e-8,5.5714454729485246e-8,5.030197252606719e-8,4.358901056214998e-8,4.173670471694636e-8,31,31,31,31,31,31,31,31
23,25,1.0692724347248082e-7,1.5870999992102765e-7,2.11867445708918e-7,2.522667658365305e-7,2.8451219558984237e-7,2.296871537006875e-7,1.7676562845716418e-7,1.5746903777424925e-7,3.269973141670751e-8,3.983842365368234e-8,4.6029061005946884e-8,5.0226165077231464e-8,5.3339684625037144e-8,4.792568765293697e-8,4.2043504665663185e-8,3.968236860045646e-8,25,25,25,25,25,25,25,25
24,24,1.0487984299672189e-7,1.5425913751267696e-7,1.988058286922945e-7,2.518060839178811e-7,2.7920433878845816e-7,2.3001935601096975e-7,1.6613749980778444e-7,1.5688528954860522e-7,3.2385157556621814e-8,3.927583703916149e-8,4.458764724587904e-8,5.018028337085007e-8,5.283978981680928e-8,4.7960333194314835e-8,4.075996808239482e-8,3.960874771418622e-8,24,24,24,24,24,24,24,24
25,13,6.141882270672241e-8,8.993123591165854e-8,1.201537090568233e-7,1.511200869131726e-7,1.7518946528764372e-7,1.4320452750057802e-7,1.0726744234729809e-7,9.689362466587037e-8,2.4782821208797516e-8,2.998853712865276e-8,3.466319504269958e-8,3.887416711817407e-8,4.185564063392695e-8,3.784237406672288e-8,3.2751708710737234e-8,3.112774078950645e-8,13,13,13,13,13,13,13,13
26,10,5.520116925227759e-8,8.177373290224132e-8,1.1117655634988876e-7,1.325866127026279e-7,1.4559366226104223e-7,1.151893675344273e-7,8.283743918230566e-8,7.936859071387594e-8,2.3494929081033124e-8,2.859610688577054e-8,3.3343148674036285e-8,3.64124446724781e-8,3.815673757818431e-8,3.393955915070603e-8,2.878149391228775e-8,2.8172431686646422e-8,10,10,10,10,10,10,10,10
27,15,7.36641067246111e-8,1.0894636511468975e-7,1.4630420624726937e-7,1.759495997369885e-7,1.9121287226307111e-7,1.553606295545283e-7,1.1630195855841605e-7,1.0517864286724163e-7,2.7141132386953033e-8,3.300702426979593e-8,3.824973284184733e-8,4.194634665104799e-8,4.372789410240003e-8,3.941581276017638e-8,3.410307296394506e-8,3.2431256970281254e-8,15,15,15,15,15,15,15,15
28,21,9.241749942186326e-8,1.3296267926542569e-7,1.695585793243857e-7,2.0842670738465295e-7,2.293243396266438e-7,1.8286802887799803e-7,1.3232135355420058e-7,1.246477252234765e-7,3.040024661443773e-8,3.646404794663172e-8,4.11774913422838e-8,4.565377392775465e-8,4.788782095968074e-8,4.2763071554554876e-8,3.637600219295691e-8,3.53054847330378e-8,21,21,21,21,21,21,21,21
29,12,7.44606733330164e-8,1.1348061442584164e-7,1.558034110080219e-7,1.8403998613620938e-7,2.0376167893451696e-7,1.5942430973235225e-7,1.206144261338345e-7,1.1033675253378508e-7,2.728748308895791e-8,3.368688386090967e-8,3.9471940794445607e-8,4.28998818338943e-8,4.513996886734826e-8,3.9927973869500595e-8,3.472958769318094e-8,3.3216976462915025e-8,12,12,12,12,12,12,12,12
30,11,5.914005875670424e-8,8.929630517894504e-8,1.149887287616206e-7,1.4827092051338444e-7,1.6526225328293585e-7,1.3305437564713228e-7,9.488705337182392e-8,8.963651478244315e-8,2.431872915197343e-8,2.988248737621168e-8,3.390998802146951e-8,3.850596324121557e-8,4.0652460353948546e-8,3.6476619312531186e-8,3.0803742203151865e-8,2.9939357839212774e-8,11,11,11,11,11,11,11,11
31,5,4.365477442676605e-8,6.948837637780252e-8,9.456398248597693e-8,1.073195040211493e-7,1.1089256286513383e-7,9.097526073260921e-8,6.614108443095934e-8,5.9086836575872024e-8,2.0893724997416344e-8,2.6360648015138498e-8,3.075125728908933e-8,3.275965567907412e-8,3.330053496043777e-8,3.016210548562703e-8,2.571790901900062e-8,2.4307784056937815e-8,5,5,5,5,5,5,5,5
32,3,2.3263761398096518e-8,3.564374446397499e-8,4.759508370779046e-8,6.155302642972621e-8,6.611345767066897e-8,5.108422278771549e-8,3.81012415846654e-8,3.3608999248521256e-8,1.5252462554648845e-8,1.887955096499252e-8,2.1816297510757976e-8,2.480988239184664e-8,2.5712537344779677e-8,2.2601819127609062e-8,1.9519539334898607e-8,1.833275736176128e-8,3,3,3,3,3,3,3,3
33,8,5.396555900511174e-8,8.208803713230415e-8,1.0975097298271212e-7,1.4048830866623102e-7,1.493994641291231e-7,1.2059093475270394e-7,8.980583786729506e-8,7.851007878725312e-8,2.3230488373065203e-8,2.8651009952932576e-8,3.3128684396261816e-8,3.748177005775355e-8,3.865222686070275e-8,3.472620548702434e-8,2.996762217248727e-8,2.8019650031228642e-8,8,8,8,8,8,8,8,8
34,17,7.526423275033113e-8,1.0206154017936971e-7,1.1936409532307053e-7,1.3636118471115025e-7,1.426752722227876e-7,1.1400301694604515e-7,8.428515136202699e-8,7.780662476953554e-8,2.7434327538748084e-8,3.194707188137431e-8,3.454910929721207e-8,3.6927115336991897e-8,3.7772380415164144e-8,3.3764332800463443e-8,2.9031905098017075e-8,2.7893838884157832e-8,17,17,17,17,17,17,17,17
35,1,1.2115802764081542e-8,1.9664984940234255e-8,2.6299860475884917e-8,2.755063056869131e-8,2.678633928212823e-8,2.0686066150254836e-8,1.441628932924147e-8,1.3829168080728511e-8,1.1007180730814563e-8,1.4023189701431787e-8,1.621723172304229e-8,1.6598382622620588e-8,1.636653270614403e-8,1.438265140725271e-8,1.2006785302170382e-8,1.1759748330950162e-8,1,1,1,1,1,1,1,1
36,1,1.3332433699337982e-8,2.192321300291424e-8,2.8481676576176837e-8,3.336543321158878e-8,3.0344460007616465e-8,2.28412938101099e-8,1.5177428721800967e-8,1.4328415393240291e-8,1.154661582427422e-8,1.4806489456624835e-8,1.687651521380431e-8,1.8266207381826362e-8,1.7419661307733993e-8,1.511333643181078e-8,1.2319670743084397e-8,1.1970135919545897e-8,1,1,1,1,1,1,1,1
37,4,3.990445196654522e-8,5.99754655355542e-8,7.870817661207634e-8,1.030495858169638e-7,1.0676801919676136e-7,8.176777362543611e-8,5.752175807799675e-8,5.218730449513131e-8,1.9976098709844528e-8,2.448988883918304e-8,2.805497756407521e-8,3.210133732680989e-8,3.267537592695169e-8,2.859506489334062e-8,2.398369406033957e-8,2.284454081287941e-8,4,4,4,4,4,4,4,4
38,2,2.693069099600989e-8,3.909588336185215e-8,5.206279515216175e-8,6.382781981003627e-8,5.9298543920737556e-8,4.5624837869511565e-8,3.210525512304872e-8,2.823673605711286e-8,1.64105731149189e-8,1.977267896918679e-8,2.281727309565316e-8,2.5264168264567165e-8,2.4351292351893265e-8,2.1359971411383386e-8,1.7917939368981223e-8,1.680379006567056e-8,2,2,2,2,2,2,2,2
39,3,1.980862855927085e-8,2.962414324314757e-8,3.8703651428613704e-8,5.361545085940648e-8,6.257530450730853e-8,4.931794881828313e-8,3.652102470404809e-8,3.328714609120038e-8,1.4074312970539929e-8,1.721166559143756e-8,1.9673243613754622e-8,2.3155010442538452e-8,2.501505636757761e-8,2.22076448139561e-8,1.911047479892849e-8,1.8244765301642104e-8,3,3,3,3,3,3,3,3
40,2,1.124310731964925e-8,1.68715590244842e-8,2.1794915201311148e-8,2.9721119405241225e-8,3.303398490269257e-8,2.8494280576052357e-8,2.1585325001849194e-8,1.8570825458152655e-8,1.0603351979279596e-8,1.2989056557150022e-8,1.4763101029699399e-8,1.7239814211655886e-8,1.81752537541275e-8,1.6880248983961212e-8,1.4691945072674753e-8,1.3627481593512667e-8,2,2,2,2,2,2,2,2
