region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F430M,F444W,F460M,F480M,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F430M_err,F444W_err,F460M_err,F480M_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F430M_n_eff,F444W_n_eff,F460M_n_eff,F480M_n_eff
1,143,1.2934482845968572e-7,1.8080596453932095e-7,2.0864872641410066e-7,2.1935185974166222e-7,2.505861826926653e-7,2.5605587958410726e-7,2.511152748740032e-7,2.1269107684381975e-7,1.9204624701160996e-7,1.4390232700560927e-7,1.4650630883617878e-7,1.3828555337801203e-7,1.3250494444904352e-7,1.3060481003759598e-7,3.596454204625519e-8,4.252128461598038e-8,4.5678082973577234e-8,4.683501465161106e-8,5.005858394847635e-8,5.0601964347652286e-8,5.0111403380268974e-8,4.6118442823215504e-8,4.3823081476729814e-8,3.793446019196916e-8,3.8276142548091075e-8,3.71867655729847e-8,3.640122861237565e-8,3.6139287491260255e-8,143,143,143,143,143,143,143,143,143,143,143,143,143,143
2,834,1.2682785832482975e-6,1.7467466048915223e-6,2.067597519156706e-6,2.3001572245359722e-6,2.423239683210178e-6,2.51456396177049e-6,2.6459506706845794e-6,2.3011355760651e-6,2.0522650182205743e-6,1.5490647190029519e-6,1.5333499303043958e-6,1.4743146110336907e-6,1.4415077791366864e-6,1.3356956361979635e-6,1.1261787527956196e-7,1.3216454157191794e-7,1.4379142947883597e-7,1.5166269233189723e-7,1.5566758439733618e-7,1.585737671170894e-7,1.62663784250969e-7,1.5169494309518365e-7,1.432572866635612e-7,1.244614285231755e-7,1.2382850763472827e-7,1.2142135771904755e-7,1.2006280769400183e-7,1.155722992848184e-7,834,834,834,834,834,834,834,834,834,834,834,834,834,834
3,222,5.132963061232572e-7,6.998984540892257e-7,7.96695462752783e-7,8.683709588505278e-7,9.203677335296328e-7,9.338089060670149e-7,9.759346482075152e-7,8.444436100015907e-7,7.479253728642098e-7,5.586960512357427e-7,5.424572090791701e-7,5.307114756066135e-7,5.16005294772134e-7,4.807639414027295e-7,7.16447001615093e-8,8.365993390442199e-8,8.925779869304323e-8,9.31864238422383e-8,9.59357979864468e-8,9.663378840069423e-8,9.878940470554093e-8,9.189361294462149e-8,8.648267877813509e-8,7.474597321834419e-8,7.365169441901321e-8,7.284994685012567e-8,7.183350852994262e-8,6.933714310546185e-8,222,222,222,222,222,222,222,222,222,222,222,222,222,222
4,401,8.646999262355281e-7,1.2312817140096696e-6,1.4774364769634104e-6,1.6866935643661129e-6,1.7726863563155977e-6,1.8557292705823529e-6,1.9777127814350757e-6,1.7116106018452913e-6,1.5485542792086472e-6,1.1941386096168269e-6,1.1859492099256948e-6,1.13682938709911e-6,1.1298615218688689e-6,1.0752246820923711e-6,9.298924272385103e-8,1.1096313414867433e-7,1.2154984479477587e-7,1.2987276713638286e-7,1.3314226813133376e-7,1.3622515445329298e-7,1.4063117653760407e-7,1.3082853671295462e-7,1.2444092089054336e-7,1.092766493637514e-7,1.0890129521386304e-7,1.0662220158574433e-7,1.062949444643944e-7,1.0369304133317585e-7,401,401,401,401,401,401,401,401,401,401,401,401,401,401
5,125,4.0086545540178324e-7,5.551497450207494e-7,6.293712484611875e-7,6.89960556012597e-7,7.280594906010968e-7,7.525902625728591e-7,7.609597322252317e-7,6.48783030504777e-7,5.808434072072104e-7,4.332244461730493e-7,4.2837165101912534e-7,4.15330846009248e-7,4.0622314482868194e-7,3.8407568812091936e-7,6.331393649124836e-8,7.450837167867443e-8,7.933292182071623e-8,8.306386434621237e-8,8.532640216258371e-8,8.675196035668929e-8,8.723300592237046e-8,8.054706887930666e-8,7.621308333922794e-8,6.58197877672854e-8,6.54501070296394e-8,6.444616714819028e-8,6.373563719212996e-8,6.197384029741254e-8,125,125,125,125,125,125,125,125,125,125,125,125,125,125
6,292,9.458365400231332e-7,1.3312157243599116e-6,1.6096480041801816e-6,1.898177666973347e-6,1.944913288958676e-6,2.0836593675659647e-6,2.217334154242675e-6,1.934541869453353e-6,1.7365239092674985e-6,1.3158193340860533e-6,1.29547502696911e-6,1.2668806800179822e-6,1.250085856611142e-6,1.1794482919533786e-6,9.725412793414649e-8,1.153783222429548e-7,1.2687190406785033e-7,1.3777436869655208e-7,1.394601480337188e-7,1.4434886101268568e-7,1.4890715745868881e-7,1.390878092951842e-7,1.3177723283130127e-7,1.1470916851263691e-7,1.1381893634053651e-7,1.1255579416529307e-7,1.1180723843343694e-7,1.0860240752181227e-7,292,292,292,292,292,292,292,292,292,292,292,292,292,292
7,155,6.548769816591451e-7,8.937920355523575e-7,1.0343759926890968e-6,1.1965753096048878e-6,1.2152771836280082e-6,1.3051333653623232e-6,1.320905346254347e-6,1.1297000908685737e-6,1.0184500521277473e-6,7.557385733630864e-7,7.543740075693627e-7,7.251610124031522e-7,7.050662258169119e-7,6.713384371986333e-7,8.092446982582864e-8,9.454057518083744e-8,1.0170427683677304e-7,1.0938808479925444e-7,1.1023961101292076e-7,1.1424243368216221e-7,1.1493064631569542e-7,1.0628735065230357e-7,1.0091828635721812e-7,8.693322571739106e-8,8.685470669856428e-8,8.515638627860815e-8,8.396822171612973e-8,8.193524499253256e-8,155,155,155,155,155,155,155,155,155,155,155,155,155,155
8,207,9.003233927587869e-7,1.2784616172492457e-6,1.5746376824526218e-6,1.8851864481104492e-6,1.9235484069732073e-6,2.066463099128237e-6,2.1798410511016683e-6,1.9035283845717916e-6,1.7000614571589217e-6,1.2876277351342493e-6,1.2672042193973263e-6,1.2234920215585183e-6,1.2125184860768585e-6,1.157995201942173e-6,9.488537256915772e-8,1.1306907699496117e-7,1.2548456807323448e-7,1.3730209204926374e-7,1.3869204760811658e-7,1.437519773473825e-7,1.476428478153164e-7,1.3796841611658054e-7,1.3038640485721362e-7,1.1347368572203202e-7,1.1257016564780059e-7,1.1061157360595311e-7,1.1011441713403647e-7,1.0761018548177364e-7,207,207,207,207,207,207,207,207,207,207,207,207,207,207
9,51,2.9737834422795145e-7,4.0122706292779906e-7,4.699942326427729e-7,5.482707780491831e-7,5.574966084830593e-7,5.94680716384336e-7,5.969969564629962e-7,5.165972292372475e-7,4.5850019096879566e-7,3.399346411188713e-7,3.3483787893999257e-7,3.217366701341357e-7,3.185200014689638e-7,3.010478556142867e-7,5.4532407266500853e-8,6.334248676266184e-8,6.855612537496362e-8,7.40453089701963e-8,7.46656955022224e-8,7.711554424267108e-8,7.726557813560941e-8,7.187469855500247e-8,6.771264217033593e-8,5.830391420126708e-8,5.7865177692632436e-8,5.6721836195078845e-8,5.643757626519444e-8,5.4867828061103954e-8,51,51,51,51,51,51,51,51,51,51,51,51,51,51
10,126,5.542753812682303e-7,8.266579687635395e-7,1.0489931744297945e-6,1.2466706323626561e-6,1.3212429362486138e-6,1.3705521273637119e-6,1.5198622786866799e-6,1.365248847588774e-6,1.2001102209016125e-6,9.091222488783045e-7,8.704246252709957e-7,8.572947400738708e-7,8.32285627120624e-7,7.99684303991166e-7,7.444967301931086e-8,9.092073299108072e-8,1.0242036781957944e-7,1.1165440575107891e-7,1.1494533206044574e-7,1.1707058244340086e-7,1.2328269459606567e-7,1.1684386366381308e-7,1.0954954225835964e-7,9.53479023827113e-8,9.329655005791991e-8,9.259021222968823e-8,9.122968963668702e-8,8.942506941519062e-8,126,126,126,126,126,126,126,126,126,126,126,126,126,126
11,142,6.37373661109173e-7,9.707203620802649e-7,1.2890003246241684e-6,1.599073042293926e-6,1.6519873237793538e-6,1.7732242405591714e-6,1.9277233862991175e-6,1.7025191521775506e-6,1.5314494174769648e-6,1.130618839273073e-6,1.1166243678392373e-6,1.0774984508824111e-6,1.062051562071441e-6,1.0230436533770498e-6,7.983568507310331e-8,9.852514207451137e-8,1.1353415013220333e-7,1.2645445987761467e-7,1.285296589810832e-7,1.331624662042263e-7,1.38842478597118e-7,1.3048061741797325e-7,1.2375174412819257e-7,1.0633056189417381e-7,1.0567044846309858e-7,1.0380262284173801e-7,1.0305588591009448e-7,1.0114562043791366e-7,142,142,142,142,142,142,142,142,142,142,142,142,142,142
