region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff
1,643,6.133646011992516e-7,6.78183112478177e-7,8.094039476367464e-7,7.699354682959834e-7,8.655230754670446e-7,6.855448978172415e-7,7.878286268219603e-7,5.832347878009911e-7,5.282341446346618e-7,5.437370296052619e-7,7.831759707749284e-8,8.235187383892226e-8,8.996687988569718e-8,8.774596676178246e-8,9.303349265006901e-8,8.279763872341056e-8,8.875971083898145e-8,7.636980999066261e-8,7.267971825995626e-8,7.373852653838846e-8,643,643,643,643,643,643,643,643,643,643
2,729,1.6050562877757454e-6,1.8480032573056281e-6,2.0901312475782254e-6,2.1083659577059893e-6,2.2334769423221964e-6,2.118808723713965e-6,1.933960191787708e-6,1.3167396283792897e-6,1.1316885143495963e-6,1.2283781672196393e-6,1.2669081607503148e-7,1.3594128354939233e-7,1.4457286216915765e-7,1.4520213351414605e-7,1.4944821652740447e-7,1.455612834415101e-7,1.390668972756532e-7,1.1474927574408866e-7,1.0638084951482557e-7,1.1083222307702933e-7,729,729,729,729,729,729,729,729,729,729
3,380,1.79654101100735e-6,2.0549638572054e-6,2.3734354811701654e-6,2.4546713682919476e-6,2.5569718697495693e-6,2.5312491407908645e-6,2.2114329564423446e-6,1.4658618417329215e-6,1.2839191888193617e-6,1.3659920574620493e-6,1.3403510775193752e-7,1.433514512380464e-7,1.540595820184569e-7,1.566739087497324e-7,1.599053429297961e-7,1.5909899876463285e-7,1.4870887520394823e-7,1.2107278148836432e-7,1.1331015792149272e-7,1.1687566288419711e-7,380,380,380,380,380,380,380,380,380,380
4,454,2.813473064272455e-6,3.3722189026400772e-6,3.851174755059462e-6,4.076770126205648e-6,4.235467603184727e-6,4.147832610605722e-6,3.591179260301397e-6,2.3630153787079334e-6,2.0684851455626264e-6,2.141894150075509e-6,1.6773410697507095e-7,1.8363602322638326e-7,1.9624410195110226e-7,2.0191013164786078e-7,2.0580251706878432e-7,2.0366228444672132e-7,1.8950407014893895e-7,1.537210258457812e-7,1.4382229123340464e-7,1.46352114780604e-7,454,454,454,454,454,454,454,454,454,454
5,452,1.6328236851415071e-6,1.7924512150036737e-6,2.2100674933464944e-6,2.3842539955776204e-6,2.459294938764289e-6,2.415821042817203e-6,2.1760487912691e-6,1.474273405226668e-6,1.3185952368720575e-6,1.4468072520913507e-6,1.277819895424041e-7,1.3388245646848857e-7,1.4866295750275166e-7,1.5441029744086435e-7,1.5682139327159063e-7,1.5542911705395495e-7,1.475143651062194e-7,1.214196608966879e-7,1.1483010218893204e-7,1.202833010891932e-7,452,452,452,452,452,452,452,452,452,452
6,325,1.99776858719303e-6,2.445049457593677e-6,2.9646097761760285e-6,3.2202442050182254e-6,3.3621196091484906e-6,3.3397490644790684e-6,2.94059958756899e-6,1.956745362582965e-6,1.7412786617805349e-6,1.8274810770186345e-6,1.4134244186347672e-7,1.5636653918257822e-7,1.7218042212098414e-7,1.7945038882705789e-7,1.8336083576239747e-7,1.8274980340561432e-7,1.714817654320421e-7,1.398837146555297e-7,1.3195751823145717e-7,1.3518435845239768e-7,325,325,325,325,325,325,325,325,325,325
7,449,3.492702751760665e-6,4.3696501451808675e-6,5.301667913206007e-6,5.736396594061746e-6,6.00622037769913e-6,6.028996857413643e-6,5.18128087998915e-6,3.4268461996398067e-6,3.0265304714571723e-6,3.1716999408731455e-6,1.8688774041548754e-7,2.0903708152337154e-7,2.3025351057488803e-7,2.395077575792013e-7,2.450759143143024e-7,2.4554015674454646e-7,2.276242711133668e-7,1.8511742758691862e-7,1.7396926370647123e-7,1.7809267084507283e-7,449,449,449,449,449,449,449,449,449,449
8,107,7.543636095388311e-7,9.143951064377253e-7,1.148352525226795e-6,1.2805737781404807e-6,1.3506937241425247e-6,1.3531662559367868e-6,1.2281172782000287e-6,8.469938367483336e-7,7.619902801394814e-7,8.668525016155335e-7,8.685410810887595e-8,9.562400882820826e-8,1.0716121150989265e-7,1.1316243979962966e-7,1.1621934968595051e-7,1.1632567454937826e-7,1.1082045290468852e-7,9.203226807747017e-8,8.72920546292434e-8,9.310491402796812e-8,107,107,107,107,107,107,107,107,107,107
9,214,1.7978243559817825e-6,2.2812485522072273e-6,2.9669139695210727e-6,3.2904036831844175e-6,3.502813642020194e-6,3.5099223470672747e-6,3.190760242932955e-6,2.1827912032511496e-6,1.9836971270987814e-6,2.2008957522974142e-6,1.3408297266923128e-7,1.5103802674185157e-7,1.7224732130053787e-7,1.8139469901803684e-7,1.8715805197800585e-7,1.8734786753703055e-7,1.7862699244327423e-7,1.4774272243502045e-7,1.4084378321739235e-7,1.4835416247269284e-7,214,214,214,214,214,214,214,214,214,214
10,193,1.987423002716131e-6,2.5535874509766993e-6,3.1600201141771147e-6,3.4599594819479482e-6,3.63069467067149e-6,3.653642226454569e-6,3.1450904166739178e-6,2.075228661894108e-6,1.8369736921824202e-6,1.9173169142031083e-6,1.4097599096002592e-7,1.5979948219492765e-7,1.777644541008442e-7,1.860096632422076e-7,1.9054381833771174e-7,1.911450294005724e-7,1.7734402771658023e-7,1.44056539660444e-7,1.3553500257064298e-7,1.384672132384814e-7,193,193,193,193,193,193,193,193,193,193
