region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F430M,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F430M_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F430M_n_eff
1,786,3.898766409536485e-7,6.623376781586983e-7,9.407678009155747e-7,1.100358347548054e-6,1.2520446861326879e-6,1.2795992173087484e-6,1.607499961537436e-6,1.8619334570605352e-6,1.8133068404550955e-6,1.6462223579383962e-6,1.5261290569983086e-6,6.24401025746794e-8,8.138413101819655e-8,9.6993185374828e-8,1.0489796697496352e-7,1.118948026555607e-7,1.1311937134322964e-7,1.267872218142442e-7,1.364526825335631e-7,1.346590821465487e-7,1.2830519700847648e-7,1.235365960757503e-7,786,786,786,786,786,786,786,786,786,786,786
2,71,9.882403150441691e-8,1.9585381761439707e-7,3.0588496670574166e-7,3.9681679070534094e-7,4.443799239465396e-7,5.112397173021625e-7,6.037102574202075e-7,7.243891054499563e-7,7.023199099391813e-7,6.530876517408787e-7,6.0737146765983e-7,3.1436289778600924e-8,4.4255374545290776e-8,5.53068681725644e-8,6.299339574156492e-8,6.666182745368894e-8,7.150102917456241e-8,7.769879390442347e-8,8.511105130651109e-8,8.380452911025641e-8,8.081383865037464e-8,7.793404055095758e-8,71,71,71,71,71,71,71,71,71,71,71
3,29,4.567931778722889e-8,8.593420997255815e-8,1.4075346231410808e-7,1.803332799688184e-7,2.0956728875674127e-7,2.131584221215395e-7,2.9854312718022303e-7,3.652561801699e-7,3.5956034064528943e-7,3.4516989588759037e-7,3.215811800974213e-7,2.1372720413468402e-8,2.9314537344559635e-8,3.751712439861404e-8,4.246566612792249e-8,4.577851993640044e-8,4.6169082958354234e-8,5.463910021040088e-8,6.043642777083205e-8,5.9963350527242e-8,5.875116134065695e-8,5.6708128173783105e-8,29,29,29,29,29,29,29,29,29,29,29
4,104,1.8232536792987112e-7,3.7930061593939487e-7,6.357863920962602e-7,8.270901936280367e-7,9.61438092586247e-7,1.0169453269325547e-6,1.3884892642457386e-6,1.7118122780230805e-6,1.6723309767189031e-6,1.594673185340763e-6,1.5041894686148124e-6,4.269957469693008e-8,6.158738636599177e-8,7.973621461395444e-8,9.09444992084753e-8,9.805294960307146e-8,1.0084370713795457e-7,1.1783417434028799e-7,1.3083624413835336e-7,1.2931863658107842e-7,1.262803700240367e-7,1.2264540222180415e-7,104,104,104,104,104,104,104,104,104,104,104
5,51,1.040849200647693e-7,2.0382044047385857e-7,3.1970342636495433e-7,4.168255859676498e-7,4.6846594394069e-7,5.273695546412889e-7,6.341803777353011e-7,7.656191849840773e-7,7.477180433423032e-7,7.000759339457939e-7,6.470925092836932e-7,3.2262194603710594e-8,4.514647721294083e-8,5.654232276489483e-8,6.45620310993737e-8,6.84445720229654e-8,7.262021444758263e-8,7.963544297203984e-8,8.74996677127449e-8,8.647069118159652e-8,8.367054045157075e-8,8.044206047110512e-8,51,51,51,51,51,51,51,51,51,51,51
6,43,1.1915830179369857e-7,2.2509810834091394e-7,3.4983850776071023e-7,4.619441932293263e-7,5.126942109980398e-7,5.841311108892385e-7,6.979720401712685e-7,8.349250709985265e-7,8.203645718073937e-7,7.730497515199698e-7,7.202298808063169e-7,3.451931369446655e-8,4.7444505302607374e-8,5.914714767093256e-8,6.79664765328707e-8,7.160266831606485e-8,7.642847053874874e-8,8.354472096854885e-8,9.13742343879568e-8,9.0573979254938e-8,8.792324786539507e-8,8.486635851774937e-8,43,43,43,43,43,43,43,43,43,43,43
7,31,1.542388729556274e-7,2.615801229828776e-7,3.822878539334749e-7,4.904377203989373e-7,5.451669668915734e-7,6.123632395048988e-7,7.074867737166184e-7,8.328628802185597e-7,8.156961083293014e-7,7.68882548803246e-7,7.056352400740812e-7,3.927325718038006e-8,5.114490424107544e-8,6.182943101254247e-8,7.003125876342202e-8,7.383542286000491e-8,7.825364141718255e-8,8.41122329816905e-8,9.126132150142029e-8,9.031589607202606e-8,8.768594806485507e-8,8.400209759726725e-8,31,31,31,31,31,31,31,31,31,31,31
8,70,1.5813889667496287e-7,3.318538412445546e-7,5.636416280243005e-7,7.613416719362564e-7,8.770998310967409e-7,9.663139521907744e-7,1.262467664467543e-6,1.5453913688514158e-6,1.5100764679706138e-6,1.4321564972277929e-6,1.337273404585018e-6,3.976668161601655e-8,5.760675665619048e-8,7.507606995736395e-8,8.725489510258186e-8,9.365360810437261e-8,9.830126917750221e-8,1.1235958634969884e-7,1.2431377111371915e-7,1.2288516867265203e-7,1.1967274114132226e-7,1.1564053807316092e-7,70,70,70,70,70,70,70,70,70,70,70
9,49,1.1346442356360542e-7,2.2987257330893925e-7,3.8778323708629507e-7,4.923479747602331e-7,5.77505871634662e-7,6.028989779823148e-7,8.482817029628882e-7,1.0511987661885395e-6,1.0183899902920832e-6,9.907787715884728e-7,9.272422468250329e-7,3.368448063479759e-8,4.794502824161638e-8,6.227224398448278e-8,7.016751205224775e-8,7.599380709206915e-8,7.764656965908505e-8,9.210220968917567e-8,1.0252798477433073e-7,1.0091531054761131e-7,9.953787076226178e-8,9.62934186133732e-8,49,49,49,49,49,49,49,49,49,49,49
10,43,1.6359108417993792e-7,3.221482318607136e-7,5.310384106619481e-7,7.146059381954319e-7,8.177554333213446e-7,9.173158049451274e-7,1.1474042201122269e-6,1.3922932911000893e-6,1.367521085750857e-6,1.3006946969131567e-6,1.2075937056628897e-6,4.044639466997497e-8,5.675810355012873e-8,7.287238233116495e-8,8.453436805201963e-8,9.042983099184387e-8,9.577660491712616e-8,1.0711695571254005e-7,1.1799547834981175e-7,1.1694105719339367e-7,1.1404800291601589e-7,1.0989056855175924e-7,43,43,43,43,43,43,43,43,43,43,43
