region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F430M,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F430M_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F430M_n_eff
31,3,2.2658266544004866e-7,2.544469165755126e-7,2.897162628116125e-7,3.0590620040203397e-7,3.1684201239878186e-7,3.1033506392515495e-7,2.3066823005273272e-7,1.497917604422734e-7,1.4651970863174e-7,1.2541417598610632e-7,1.3065943717871977e-7,4.760070014611641e-8,5.044273154533888e-8,5.382529728776354e-8,5.5308787764878193e-8,5.628872110812093e-8,5.570772513082498e-8,4.8027932503152026e-8,3.870294051390326e-8,3.827789291898654e-8,3.54138639498864e-8,3.614684456196969e-8,3,3,3,3,3,3,3,3,3,3,3
32,5,1.3606863977422156e-7,1.5838630917100196e-7,1.8804592373662924e-7,2.083612275379139e-7,2.1727887633188008e-7,2.2128832819929144e-7,2.0683022738890518e-7,1.4701130869113026e-7,1.3659075739063383e-7,1.240416646136535e-7,1.387531232895078e-7,3.688748294126635e-8,3.979777747198981e-8,4.336426221402011e-8,4.564660201350303e-8,4.661318229126607e-8,4.704129337074943e-8,4.5478591379780574e-8,3.83420537649107e-8,3.695818683196374e-8,3.521954920405051e-8,3.7249580304952135e-8,5,5,5,5,5,5,5,5,5,5,5
33,1,7.357980249582127e-8,7.986719606925981e-8,9.021121977833114e-8,9.110300063158996e-8,9.83895587851687e-8,8.985433578236997e-8,6.950880050854627e-8,4.4797573090677486e-8,4.6114482877729434e-8,3.963311672121435e-8,4.183513164402333e-8,2.7125597227678004e-8,2.8260784856273863e-8,3.003518266605534e-8,3.0183273618279045e-8,3.136710996970692e-8,2.9975712799259664e-8,2.6364521711676517e-8,2.1165437177312803e-8,2.1474282963053603e-8,1.9908067892493824e-8,2.0453638220136616e-8,1,1,1,1,1,1,1,1,1,1,1
34,14,3.235693383278965e-7,3.8541094542237424e-7,4.5524960518774644e-7,4.623623061249115e-7,5.120164775966505e-7,4.799641704647123e-7,4.136682486649444e-7,2.790439522361017e-7,2.791427278609296e-7,2.511798191120193e-7,2.722345721773625e-7,5.6883155532011104e-8,6.208147432385721e-8,6.747218724687576e-8,6.799722833505139e-8,7.155532667779881e-8,6.92794464805192e-8,6.431704662567649e-8,5.2824610953238616e-8,5.283395952045707e-8,5.011784304137792e-8,5.2176102976109905e-8,14,14,14,14,14,14,14,14,14,14,14
35,5,1.9507264612473593e-7,2.2440996168335638e-7,2.601398134052805e-7,2.6180599210821794e-7,2.8766884325040816e-7,2.6824364183675356e-7,2.214853095956595e-7,1.416860437368873e-7,1.4256325006019187e-7,1.298526525462729e-7,1.376549339264925e-7,4.416702911955206e-8,4.7371928574141496e-8,5.1003903125670735e-8,5.116698076965436e-8,5.363476887713866e-8,5.179224283971043e-8,4.706222578625659e-8,3.7641206640713223e-08,3.775754892206218e-8,3.603507354595976e-8,3.7101877840143414e-8,5,5,5,5,5,5,5,5,5,5,5
36,6,2.9265175340788233e-7,3.260951375793445e-7,3.721542644371036e-7,3.9257124421565034e-7,4.085606002642494e-7,3.960654973812919e-7,3.253370284795225e-7,2.120847534898321e-7,2.0506869791461115e-7,1.8467069386139333e-7,1.9569377898125826e-7,5.4097296920260474e-8,5.710474039686587e-8,6.100444774252969e-8,6.265550608012438e-8,6.391874531498951e-8,6.29337347836033e-8,5.7038322948656414e-8,4.605266045407498e-8,4.528451147076792e-8,4.297332822360787e-8,4.423728958483536e-8,6,6,6,6,6,6,6,6,6,6,6
37,5,1.5374724148456183e-7,1.8016607521630054e-7,2.1160403727023916e-7,2.1419250009921673e-7,2.39143376334986e-7,2.263913106756527e-7,1.918373846877231e-7,1.2938800095798748e-7,1.286211180616549e-7,1.174047398492265e-7,1.2344890355317972e-7,3.921061609877634e-8,4.244597451070013e-8,4.6000438831628464e-8,4.628093561059637e-8,4.890228791528941e-8,4.7580595905857745e-8,4.379924482085543e-8,3.5970543637535906e-8,3.5863786479073134e-8,3.426437506350094e-8,3.513529614976651e-8,5,5,5,5,5,5,5,5,5,5,5
38,1,5.8182072635495363e-8,6.153057574882713e-8,6.890446662572418e-8,6.885556220655844e-8,7.262186526946151e-8,7.190140723793436e-8,5.451748847727838e-8,3.506125688380735e-8,3.4067122934929214e-08,2.9711678027216752e-8,3.151923179524915e-8,2.4120960311624277e-8,2.4805357435204828e-8,2.6249660307463825e-8,2.62403434060148e-8,2.694844434646674e-8,2.681443775989613e-8,2.3348980379725016e-8,1.8724651367597567e-8,1.8457281201447088e-8,1.723707574596595e-8,1.7753656467119428e-8,1,1,1,1,1,1,1,1,1,1,1
39,16,3.7513149737777566e-7,4.4502311944392534e-7,4.933301997139215e-7,5.031755590377908e-7,5.27860438818419e-7,5.161981439545144e-7,4.118685889223145e-7,2.791483151904221e-7,2.670084547988312e-7,2.288587546342566e-7,2.3729137897475794e-7,6.1247979344446593e-08,6.671005317371028e-8,7.023746861283666e-8,7.093486864989536e-8,7.265400462592677e-8,7.184693062020912e-8,6.4176988782765e-8,5.28344882808968e-8,5.167286084578937e-8,4.783918421485222e-8,4.8712562956054565e-8,16,16,16,16,16,16,16,16,16,16,16
40,1,1.1952476499745018e-8,1.1800347564784603e-8,1.049952387674368e-8,1.1484317779288755e-8,1.08274948584656e-8,5.348565578491628e-9,3.5463920234407125e-9,2.8602325915494866e-9,2.5579261778905364e-9,2.174231409946953e-9,1.9722254573810874e-9,1.09327382204757e-8,1.0862940469681588e-8,1.0246718438965559e-8,1.0716490927205955e-8,1.040552490673373e-8,7.313388803073189e-9,5.955159127547065e-9,5.34811423919636e-9,5.057594465643264e-9,4.662865438704995e-9,4.44097450722371e-9,1,1,1,1,1,1,1,1,1,1,1
