region_id,value
1,4.5194754376971595e-11
2,1.7849773013298689e-10
3,1.4013254935628267e-10
4,2.2823318233582637e-10
5,1.1845037073198265e-10
6,8.022362172562993e-11
7,2.7951674403833053e-11
8,4.297024841794954e-11
9,1.3798976591651872e-10
10,2.676621640257812e-10
11,1.141005274227567e-10
12,5.793081056838191e-12
13,1.4037972253832717e-10
14,1.5776656899844126e-12
15,6.803424109674898e-11
16,2.399281517138439e-10
17,1.5717128251592174e-10
18,1.4823044181523062e-10
19,1.5711121741960537e-10
20,2.4727441806936733e-10
