"method","n_regions","valid_pixels","mean_pixels_per_region","median_pixels_per_region","mean_cluster_snr","mean_avg_corr","median_avg_corr","mean_pixel_intravariance","median_pixel_intravariance","target_sn","voronoi_mask_mode"
"sagui",20,1905,95.25,45.5,39.7764734253467,0.991651812072136,0.997616782356485,0.148914775857787,0.0121458364840572,NA,"shared"
"voronoi",21,8449,402.333333333333,138,46.6856481273261,0.975118109967144,0.996599090209498,0.161267403746398,0.0491837072804864,43.8019870967394,"none"
