"method","region","n_pixels","avg_corr","mean_pixel_intravariance","median_pixel_intravariance","cluster_snr"
"voronoi",1,25,0.99775619588512,0.00205555353189564,0.000904687614301195,49.700744069429
"voronoi",2,69,0.994569225036577,0.0097355674638631,0.00388186761376667,48.2584462935768
"voronoi",3,29,0.997518629702396,0.00681540502358036,0.00454963566869809,51.8092177371211
"voronoi",4,65,0.998443779051614,0.00269565948541286,0.00128945088371222,49.6544457313357
"voronoi",5,152,0.995034259026387,0.0068326381431477,0.00354313798309385,45.188932451745
"voronoi",6,1129,0.970204518827295,0.0926258555762619,0.0280959817626138,43.9435462879495
"voronoi",7,163,0.997088668336459,0.031662835278109,0.01938473058242,48.7353713330719
"voronoi",8,847,0.94756067983385,0.147850413254307,0.0903340133209763,43.9754739187078
"voronoi",9,1378,0.918956101508544,0.18503166119345,0.0457941110730115,45.3429219917222
"voronoi",10,115,0.996191586132103,0.00974592494822094,0.0069659552746639,48.4083468825648
"voronoi",11,148,0.997442459101237,0.00596261784099688,0.00283577752531055,45.4590386015204
"voronoi",12,765,0.902997071884125,0.363977525219984,0.0879432096805585,44.5239616292662
"voronoi",13,103,0.998421496305414,0.00373080782333998,0.00219948211409265,45.0184652979585
"voronoi",14,957,0.964672673694491,0.110662020627558,0.033999616260829,44.7422643638291
"voronoi",15,27,0.998778924330244,0.00171887356840257,0.000903742463893145,48.4315446091949
"voronoi",16,56,0.996599090209498,0.00808938710719805,0.00854544353619184,51.9723066769815
"voronoi",17,138,0.998262195647698,0.0237799346422342,0.0161841187707526,47.9033741768758
"voronoi",18,122,0.996933884951833,0.00656897830613831,0.00228872402031239,46.4724683266354
"voronoi",19,79,0.997162886218758,0.00711651867659922,0.00632809148706163,44.6551622071841
"voronoi",20,950,0.873250956124975,0.276047906411748,0.121174987110285,44.3543408542773
"voronoi",21,1132,0.93963502750141,0.191122882675794,0.0888954914645868,41.8482372329005
