region,n_pix,F090W,F115W,F150W,F200W,F277W,F356W,F410M,F444W,F090W_err,F115W_err,F150W_err,F200W_err,F277W_err,F356W_err,F410M_err,F444W_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F200W_n_eff,F277W_n_eff,F356W_n_eff,F410M_n_eff,F444W_n_eff
1,222,3.104168954195232e-8,4.062358896594963e-8,4.212238028212029e-8,4.7510085294086614e-8,2.09436258558873e-7,1.661851553388425e-7,1.2173229181563332e-7,1.1634093300315524e-7,1.646826268367076e-9,1.555721862538527e-9,1.5501972210555847e-9,1.4619364369293561e-9,4.927805416783881e-9,4.401572575212366e-9,5.846572528965887e-9,4.074628674767121e-9,222,222,222,222,222,222,222,222
2,254,7.433669102198245e-8,9.491872818151348e-8,1.0404955013965664e-7,1.1723921143889447e-7,4.968417184016213e-7,3.9942655801496366e-7,3.0209451682602314e-7,2.873399408882389e-7,1.761522346034729e-9,1.6640728155215116e-9,1.6581634007805852e-9,1.5637555409454004e-9,5.271010989630952e-9,4.708127747208105e-9,6.2537672341710416e-9,4.358413270583252e-9,254,254,254,254,254,254,254,254
3,473,1.9105946833749471e-7,2.464712046599439e-7,2.7964336908572246e-7,3.1983935978938806e-7,1.3474815240426508e-6,1.0772638419211859e-6,7.933354938045645e-7,7.697533401019824e-7,2.4038195831598224e-9,2.270837398548476e-9,2.26277325623928e-9,2.1339418151923494e-9,7.1929598102729445e-9,6.424834578018946e-9,8.534054750916687e-9,5.947605033177997e-9,473,473,473,473,473,473,473,473
4,263,1.3394091136689776e-7,1.7522001434921758e-7,2.0137459815075502e-7,2.3205942138118928e-7,9.670058387467633e-7,7.741490620347639e-7,5.683741500921798e-7,5.418843457096043e-7,1.7924587615123208e-9,1.6932977913623371e-9,1.687284593600965e-9,1.5912187129164927e-9,5.363582160430599e-9,4.790813383548217e-9,6.363597882582614e-9,4.434957110101002e-9,263,263,263,263,263,263,263,263
5,397,2.3001696124414923e-7,3.0397933447509053e-7,3.614470275903081e-7,4.2015753411883774e-7,1.7763531878588833e-6,1.4148965871321255e-6,1.0476993308964989e-6,9.769065977625766e-7,2.202249661611389e-9,2.0804185670016524e-9,2.073030635396458e-9,1.9550022278411944e-9,6.58980125593923e-9,5.8860864078461266e-9,7.81844000233764e-9,5.4488744760523845e-9,397,397,397,397,397,397,397,397
6,302,1.9869641917120434e-7,2.658517671789024e-7,3.2405349252781377e-7,3.826143541918598e-7,1.6266765430646635e-6,1.3015727824027323e-6,9.458629171536023e-7,8.978569181277062e-7,1.920767373128119e-9,1.814508216576522e-9,1.8080645793134442e-9,1.705122066352158e-9,5.747520577909993e-9,5.133751601683191e-9,6.819119887734081e-9,4.75242225997846e-9,302,302,302,302,302,302,302,302
7,201,1.5300679832104502e-7,2.0848816527298305e-7,2.54759413152566e-7,3.064982626428696e-7,1.3156860077492929e-6,1.0626924353908606e-6,7.676744911120595e-7,7.303222072169555e-7,1.567001193527877e-9,1.4803128066523506e-9,1.4750559559669604e-9,1.391073354569277e-9,4.6889444976063986e-9,4.188219250107294e-9,5.563177067864655e-9,3.877122996631598e-9,201,201,201,201,201,201,201,201
8,173,1.6034244009517358e-7,2.1789854066575864e-7,2.6510324806101606e-7,3.2168273452484705e-7,1.3706614244003968e-6,1.1016991502083958e-6,7.951283720160767e-7,7.529506692315751e-7,1.453765472934478e-9,1.3733414220374266e-9,1.368464445520525e-9,1.290550652765651e-9,4.350108757594266e-9,3.8855672631478425e-9,5.161166931133309e-9,3.596951661621695e-9,173,173,173,173,173,173,173,173
9,133,1.3139379034699755e-7,1.8425710650204913e-7,2.285068901244078e-7,2.7730799269120245e-7,1.200058684345661e-6,9.617611551269682e-7,7.01351381833214e-7,6.5406945436987e-7,1.274668105253902e-9,1.2041519357049997e-9,1.1998757807598568e-9,1.131560616840376e-9,3.814194924094887e-9,3.4068828524011012e-9,4.525334378541332e-9,3.153823394879764e-9,133,133,133,133,133,133,133,133
10,58,5.851916476920252e-8,8.367078596798193e-8,1.0552210018178562e-7,1.2928395073885624e-7,5.665938252237383e-7,4.55813160541524e-7,3.2796440541864966e-7,3.100837698602667e-7,8.417542064225217e-10,7.951873533774548e-10,7.923635034689552e-10,7.472501313255355e-10,2.518784778750526e-9,2.249807585187954e-9,2.9884008495269065e-9,2.0826943876696427e-9,58,58,58,58,58,58,58,58
11,74,8.076136019167585e-8,1.1630656609430993e-7,1.482356697333688e-7,1.835619050256907e-7,7.99945262676498e-7,6.479949629358537e-7,4.6995468795561146e-7,4.4283021629014096e-7,9.507955893502782e-10,8.981964361208045e-10,8.950067828734518e-10,8.440493953992861e-10,2.8450697838942698e-9,2.541249111156534e-9,3.3755202234351257e-9,2.3524879622245654e-9,74,74,74,74,74,74,74,74
12,54,6.63947794211076e-8,9.792066097121766e-8,1.27563174884131e-7,1.5865416429775347e-7,6.974377107523273e-7,5.609418845094897e-7,4.057546478467401e-7,3.789704173755608e-7,8.122097123622235e-10,7.672772961904142e-10,7.645525597953517e-10,7.210226092079654e-10,2.4303786604713725e-9,2.17084222174784e-9,2.8835118089079405e-9,2.0095944833312544e-9,54,54,54,54,54,54,54,54
