region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F444W,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F444W_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F444W_n_eff
1,181,2.839074174566945e-8,3.6815089796268504e-08,4.584467438156222e-8,6.026811009475205e-8,5.362317757464672e-8,4.496570171825278e-8,1.7763786121847864e-7,1.788763613020176e-7,1.6828326144842564e-7,1.6194716170081154e-7,1.620940110611348e-7,1.0933213382420488e-9,9.500650797749155e-10,1.12143557083847e-9,2.0808655050593926e-9,1.1038439889198704e-9,2.4454969672562976e-9,3.505081001110284e-9,3.7112511071065935e-9,2.791055648967312e-9,3.839569314985048e-9,3.181381238771368e-9,181,181,181,181,181,181,181,181,181,181,181
2,164,1.2887097829936274e-7,1.4859747759084662e-7,1.6916783452992195e-7,1.816775436417293e-7,1.8726411740150635e-7,1.850853845683592e-7,6.361542233795095e-7,4.5771875098259095e-7,4.2965700775272657e-7,3.6624164543750815e-7,3.8500211119596144e-7,1.0407117570262255e-9,9.043488532398121e-10,1.067473159533846e-9,1.9807362393453897e-9,1.050728067778101e-9,2.3278219829568175e-9,3.336419842541433e-9,3.5326692394503954e-9,2.6567527101091666e-9,3.654812897411344e-9,3.0282962043854527e-9,164,164,164,164,164,164,164,164,164,164,164
3,317,4.1851169137635945e-7,4.7075018870092775e-7,5.357807029450185e-7,5.674891271509671e-7,5.884145535570792e-7,5.821511087166904e-7,1.9778857216347097e-6,1.3933474764307763e-6,1.3284648069820728e-6,1.161035746641643e-6,1.243836033054247e-6,1.4468988382736203e-9,1.25731384921194e-9,1.4841051463002462e-9,2.753812421437921e-9,1.4608244889572334e-9,3.2363648244661265e-9,4.638615794982899e-9,4.911460819056478e-9,3.693676355517887e-9,5.081276827776491e-9,4.210232305431052e-9,317,317,317,317,317,317,317,317,317,317,317
4,340,5.721107376965279e-7,6.454291005267104e-7,7.252464691591615e-7,7.582475232789562e-7,7.888919832585617e-7,7.737411297568547e-7,2.656691532161161e-6,1.8924999663373442e-6,1.8063925856443988e-6,1.5878885024878491e-6,1.7089638039597529e-6,1.4984698024502924e-9,1.3021275471439308e-9,1.5370022330278745e-9,2.85196493768757e-9,1.5128917969096723e-9,3.3517166721629044e-9,4.803947249169311e-9,5.08651712793907e-9,3.825327889109492e-9,5.262385788766243e-9,4.360295138889344e-9,340,340,340,340,340,340,340,340,340,340,340
5,319,6.789188445240119e-7,7.701049536923148e-7,8.738936660873471e-7,9.131187987829326e-7,9.572784634397865e-7,9.38419412271235e-7,3.256578158170233e-6,2.2857550174143837e-6,2.1967806330471317e-6,1.94252346785375e-6,2.1217111736668806e-6,1.4514560112530395e-9,1.2612739026370395e-9,1.4887795047919606e-9,2.7624858678637536e-9,1.4654255223623698e-9,3.2465581247435643e-9,4.653225644686023e-9,4.926930025293996e-9,3.7053100106407078e-9,5.09728088890914e-9,4.22349291245613e-9,319,319,319,319,319,319,319,319,319,319,319
6,145,4.146190611303196e-7,4.596600466227858e-7,5.207123113433782e-7,5.47199863343906e-7,5.677247227735651e-7,5.600835683165425e-7,1.93622096180305e-6,1.3489375167983388e-6,1.303178228727193e-6,1.1574580019617807e-6,1.271913195246721e-6,9.785714431582453e-10,8.503506916863687e-10,1.0037349373688337e-9,1.8624675921703932e-9,9.879896856268343e-10,2.188829041181033e-9,3.137204089657748e-9,3.32173554541923e-9,2.4981194995576394e-9,3.4365860742390555e-9,2.8474783406924004e-9,145,145,145,145,145,145,145,145,145,145,145
7,116,4.112409425060658e-7,4.441315791628473e-7,5.026005295578948e-7,5.275357892986527e-7,5.434354678487021e-7,5.351970612182324e-7,1.8454354524194223e-6,1.2859721368336913e-6,1.2333333170209147e-6,1.0973403614605393e-6,1.2199359589599852e-6,8.752609070967631e-10,7.605767805298742e-10,8.977678205392823e-10,1.6658416567933416e-9,8.836848392520993e-10,1.95774821088259e-9,2.806000641506028e-9,2.9710505931338953e-9,2.234386006771455e-9,3.0737760290110667e-9,2.5468620536986048e-9,116,116,116,116,116,116,116,116,116,116,116
8,72,2.747815388440688e-7,3.236348600698717e-7,3.686188284327104e-7,3.855884526705616e-7,4.0469352424311013e-7,4.0112412705943437e-7,1.340680137878838e-6,9.52141995427615e-7,8.983887368456452e-7,7.889344316765171e-7,8.311959672019424e-7,6.895643251946459e-10,5.992117438038592e-10,7.072961403075644e-10,1.3124143539759834e-9,6.96201024086463e-10,1.5423896040509805e-9,2.210675609029498e-9,2.340708331381048e-9,1.7603355370850378e-9,2.4216393946749972e-9,2.006516227541706e-9,72,72,72,72,72,72,72,72,72,72,72
9,62,2.7425359271755937e-7,3.2456727870356497e-7,3.7453819148502766e-7,3.9472481399983273e-7,4.13066989111471e-7,4.075572882621951e-7,1.3874774956705099e-6,9.696889007116667e-7,9.288344657473126e-7,8.175856733362491e-7,8.705706691766192e-7,6.398886126162803e-10,5.560449654900601e-10,6.563430406619467e-10,1.2178689782223443e-9,6.460472085457292e-10,1.4312769785057597e-9,2.051420145621999e-9,2.172085405207121e-9,1.6335222450008869e-9,2.2471862535494527e-9,1.8619682575244743e-9,62,62,62,62,62,62,62,62,62,62,62
10,42,2.105461315085749e-7,2.4993081726363404e-7,2.9152316406611716e-7,3.0848659381638646e-7,3.2412209451569197e-7,3.1924741238121786e-7,1.100125415344743e-6,7.748379099495302e-7,7.443935167910708e-7,6.573652958979884e-7,7.044735694027804e-7,5.26663452790935e-10,4.576555288812785e-10,5.402063502849201e-10,1.002373020040252e-9,5.317323152969985e-10,1.1780195186127643e-9,1.6884313858950462e-9,1.7877455180612386e-9,1.3444784745354883e-9,1.8495576386642028e-9,1.5325020826445175e-9,42,42,42,42,42,42,42,42,42,42,42
