region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F356W,F410M,F444W,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F356W_err,F410M_err,F444W_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F356W_n_eff,F410M_n_eff,F444W_n_eff
1,2282,6.234980205778167e-7,6.993481320890398e-7,8.055126005309037e-7,8.259546225981992e-7,8.70308130203044e-7,8.024581861166767e-7,3.1355883595628707e-6,2.278038363060757e-6,2.0255796322436096e-6,2.0903808886175133e-6,6.249031578102089e-9,7.403193350991927e-9,6.2125257762416045e-9,7.366900697233102e-9,5.8496535915803385e-9,9.034573759309478e-9,1.68490537466694e-8,1.3566143347100764e-8,1.873129849334858e-8,1.4060097760490709e-8,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282
2,1270,1.2557261954879098e-6,1.4605504036215687e-6,1.6961555614110818e-6,1.8021326860447298e-6,1.8586650751373472e-6,1.8331557754600177e-6,6.394172193104212e-6,4.270685426885482e-6,3.7507761719763535e-6,3.943823242478011e-6,4.661833514285102e-9,5.522848531815017e-9,4.634599859205583e-9,5.495773887127972e-9,4.3638939601053706e-9,6.739872924633443e-9,1.2569544970049625e-8,1.0120464415114694e-8,1.3973716405653262e-8,1.0488958830623736e-8,1270,1270,1270,1270,1270,1270,1270,1270,1270,1270
3,1138,1.7052954499230865e-6,2.0382286082903123e-6,2.4019064962759147e-6,2.59886641126237e-6,2.682692204224924e-6,2.670903608182581e-6,9.262255710370584e-6,6.156274037663906e-6,5.447479059990752e-6,5.7117151436292145e-6,4.4129197551072054e-9,5.2279617699408066e-9,4.3871402127584866e-9,5.202332747789789e-9,4.130888374012467e-9,6.380004409185375e-9,1.1898407169855043e-8,9.580092727779e-9,1.3227604329887641e-8,9.928911766653644e-9,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138
4,476,8.927348329896407e-7,1.1132500551681271e-6,1.3461518387563419e-6,1.4686173311322552e-6,1.5322181584066679e-6,1.5318173762003733e-6,5.305991612703358e-6,3.524032652397049e-6,3.1243000555180743e-6,3.337302064910534e-6,2.854028959939205e-9,3.3811524162880697e-9,2.8373561980218665e-9,3.3645770023913467e-9,2.6716268828734546e-9,4.126228972843065e-9,7.695222329980845e-9,6.195866592031427e-9,8.554872493302208e-9,6.421463179772282e-9,476,476,476,476,476,476,476,476,476,476
5,489,1.0415348275508888e-6,1.3205567294708747e-6,1.636808817268464e-6,1.8022285478439366e-6,1.8916661640193468e-6,1.9031743842986936e-6,6.680171729339656e-6,4.480202885879852e-6,4.017447006116177e-6,4.300574538127875e-6,2.8927395195601504e-9,3.427012603425418e-9,2.8758406169997747e-9,3.4102123692634147e-9,2.7078634358958865e-9,4.182194989623188e-9,7.799596310407273e-9,6.2799040935707816e-9,8.670906319990714e-9,6.508560555714668e-9,489,489,489,489,489,489,489,489,489,489
6,358,9.42025540393837e-7,1.2224281179122343e-6,1.5475908698146043e-6,1.7223392675074617e-6,1.8126835445989222e-6,1.8314632942565443e-6,6.447075887912709e-6,4.31028478621883e-6,3.858086059693285e-6,4.129001616827595e-6,2.475120872565576e-9,2.932262088559326e-9,2.4606616285970778e-9,2.917887268442551e-9,2.316934955575312e-9,3.5784204011322434e-9,6.6735851931838895e-9,5.373287706896779e-9,7.4191060313419015e-9,5.568933522315854e-9,358,358,358,358,358,358,358,358,358,358
7,215,6.961760646834648e-7,9.104663040472618e-7,1.1780481091915225e-6,1.3240260866302183e-6,1.3924151720134788e-6,1.4027983929274643e-6,4.978467735058793e-6,3.3317278432735553e-6,3.0027455639814065e-6,3.272032866478886e-6,1.9181127368906325e-9,2.2723776128707657e-9,1.906907441695074e-9,2.26123774254681e-9,1.7955254218472088e-9,2.7731226484492395e-9,5.171742884016106e-9,4.164067987068986e-9,5.749489624039355e-9,4.315685120047909e-9,215,215,215,215,215,215,215,215,215,215
8,169,6.314879963684093e-7,8.430516401064073e-7,1.1105097771536418e-6,1.2535806407849815e-6,1.3212028954963492e-6,1.3436524754716079e-6,4.705327529929557e-6,3.119765908738178e-6,2.804873462924593e-6,3.002916483898817e-6,1.7005846377333178e-9,2.014673269852476e-9,1.6906501054692115e-9,2.0047967427980913e-9,1.59189962629767e-9,2.458630133569674e-9,4.5852291837243914e-9,3.691832035256635e-9,5.097455191970779e-9,3.826254669652513e-9,169,169,169,169,169,169,169,169,169,169
9,194,8.309108502383262e-7,1.1073080009891778e-6,1.4892576074642144e-6,1.684031637606442e-6,1.7921257162115106e-6,1.8164377155825395e-6,6.500616650597904e-6,4.369987044347712e-6,3.9462343394864465e-6,4.36344897270908e-6,1.822031010197242e-9,2.1585501195514943e-9,1.8113870084490353e-9,2.147968265425064e-9,1.7055843148752495e-9,2.6342119331033437e-9,4.912680954676102e-9,3.955482310861639e-9,5.4614873184090095e-9,4.0995046681776194e-9,194,194,194,194,194,194,194,194,194,194
10,102,5.292095719239895e-7,7.391031940338809e-7,1.0011241976965891e-6,1.1476775163479571e-6,1.2208620576651827e-6,1.247928819665617e-6,4.4581902027788084e-6,2.9911703658608373e-6,2.7090671110503327e-6,2.92709820513377e-6,1.3211586882223328e-9,1.565169433697012e-9,1.313440699171436e-9,1.5574965080231945e-9,1.2367229336284663e-9,1.9100728596609797e-9,3.562195752657416e-9,2.8681289132059767e-9,3.960136452645253e-9,2.9725598408912698e-9,102,102,102,102,102,102,102,102,102,102
