region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F444W,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F444W_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F444W_n_eff
1,757,9.709463482802004e-8,1.5752217634363457e-7,2.132419556323951e-7,2.6048127784799003e-7,2.804379423870431e-7,2.9442163650304325e-7,1.4018854211849643e-6,1.60825684386616e-6,1.5583787377952e-6,1.422042257393039e-6,1.3156414013160143e-6,1.4014051712415737e-9,1.549660678739839e-9,1.7596009270087865e-9,4.510718331895438e-9,2.180655280200064e-9,5.476503090960132e-9,9.418093893492256e-9,1.2217906673547818e-8,1.0791522354206944e-8,1.0855129564132421e-8,9.474569738735562e-9,757,757,757,757,757,757,757,757,757,757,757
2,281,6.973110141029618e-8,1.2509240696409355e-7,1.8814019121468203e-7,2.3225827027177448e-7,2.577671485327452e-7,2.81945542730626e-7,1.3539273935596792e-6,1.5846556541354324e-6,1.5420664027371371e-6,1.4341171136522072e-6,1.3187565082353286e-6,8.538251359071672e-10,9.441518176094653e-10,1.0720607654919755e-9,2.7482164129289318e-9,1.3285938493675985e-9,3.3366338956722836e-9,5.73810163086041e-9,7.443925597049758e-9,6.574881575870578e-9,6.613635132496305e-9,5.772510306687984e-9,281,281,281,281,281,281,281,281,281,281,281
3,109,4.0502894600119906e-8,7.693609414694144e-8,1.2006210962385155e-7,1.547695115373325e-7,1.733899458316811e-7,1.904121070186614e-7,9.527972739983612e-7,1.1536081808825587e-6,1.1268804192629713e-6,1.0618225735478734e-6,9.86805850866492e-7,5.31776357532739e-10,5.880333026186117e-10,6.676971020786003e-10,1.7116344463510067e-9,8.27470131933336e-10,2.0781105461081166e-9,3.5737842048531387e-9,4.636199466695287e-9,4.094944536753151e-9,4.1190808901084225e-9,3.5952144948851496e-9,109,109,109,109,109,109,109,109,109,109,109
4,211,9.237172348457808e-8,1.8438267004970282e-7,2.9926673380931924e-7,3.9304990089035836e-7,4.4684390344399966e-7,4.881091481155359e-7,2.5178024167338263e-6,3.081799607339169e-6,3.005682616291153e-6,2.848755265526608e-6,2.6601352191505492e-6,7.398727012060068e-10,8.181442853648042e-10,9.289823654333916e-10,2.381436450417977e-9,1.1512782638952058e-9,2.8913230935789448e-9,4.972288323309418e-9,6.45045116083881e-9,5.697390703402618e-9,5.7309721680564466e-9,5.0021047796994254e-9,211,211,211,211,211,211,211,211,211,211,211
5,156,8.822314078405513e-8,1.7520494604401856e-7,2.91106685900963e-7,3.813655604006904e-7,4.388246517207039e-7,4.80793992791373e-7,2.5373479461430413e-6,3.1105574094944295e-6,3.0285691761610647e-6,2.885026155680545e-6,2.6939332937904318e-6,6.361771631040146e-10,7.034787330641371e-10,7.987824998161643e-10,2.0476704744882444e-9,9.899229133259185e-10,2.486094865092237e-9,4.275406126624262e-9,5.546399689506636e-9,4.898883076612744e-9,4.9277579910156226e-9,4.301043710777712e-9,156,156,156,156,156,156,156,156,156,156,156
6,99,7.152373540001687e-8,1.3948099972360751e-7,2.278714938795826e-7,2.995149211935198e-7,3.443528744533781e-7,3.788632118667576e-7,1.9727912413998185e-6,2.422423036090662e-6,2.347948338981015e-6,2.2440316891639438e-6,2.0910403716538616e-6,5.067962273366307e-10,5.604105092187449e-10,6.363321113165564e-10,1.631230624871674e-9,7.885998223825525e-10,1.9804915540857215e-9,3.405906123277218e-9,4.418414556454997e-9,3.9025850115035945e-9,3.9255875625738765e-9,3.426329728022159e-9,99,99,99,99,99,99,99,99,99,99,99
7,123,1.0906393072499754e-7,2.1228629702401835e-7,3.487586400249562e-7,4.6076197646450453e-7,5.325008647082068e-7,5.823138794266006e-7,3.0515398859573214e-6,3.736777548751965e-6,3.6475944399377733e-6,3.4732495498415926e-6,3.2298248171556373e-6,5.648957816926866e-10,6.246564508532557e-10,7.092817705597438e-10,1.8182363033769386e-9,8.790055826749584e-10,2.2075368051978274e-9,3.796362123671888e-9,4.924945392407396e-9,4.349980705817583e-9,4.375620289079796e-9,3.8191271079891686e-9,123,123,123,123,123,123,123,123,123,123,123
8,71,6.788924762895194e-8,1.3502850701999087e-7,2.2876585092429197e-7,3.114831823098952e-7,3.577901252384109e-7,3.9472451083850516e-7,2.1071604967395684e-6,2.609353692570877e-6,2.549484708342221e-6,2.4650995445604863e-6,2.2882072615959854e-6,4.2918541046479446e-10,4.745891967109498e-10,5.388841582791037e-10,1.3814238298053922e-9,6.678335792679579e-10,1.6771989109495532e-9,2.884325373149112e-9,3.741778179726194e-9,3.3049428146657832e-9,3.3244227531308323e-9,2.901621305345951e-9,71,71,71,71,71,71,71,71,71,71,71
9,106,9.922757077360368e-8,2.097599562102089e-7,3.7841672488068106e-7,5.257814703916585e-7,6.231119947942862e-7,6.885850988394153e-7,3.843433122687635e-6,4.81148781783386e-6,4.7401357389166264e-6,4.628071434540713e-6,4.289862508826258e-6,5.244072758022564e-10,5.798846412389537e-10,6.584445009677647e-10,1.6879155014426792e-9,8.160034788086253e-10,2.0493131649490533e-9,3.5242605516864986e-9,4.571953412306166e-9,4.038198913248689e-9,4.06200079750237e-9,3.54539387184289e-9,106,106,106,106,106,106,106,106,106,106,106
10,54,4.7830196310376445e-8,1.1067722666659903e-7,2.1076645597007534e-7,3.055256633335071e-7,3.6458593411499005e-7,4.021794369608764e-7,2.3353980158910306e-6,2.9698388050779384e-6,2.9225392435918394e-6,2.8561279057227863e-6,2.655886740585708e-6,3.7429381947340045e-10,4.1389059084133444e-10,4.699624100398899e-10,1.204743658479618e-9,5.82419567538632e-10,1.462689949586324e-9,2.5154283770989912e-9,3.263215413112996e-9,2.8822500464374428e-9,2.899238556282858e-9,2.530512208854355e-9,54,54,54,54,54,54,54,54,54,54,54
