"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F335M","F356W","F410M","F430M","F444W","F460M","F480M","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F335M_err","F356W_err","F410M_err","F430M_err","F444W_err","F460M_err","F480M_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F335M_n_eff","F356W_n_eff","F410M_n_eff","F430M_n_eff","F444W_n_eff","F460M_n_eff","F480M_n_eff"
1,824,1.90094459818252e-07,2.44307923258009e-07,2.75456524268313e-07,2.74338184634919e-07,2.86008189563076e-07,1.18581776421493e-06,1.20046538930347e-06,1.22096371016956e-06,1.23687808193011e-06,1.16110371224822e-06,1.15999027028459e-06,1.11740299240329e-06,1.0015761573569e-06,1.51939784397236e-07,2.49816608002735e-09,3.00287951963979e-09,3.22042083797293e-09,3.08687016935092e-09,3.6190946286482e-09,1.14498492147408e-08,1.35921035673042e-08,1.26604353828022e-08,1.38034446552141e-08,1.7119861179771e-08,1.25195432775968e-08,1.97646210185694e-08,1.54881353558316e-08,2.49087682131256e-09,824,824,824,824,824,824,824,824,824,824,824,824,824,824
2,353,2.37552281469427e-07,3.03062839790555e-07,3.25711849219906e-07,3.40723036678288e-07,3.53363104474028e-07,1.53996439487479e-06,1.68574419797114e-06,1.68581277221893e-06,1.69535501391224e-06,1.53868412584667e-06,1.55933124929917e-06,1.48434778973137e-06,1.33002713709886e-06,1.86714214508123e-07,1.63510276928284e-09,1.96544843741213e-09,2.10783385161008e-09,2.02042210190726e-09,2.36877431685188e-09,7.49416954644132e-09,8.89632052927201e-09,8.28652391057991e-09,9.03464776094303e-09,1.12053128287111e-08,8.19430703467513e-09,1.29363643272808e-08,1.01373136133008e-08,1.63033179460431e-09,353,353,353,353,353,353,353,353,353,353,353,353,353,353
3,405,4.22148406984863e-07,5.43982945709684e-07,5.87077212432596e-07,6.25061003064649e-07,6.63974334081245e-07,2.92680309298294e-06,3.3284213102121e-06,3.31226215782545e-06,3.27915300490876e-06,2.92693061414369e-06,2.96631376030588e-06,2.87000396522465e-06,2.51270106258441e-06,3.36916801837337e-07,1.75139946614707e-09,2.10524097242707e-09,2.25775355028956e-09,2.16412463922628e-09,2.5372534081004e-09,8.02719241226027e-09,9.52907139437731e-09,8.87590298655664e-09,9.67723715144986e-09,1.20022907886231e-08,8.77712718465386e-09,1.38564633381551e-08,1.08583301209181e-08,1.74628915585835e-09,405,405,405,405,405,405,405,405,405,405,405,405,405,405
4,412,4.82782420667472e-07,6.5234447833204e-07,7.38348165343451e-07,7.99805318232627e-07,8.49843843951633e-07,3.90590187549376e-06,4.46677788555191e-06,4.47494293033389e-06,4.46919882714467e-06,4.06749324322974e-06,4.09654316425454e-06,3.94322704912313e-06,3.5115641039674e-06,3.56670288878842e-07,1.76647017571756e-09,2.1233564714235e-09,2.27718141280512e-09,2.1827468293905e-09,2.55908635367296e-09,8.0962660233067e-09,9.61106860303068e-09,8.95227971195354e-09,9.76050931943506e-09,1.21055699331884e-08,8.85265394894716e-09,1.39756975498126e-08,1.09517655380436e-08,1.7613158914505e-09,412,412,412,412,412,412,412,412,412,412,412,412,412,412
5,262,3.44944969968942e-07,4.76174529718308e-07,5.46150656624745e-07,5.90972754179666e-07,6.31031367559948e-07,2.96405947924323e-06,3.39537854790844e-06,3.41214082599011e-06,3.46621922016294e-06,3.16352937042157e-06,3.18585300922157e-06,3.05226154803061e-06,2.76048263012474e-06,2.51417979987067e-07,1.40866702037235e-09,1.69326506323463e-09,1.81593236031876e-09,1.74062574882461e-09,2.04073671792374e-09,6.45634615968567e-09,7.66432151401925e-09,7.13897203628405e-09,7.78349262236484e-09,9.65355507390133e-09,7.05952573220506e-09,1.1144883449347e-08,8.73345677745491e-09,1.40455674986768e-09,262,262,262,262,262,262,262,262,262,262,262,262,262,262
6,139,2.17488646230895e-07,2.9661268515549e-07,3.40652647656259e-07,3.69998196290675e-07,3.94676227047347e-07,1.84747244774661e-06,2.12334075808259e-06,2.122915173767e-06,2.15362077236054e-06,1.96646266341034e-06,1.9754121077031e-06,1.90354004621014e-06,1.7135914957499e-06,1.62819695565795e-07,1.02604191249894e-09,1.2333368345556e-09,1.3226849816202e-09,1.26783331081097e-09,1.48642750535312e-09,4.70265979513601e-09,5.58252233531559e-09,5.19986939102839e-09,5.66932393580255e-09,7.03143607906816e-09,5.14200245966754e-09,8.11768669498854e-09,6.36125682299147e-09,1.02304808234e-09,139,139,139,139,139,139,139,139,139,139,139,139,139,139
7,140,1.92323836696464e-07,2.84536566915155e-07,3.47612455704749e-07,3.83708824844084e-07,4.12961667470767e-07,2.03962707279181e-06,2.38412230012691e-06,2.3959955274843e-06,2.47230549095006e-06,2.28326297758102e-06,2.30459818838506e-06,2.22052361962334e-06,2.02887195823339e-06,1.24000742997824e-07,1.02972609639032e-09,1.2377653473124e-09,1.32743431460874e-09,1.27238568923114e-09,1.49176478466327e-09,4.71954552197897e-09,5.60256736331152e-09,5.21854043634763e-09,5.68968064020698e-09,7.05668368661733e-09,5.16046572359524e-09,8.14683467636497e-09,6.38409803408696e-09,1.0267215163578e-09,140,140,140,140,140,140,140,140,140,140,140,140,140,140
8,91,1.45316148683095e-07,2.17436123683406e-07,2.72859442166698e-07,3.02848215704345e-07,3.24122493571421e-07,1.61542983893541e-06,1.91566661243063e-06,1.92381004098574e-06,1.96292252662887e-06,1.83126381756992e-06,1.81527506354014e-06,1.75660278918166e-06,1.57791993023874e-06,8.95218063727394e-08,8.30191719924807e-10,9.97918326194486e-10,1.07021175883117e-09,1.02583013818279e-09,1.20269921937904e-09,3.80501924530226e-09,4.51693421352229e-09,4.2073218067753e-09,4.5871671826853e-09,5.68928027297226e-09,4.16050047648848e-09,6.56818809936308e-09,5.14702438412151e-09,8.27769350060053e-10,91,91,91,91,91,91,91,91,91,91,91,91,91,91
9,85,1.31851367002371e-07,2.09262817094279e-07,2.72719019393697e-07,3.01609059799078e-07,3.25097542406085e-07,1.7229730296391e-06,2.04638608338837e-06,2.08480713132018e-06,2.20403781178848e-06,2.01103374129991e-06,2.01558631662343e-06,1.91100588328264e-06,1.75183265572647e-06,7.35568293561235e-08,8.02356110174973e-10,9.64458988521649e-10,1.03432848493968e-09,9.91434941614631e-10,1.16237375561737e-09,3.67744024365619e-09,4.36548531922993e-09,4.0662539484787e-09,4.43336343773102e-09,5.49852363009677e-09,4.02100249686756e-09,6.34796243785692e-09,4.97444911181903e-09,8.00014960274965e-10,85,85,85,85,85,85,85,85,85,85,85,85,85,85
10,50,1.00622624321086e-07,1.60220415957723e-07,2.07835644848079e-07,2.3340708954997e-07,2.52889527517744e-07,1.31845470663372e-06,1.54683382030149e-06,1.55510890956629e-06,1.58294430491048e-06,1.45724267956459e-06,1.44732276198578e-06,1.4009612130781e-06,1.26206638094459e-06,5.44883109504601e-08,6.15379045091968e-10,7.39706277375252e-10,7.93293734916279e-10,7.60395888938358e-10,8.91499974513551e-10,2.82046791546264e-09,3.34817439917655e-09,3.11867441424554e-09,3.40023453957571e-09,4.21717511463417e-09,3.08396813516527e-09,4.86866494035446e-09,3.8152283075681e-09,6.13583465085018e-10,50,50,50,50,50,50,50,50,50,50,50,50,50,50
