"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F335M","F356W","F410M","F430M","F444W","F460M","F480M","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F335M_err","F356W_err","F410M_err","F430M_err","F444W_err","F460M_err","F480M_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F335M_n_eff","F356W_n_eff","F410M_n_eff","F430M_n_eff","F444W_n_eff","F460M_n_eff","F480M_n_eff"
1,426,6.82956661549735e-08,8.02173216042879e-08,8.9934294670481e-08,9.51948142521125e-08,1.01218051763413e-07,3.54580885410024e-07,2.97352430540037e-07,2.74367967300229e-07,2.06727919723856e-07,2.40474336468348e-07,1.93577463483983e-07,2.19999991138958e-07,1.91408776051678e-07,4.653808063411e-08,1.64140220117702e-09,1.8457659906633e-09,2.12739428294255e-09,1.94475153464124e-09,2.41191699268016e-09,6.09079807073175e-09,6.97010249481578e-09,5.22942204244927e-09,6.02886415571984e-09,9.37635593670716e-09,5.0431966208919e-09,1.13135473500997e-08,8.64482138376087e-09,1.71321812406036e-09,426,426,426,426,426,426,426,426,426,426,426,426,426,426
2,1714,9.07585933317253e-07,1.07469767314308e-06,1.20761091530158e-06,1.26304622731242e-06,1.3164289818723e-06,5.4605818120894e-06,4.73981237655424e-06,4.22285963913261e-06,3.17050170431852e-06,3.13893977599906e-06,3.0042985555448e-06,2.9933130604665e-06,2.78848996842985e-06,6.65341454188564e-07,3.29242295329921e-09,3.70234809586655e-09,4.26725501090161e-09,3.90089923513278e-09,4.83796772202339e-09,1.22172879734216e-08,1.39810495101832e-08,1.04894882879422e-08,1.20930572131444e-08,1.8807656942449e-08,1.01159461713399e-08,2.26933916330777e-08,1.73403010734702e-08,3.43647563748834e-09,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714
3,560,4.74934736380208e-07,5.62040463539119e-07,6.39304108771178e-07,6.6482402170108e-07,7.00646757130725e-07,2.90757967443296e-06,2.52083504468986e-06,2.26863214075989e-06,1.72557044894067e-06,1.72660417586734e-06,1.64921102405045e-06,1.64427954585654e-06,1.56768602118764e-06,3.39696775513913e-07,1.88193329334522e-09,2.11624455423706e-09,2.4391426588017e-09,2.22973544065015e-09,2.76535932878303e-09,6.98334367051135e-09,7.99150137219035e-09,5.99574159190328e-09,6.91233395908013e-09,1.07503672134051e-08,5.78222669552702e-09,1.29714346725761e-08,9.91163358100538e-09,1.96427312216327e-09,560,560,560,560,560,560,560,560,560,560,560,560,560,560
4,375,4.41955165658475e-07,5.2251082090981e-07,6.09512665997897e-07,6.22865207121432e-07,6.70379651186339e-07,2.77097024439783e-06,2.3985538989225e-06,2.16202452510344e-06,1.63556110858594e-06,1.63278788446752e-06,1.57479349314731e-06,1.55562234729102e-06,1.46893039047417e-06,3.20446259725475e-07,1.540018173145e-09,1.73175908193382e-09,1.99599211870618e-09,1.82463061366161e-09,2.26294079426795e-09,5.71458945964446e-09,6.53958213471531e-09,4.90641780219497e-09,5.65648099933902e-09,8.79720919714289e-09,4.73169491386553e-09,1.06147466534383e-08,8.11085913314703e-09,1.6073982621215e-09,375,375,375,375,375,375,375,375,375,375,375,375,375,375
5,761,1.20992182390781e-06,1.4842357970245e-06,1.76571722205966e-06,1.82197523862386e-06,1.94051203709687e-06,8.17998297869023e-06,7.1531782340871e-06,6.39728206037661e-06,4.8058346825789e-06,4.73333630291417e-06,4.56680682688207e-06,4.51097384213044e-06,4.30491607604786e-06,8.4724666876656e-07,2.19382782425145e-09,2.46697170533249e-09,2.84338400894437e-09,2.59927154045015e-09,3.2236648668634e-09,8.14069962248533e-09,9.31594022479453e-09,6.98942134551322e-09,8.05792140644508e-09,1.25320354324388e-08,6.74052042951435e-09,1.51212024388886e-08,1.15542977058145e-08,2.28981390842557e-09,761,761,761,761,761,761,761,761,761,761,761,761,761,761
6,357,6.66379511361847e-07,8.73429661175033e-07,1.06700739954198e-06,1.11132842526186e-06,1.18133232929203e-06,5.10798493387231e-06,4.50321107627465e-06,4.02975923956906e-06,2.956310448064e-06,2.89220106305072e-06,2.81275811136865e-06,2.77310919822701e-06,2.64719215215271e-06,4.45066826942906e-07,1.50260323668068e-09,1.68968577581838e-09,1.94749923751364e-09,1.78030098192643e-09,2.20796236121015e-09,5.57575278532417e-09,6.38070215892002e-09,4.78721576059721e-09,5.51905607741767e-09,8.58347988607752e-09,4.61673778695755e-09,1.03568600397939e-08,7.91380478377009e-09,1.56834631786599e-09,357,357,357,357,357,357,357,357,357,357,357,357,357,357
7,172,3.953492588098e-07,5.18757046155742e-07,6.38818944311526e-07,6.64722730286052e-07,7.11065620771721e-07,3.07634722826703e-06,2.73033323405601e-06,2.42979398011023e-06,1.7927595716629e-06,1.74632273434634e-06,1.69666636704753e-06,1.66719151376824e-06,1.60089222311292e-06,2.61844209502281e-07,1.04297628923142e-09,1.17283269289581e-09,1.35178434229251e-09,1.23572987633546e-09,1.53257515626327e-09,3.87020193205198e-09,4.42892767561337e-09,3.32286821154964e-09,3.83084801574166e-09,5.95790411050213e-09,3.20453725098605e-09,7.18883015070259e-09,5.49307398359638e-09,1.08860940992718e-09,172,172,172,172,172,172,172,172,172,172,172,172,172,172
8,225,5.85578060410836e-07,7.79414808078397e-07,9.74910557938253e-07,1.00817565850729e-06,1.08628785133029e-06,4.709168748854e-06,4.17435211895674e-06,3.7237875831052e-06,2.74101206183298e-06,2.67560427308299e-06,2.60291362940918e-06,2.54009426712566e-06,2.44736578941288e-06,3.84606254397186e-07,1.19289294748947e-09,1.34141481679463e-09,1.54608884698206e-09,1.41335279593833e-09,1.75286640193063e-09,4.42650196152309e-09,5.06553853978159e-09,3.80049488748734e-09,4.38149134171574e-09,6.81428894272743e-09,3.66515512014711e-09,8.22214740259551e-09,6.28264446922255e-09,1.24508533998386e-09,225,225,225,225,225,225,225,225,225,225,225,225,225,225
9,174,5.27441227695196e-07,7.04980146584771e-07,8.84077124146578e-07,9.19292943776247e-07,9.92932582646945e-07,4.26885956642598e-06,3.77385387537822e-06,3.3737152349756e-06,2.4800305712165e-06,2.41966495512949e-06,2.35005768417257e-06,2.31179208754016e-06,2.2051078808219e-06,3.45333082714637e-07,1.04902257924138e-09,1.17963177995812e-09,1.35962083891166e-09,1.24289358780564e-09,1.54145972435221e-09,3.89263807323745e-09,4.45460283375107e-09,3.3421313770495e-09,3.85305601637062e-09,5.9924429744011e-09,3.2231144341562e-09,7.23050487751302e-09,5.52491815751855e-09,1.09492024198343e-09,174,174,174,174,174,174,174,174,174,174,174,174,174,174
10,114,3.89244849755063e-07,5.37838885709099e-07,6.7913773134245e-07,7.02917149065398e-07,7.62336320277567e-07,3.30982599974329e-06,2.91078048706089e-06,2.6186690235213e-06,1.9301262044906e-06,1.87595091820716e-06,1.83139574289559e-06,1.79432124376654e-06,1.72550488591226e-06,2.49134292006146e-07,8.49107423109426e-10,9.54826064490031e-10,1.10051410692135e-09,1.00603189333072e-09,1.24769944925133e-09,3.15080718839681e-09,3.60567675852856e-09,2.70521208734315e-09,3.11876839440644e-09,4.85044641823016e-09,2.60887653490959e-09,5.85256741448321e-09,4.4720191085054e-09,8.86258240364315e-10,114,114,114,114,114,114,114,114,114,114,114,114,114,114
