region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F444W,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F444W_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F444W_n_eff
1,4042,2.451881324089265e-7,4.56357102417002e-7,6.734611846933188e-7,8.820645770757164e-7,9.514195352019543e-7,9.970536364281977e-7,5.0302132859254686e-6,5.765584556740089e-6,5.705835656636657e-6,5.235073636531347e-6,4.919346125666938e-6,2.3150758837721294e-9,3.0365798921196826e-9,3.982094632394936e-9,4.481638552796606e-9,4.853829083350051e-9,5.120309441319815e-9,2.3489900759482393e-8,2.809348407599227e-8,2.6992910178870098e-8,2.5624093883759513e-8,2.3404954036688463e-8,4042,4042,4042,4042,4042,4042,4042,4042,4042,4042,4042
2,3800,4.665538227222977e-7,9.346794360199097e-7,1.4313016502047294e-6,1.8465498407744676e-6,2.039156932820404e-6,2.139263008980203e-6,1.0925860625292275e-5,1.286960050070866e-5,1.2673151061553488e-5,1.2006498529177543e-5,1.152056733177696e-5,2.2447029362228143e-9,2.9442748929724163e-9,3.861048173975899e-9,4.345407115623557e-9,4.706283915655861e-9,4.964663887635783e-9,2.277586215466905e-8,2.723950719548673e-8,2.6172388197048106e-8,2.4845180748548423e-8,2.2693497615599445e-8,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
3,1841,4.2210783483748947e-7,8.414160600593731e-7,1.2819495906535908e-6,1.645439732544722e-6,1.805197387147668e-6,1.8972677362709846e-6,9.386669194699235e-6,1.1043692659450386e-5,1.0754925345198e-5,9.85958227218916e-6,9.205441445425044e-6,1.5624062608971695e-9,2.0493373320583676e-9,2.68744952541316e-9,3.0245834199432052e-9,3.275768626985248e-9,3.4556117943805592e-9,1.5852943858872183e-8,1.895982577436137e-8,1.8217066731559763e-8,1.7293275349821477e-8,1.5795614726610787e-8,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841
4,1065,4.084577481347898e-7,8.360085717887863e-7,1.2818362013813013e-6,1.6440184590628854e-6,1.831525564624516e-6,1.9449932721099887e-6,9.787090915499241e-6,1.1823703500697889e-5,1.1612342741560163e-5,1.0788721004765712e-5,1.0034419518749364e-5,1.1883431859171781e-9,1.5586957855627365e-9,2.0440345196691913e-9,2.3004535934614646e-9,2.491501361677783e-9,2.6282874254927468e-9,1.2057515566150319e-8,1.442056418296835e-8,1.3855632596746454e-8,1.3153010480353156e-8,1.2013911872679292e-8,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065
5,212,1.2710058969390311e-7,2.695518474443079e-7,4.217129443179498e-7,5.400079925679968e-7,6.094614854772215e-7,6.45237898670845e-7,3.3969885790323334e-6,4.100252020345862e-6,4.002074351307703e-6,3.655757313981857e-6,3.4598449361547693e-6,5.301942418735034e-10,6.954317070451538e-10,9.119716807084118e-10,1.026376271942947e-9,1.1116146339173938e-9,1.1726434547687215e-9,5.379612051664159e-9,6.433915879675831e-9,6.18186455509476e-9,5.868380870634383e-9,5.3601577160170766e-9,212,212,212,212,212,212,212,212,212,212,212
6,142,1.2193993380621852e-7,2.503872933669098e-7,3.7993915491554526e-7,4.845307898238689e-7,5.52351574795374e-7,5.835163427221524e-7,3.0972717810330334e-6,3.6391546775044975e-6,3.608188709121314e-6,3.3843024374208286e-6,3.2529659927897086e-6,4.339215793229293e-10,5.691552280272973e-10,7.46375876494702e-10,8.400068837551085e-10,9.097676652305061e-10,9.59714873699704e-10,4.402782175366802e-9,5.265645529975214e-9,5.059361681161275e-9,4.802800359460855e-9,4.386860357697054e-9,142,142,142,142,142,142,142,142,142,142,142
7,113,1.3820329317520965e-7,2.714944309315009e-7,4.0726053345073057e-7,5.210028270530187e-7,5.945345654969553e-7,6.308538202816004e-7,3.2293929981878577e-6,3.9046911382681045e-6,3.844443132873078e-6,3.7513975357882152e-6,3.5994612598118876e-6,3.870849606601643e-10,5.077217625227045e-10,6.658135722160909e-10,7.493382377063809e-10,8.115691813602118e-10,8.561251890507077e-10,3.927554761868178e-9,4.69728238913865e-9,4.513264402230592e-9,4.284395791288756e-9,3.9133515130324105e-9,113,113,113,113,113,113,113,113,113,113,113
8,132,2.3548762775619565e-7,4.510896465555253e-7,6.795935997444865e-7,8.786713002004906e-7,9.91086729409332e-7,1.0554537405253125e-6,5.515058646460618e-6,6.8864932658915476e-6,6.845573463664103e-6,6.571550035675786e-6,6.12280607476809e-6,4.183637449979593e-10,5.487487233389251e-10,7.196152985838786e-10,8.098892575478846e-10,8.771488343533779e-10,9.253052344567624e-10,4.244924721584098e-9,5.076850953551518e-9,4.8779632106163716e-9,4.6306006444686e-9,4.22957376513274e-9,132,132,132,132,132,132,132,132,132,132,132
9,73,1.6686602266586346e-7,3.412758291564448e-7,5.366360601165904e-7,7.011658810236777e-7,7.981777323984342e-7,8.518812369017303e-7,4.693323254854505e-6,5.850588698653249e-6,5.735136571168783e-6,5.307611508645613e-6,4.867975125575078e-6,3.11120412823926e-10,4.0808251523477856e-10,5.351491649232683e-10,6.022823037670003e-10,6.523005655123858e-10,6.881125574916435e-10,3.1567810250674932e-9,3.7754513468230746e-9,3.6275464735461044e-9,3.4435928097374587e-9,3.145365131684065e-9,73,73,73,73,73,73,73,73,73,73,73
10,48,1.3707719989396642e-7,2.909803763076695e-7,4.6520080388149015e-7,6.246466013846859e-7,7.245047035850218e-7,7.831670394588786e-7,4.389639811541508e-6,5.2773142338932815e-6,5.196198902218578e-6,4.830452585326481e-6,4.5183964920750905e-6,2.5228283055384666e-10,3.3090793081850104e-10,4.3394435250950814e-10,4.883815980046987e-10,5.2894064888141e-10,5.579800507718025e-10,2.55978592087242e-9,3.0614563144524392e-9,2.9415224928676136e-9,2.7923572530327725e-9,2.550528945832013e-9,48,48,48,48,48,48,48,48,48,48,48
