"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F335M","F356W","F410M","F430M","F444W","F460M","F480M","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F335M_err","F356W_err","F410M_err","F430M_err","F444W_err","F460M_err","F480M_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F335M_n_eff","F356W_n_eff","F410M_n_eff","F430M_n_eff","F444W_n_eff","F460M_n_eff","F480M_n_eff"
1,1267,2.86905673122203e-07,3.07177238244372e-07,3.91637784505979e-07,3.44612643818026e-07,3.94722337885643e-07,1.54694282862134e-06,1.52644050415864e-06,1.46561768072153e-06,1.26578464004291e-06,1.18526912663143e-06,1.13828327627725e-06,1.08756879901561e-06,9.9686161946218e-07,2.18645791417639e-07,2.24097741371112e-09,2.61003290117906e-09,2.93321871619481e-09,2.54487502371121e-09,3.17426813686328e-09,9.79964039516003e-09,1.22326517182402e-08,1.031850814362e-08,1.23224754866094e-08,1.57746463304676e-08,9.97874711762454e-09,1.90081865949903e-08,1.45090833551287e-08,2.41484991997558e-09,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267
2,860,9.36733454792628e-07,1.07679463025044e-06,1.35266008700657e-06,1.29418313732182e-06,1.42264588867832e-06,6.02194000809129e-06,6.30065521060349e-06,5.8751575997368e-06,5.0105795213489e-06,4.4642654996929e-06,4.50295407561712e-06,4.19613120017982e-06,3.96258706329384e-06,6.93694676117999e-07,1.84628353873283e-09,2.15033884389661e-09,2.41660330803835e-09,2.09665694784018e-09,2.61519771362153e-09,8.07367117418774e-09,1.00781665019271e-08,8.50115294035803e-09,1.01521699898304e-08,1.29963245818902e-08,8.22123258705133e-09,1.56603550739832e-08,1.1953659861442e-08,1.98953261576064e-09,860,860,860,860,860,860,860,860,860,860,860,860,860,860
3,804,9.07894187835322e-07,1.14637498746784e-06,1.48020098379008e-06,1.45237995539259e-06,1.61406370074415e-06,7.25068487651803e-06,8.06756150281876e-06,7.81273252431987e-06,7.2348850164407e-06,6.62402293271601e-06,6.70907249515154e-06,6.44492642049393e-06,6.0216822967447e-06,6.4392762829839e-07,1.78516020254917e-09,2.07914940776348e-09,2.33659888113372e-09,2.02724471250573e-09,2.52861859092289e-09,7.80638302095267e-09,9.7445172295976e-09,8.21971251248159e-09,9.81607074707384e-09,1.25660663361193e-08,7.94905924383489e-09,1.51419010403197e-08,1.15579202282773e-08,1.92366685442425e-09,804,804,804,804,804,804,804,804,804,804,804,804,804,804
4,240,2.87101474498491e-07,3.86006011630856e-07,5.12919499393788e-07,5.15171457256472e-07,5.84829662166184e-07,2.76879842168795e-06,3.24542847700678e-06,3.18875025279444e-06,3.0304542136833e-06,2.76450051908616e-06,2.77521501069849e-06,2.62767920378741e-06,2.40388622466423e-06,1.9202746313001e-07,9.75337209006841e-10,1.13596067040958e-09,1.27662034367512e-09,1.10760210598788e-09,1.38153191830726e-09,4.2650826616132e-09,5.32399849843337e-09,4.49090868669058e-09,5.3630923612308e-09,6.86557545421633e-09,4.34303500942986e-09,8.27290429096176e-09,6.31476639534888e-09,1.05101147682651e-09,240,240,240,240,240,240,240,240,240,240,240,240,240,240
5,175,3.18353918729021e-07,4.24497874961647e-07,5.58359689009543e-07,5.58105360256367e-07,6.22844360214157e-07,2.89135806326659e-06,3.27716508513022e-06,3.16592198496245e-06,2.89217979673135e-06,2.61355652813745e-06,2.60276366475997e-06,2.42434015398953e-06,2.23511841599663e-06,2.14259474797761e-07,8.32852696741796e-10,9.7001108847945e-10,1.09012215070511e-09,9.45795354027582e-10,1.17970746237469e-09,3.64200767052486e-09,4.54622920762413e-09,3.83484335057822e-09,4.5796119482355e-09,5.86260113827795e-09,3.70857215970555e-09,7.06433691341509e-09,5.39225836263968e-09,8.97471904791642e-10,175,175,175,175,175,175,175,175,175,175,175,175,175,175
6,150,2.67798995668351e-07,3.78903420721365e-07,5.05236030782645e-07,5.15573544171711e-07,5.7991189315965e-07,2.86478862892383e-06,3.37665356646057e-06,3.33608091484078e-06,3.15190587296774e-06,2.89570624483764e-06,2.87236987008314e-06,2.7450242866165e-06,2.5025554109702e-06,1.76391501799797e-07,7.71071766793328e-10,8.98055762716526e-10,1.00925699833008e-09,8.75636349030232e-10,1.09219688051816e-09,3.37184390489772e-09,4.20899037859146e-09,3.55037505344444e-09,4.23989679083496e-09,5.42771397076717e-09,3.4334706469123e-09,6.54030510600488e-09,4.99226117529844e-09,8.3089752843726e-10,150,150,150,150,150,150,150,150,150,150,150,150,150,150
7,68,8.69583263832723e-08,1.38615926599261e-07,1.92267853473162e-07,2.07292542943744e-07,2.45147184211945e-07,1.3327498745795e-06,1.74211612938879e-06,1.77562386037068e-06,1.85960185884532e-06,1.70170635581615e-06,1.72067034720261e-06,1.67336264729005e-06,1.51950108527903e-06,5.64256832769109e-08,5.19162874437386e-10,6.04661240698672e-10,6.79533069247407e-10,5.89566242082678e-10,7.35376519230452e-10,2.27026361126004e-09,2.83391460760686e-09,2.39046869235331e-09,2.85472390514555e-09,3.65448160345199e-09,2.31175691694747e-09,4.4035895810994e-09,3.36129109290133e-09,5.5944357944833e-10,68,68,68,68,68,68,68,68,68,68,68,68,68,68
8,78,9.88870192428848e-08,1.63184625508495e-07,2.33308840023908e-07,2.62911587022798e-07,3.15557771995463e-07,1.95237707850509e-06,2.65601368662687e-06,2.77278393503495e-06,2.9888446426005e-06,2.78032302376091e-06,2.78936742540313e-06,2.76522382254859e-06,2.50048362490558e-06,6.32069808946634e-08,5.56027758447191e-10,6.47597220140071e-10,7.27785571519994e-10,6.31430351017717e-10,7.87594371122006e-10,2.43147121839389e-09,3.03514612558922e-09,2.56021186046442e-09,3.05743305640613e-09,3.91398020603066e-09,2.47591089404856e-09,4.71628108337591e-09,3.59997072960933e-09,5.99168728687368e-10,78,78,78,78,78,78,78,78,78,78,78,78,78,78
9,39,2.75901681571963e-08,5.56958813229464e-08,1.08417566864468e-07,1.35285002179758e-07,1.72669921816995e-07,1.33856673950309e-06,2.05569138040751e-06,2.14112908830593e-06,2.38055631627924e-06,2.24904896249307e-06,2.24981061925493e-06,2.25537610520864e-06,2.04207688800322e-06,1.54582672382193e-08,3.93170998525964e-10,4.57920385838602e-10,5.14622112871515e-10,4.4648868305163e-10,5.56913320644724e-10,1.71930978678624e-09,2.14617240729621e-09,1.81034316780862e-09,2.16193164720869e-09,2.7676019451142e-09,1.75073338279539e-09,3.33491433603694e-09,2.54556371497984e-09,4.2367627112976e-10,39,39,39,39,39,39,39,39,39,39,39,39,39,39
10,1193,8.80767126250107e-07,9.75844269873558e-07,1.23104044076349e-06,1.16004318764022e-06,1.27252543977837e-06,5.37835803242015e-06,5.4951594647887e-06,5.16182851122237e-06,4.39659260856034e-06,3.88155633153092e-06,4.03851823539449e-06,3.84779078372852e-06,3.65022883275494e-06,6.71093610414515e-07,2.17454997914223e-09,2.53266586092914e-09,2.84627174691518e-09,2.46943940437419e-09,3.08017593955888e-09,9.50915778379352e-09,1.18700493704228e-08,1.00126451659901e-08,1.19572105673357e-08,1.53070515744681e-08,9.68295539425424e-09,1.84447426871729e-08,1.40790026326143e-08,2.34326852693189e-09,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193
