"method","region","n_pixels","avg_corr","mean_pixel_intravariance","median_pixel_intravariance","cluster_snr"
"pixedfit_r",1,12,0.998130580487583,0.00180252309375893,0.00105759092161213,41.6796470927958
"pixedfit_r",2,1,NA,0,0,12.8292226539166
"pixedfit_r",3,32,0.9970120517842,0.00729892592081714,0.00469028280623321,53.1633873663421
"pixedfit_r",4,1,NA,0,0,11.7132198503422
"pixedfit_r",5,66,0.997300757372162,0.0059421669638207,0.00244255097736827,55.8606312540871
"pixedfit_r",6,1,NA,0,0,10.5028335320939
"pixedfit_r",7,30,0.997885149581023,0.00454400848471546,0.00458877775710233,44.5717900926887
"pixedfit_r",8,1,NA,0,0,10.583555401921
"pixedfit_r",9,52,0.997044489996486,0.00644119886490443,0.00484291574925414,51.0373916819278
"pixedfit_r",10,1,NA,0,0,9.59055707682455
"pixedfit_r",11,199,0.995498310424356,0.0182444179597848,0.00627855499782585,62.667495459148
"pixedfit_r",12,1,NA,0,0,8.13703872094004
"pixedfit_r",13,403,0.992610770958993,0.0452976774247928,0.0104570555801145,76.2264547935347
"pixedfit_r",14,1,NA,0,0,7.32045900439931
"pixedfit_r",15,934,0.992097708088335,0.0520086056195867,0.0196049180219081,85.8370583410519
"pixedfit_r",16,1,NA,0,0,7.09600488255448
"pixedfit_r",17,115,0.994375794010537,0.0111029215755766,0.00374988241016031,48.5064546807077
"pixedfit_r",18,1,NA,0,0,6.96195725729124
"pixedfit_r",19,234,0.994099475921202,0.0269254245796265,0.0148235983526107,58.875273569422
"pixedfit_r",20,1,NA,0,0,6.70205477527217
"pixedfit_r",21,89,0.993024247862857,0.0247074133877369,0.00912155018163723,44.5403891049456
