"method","n_regions","valid_pixels","mean_pixels_per_region","median_pixels_per_region","mean_cluster_snr","mean_avg_corr","median_avg_corr","mean_pixel_intravariance","median_pixel_intravariance","target_sn","voronoi_mask_mode"
"sagui",20,1905,95.25,45.5,39.7764734253467,0.991651812072136,0.997616782356485,0.148914775857787,0.0121458364840572,NA,"shared"
"voronoi",21,1905,90.7142857142857,81,35.7725783339115,0.968017907018728,0.994873467320077,0.086624927913783,0.0119275939069875,36.0576429925619,"shared"
