"method","region","n_pixels","avg_corr","mean_pixel_intravariance","median_pixel_intravariance","cluster_snr"
"voronoi",1,16,0.998716561969402,0.000937389852734644,0.00052613785143562,45.4909135426111
"voronoi",2,62,0.997776764880792,0.0053614372681177,0.00378613758578883,49.7792602356094
"voronoi",3,85,0.994099484170057,0.0132310707569725,0.0072911639775555,54.3261245486223
"voronoi",4,68,0.996089785300141,0.0159926026966559,0.00324941490286503,49.3382897745537
"voronoi",5,75,0.99432449015954,0.0130762038395908,0.00274150587537867,45.7940709969758
"voronoi",6,159,0.994686256426696,0.0478923402983145,0.0131426442911062,19.6688026757032
"voronoi",7,116,0.989895339032572,0.0547955623958008,0.0295018820850034,15.0974174674785
"voronoi",8,109,0.995452240549815,0.021502293602238,0.0173822666570725,52.243253649874
"voronoi",9,28,0.998749922753406,0.0043258744205766,0.00328697324988677,52.3765458649925
"voronoi",10,145,0.998110890678415,0.00862187964342207,0.00382777783627909,27.521550980706
"voronoi",11,64,0.997561571039862,0.00621057038240407,0.00176384115345125,48.8321265994539
"voronoi",12,81,0.996552487985117,0.00954684748309995,0.00909954965800755,45.2772946634404
"voronoi",13,177,0.847800943821067,0.263616992383257,0.0480820342342186,19.2779459701744
"voronoi",14,158,0.995552293160829,0.0134240402657104,0.0081896522707989,53.4636771929014
"voronoi",15,76,0.995370883905836,0.0114447884533565,0.00642835275295785,49.7098704121595
"voronoi",16,129,0.954033777607157,0.128226182526696,0.0338397529474779,19.9488044926496
"voronoi",17,46,0.959992277728602,0.170897607320096,0.125721232623101,6.97205340210941
"voronoi",18,96,0.994873467320077,0.0142415207557263,0.00864853028037817,47.1101293008752
"voronoi",19,157,0.991414656719856,0.0597119966449016,0.0260876274652429,39.3016748233391
"voronoi",20,19,0.782015584281929,0.810756096931936,0.605152263630984,4.60078873082926
"voronoi",21,39,0.855306367902122,1.08778022524848,0.790013369065756,5.09354968708385
