"method","region","n_pixels","avg_corr","mean_pixel_intravariance","median_pixel_intravariance","cluster_snr"
"sagui",1,836,0.883038443133661,0.321502642643935,0.027325886274604,46.745166039922
"sagui",2,154,0.996266977589994,0.0336322045560731,0.0118842684207534,37.5464088113814
"sagui",3,136,0.995362443156673,0.0201900976729673,0.00964226928643366,43.3116115785832
"sagui",4,173,0.995051514136796,0.0185637333818074,0.0092664426036744,55.3684768908842
"sagui",5,127,0.995433430040127,0.0114760222215451,0.00760261662143714,52.8918315864821
"sagui",6,96,0.997752884538489,0.00490161387355876,0.00346085543535926,49.1988896327084
"sagui",7,61,0.996745735187558,0.0072812834082641,0.00633969823077226,43.2765806367637
"sagui",8,62,0.997009326867279,0.00583281189231989,0.0058098253787712,45.4225999531145
"sagui",9,46,0.998758768367722,0.00177121187344653,0.00122325880727096,41.2971094908515
"sagui",10,51,0.997835226952335,0.00513549233900989,0.00180021387976677,48.1718560311227
"sagui",11,45,0.997796162450974,0.00357622519761559,0.00293761593349271,42.3189014806919
"sagui",12,20,0.998119062158128,0.00288146354149586,0.00244839620611382,31.7597406206236
"sagui",13,34,0.997480680174481,0.00608326652286473,0.00356657709470237,45.6730061084043
"sagui",14,18,0.996467720191633,0.00825629843476668,0.00487053078079456,36.5663334782501
"sagui",15,14,0.995882763822602,0.00519506495825572,0.0036982124180257,35.2287986338351
"sagui",16,7,0.998468154655964,0.000968639913583293,0.000663556128140185,28.1248920108632
"sagui",17,5,0.999054919883541,0.00240581434559859,0.00168268406252804,22.9451535947663
"sagui",18,10,0.997914837486796,0.001931198756588,0.00156432494673315,37.5785773797868
"sagui",19,4,0.99957300270897,0.000329070408515089,0.00034631774016002,25.3442925808298
"sagui",20,6,0.999024187939003,0.00105654929752022,0.000964937801893051,26.7592419670685
