"method","region","n_pixels","avg_corr","mean_pixel_intravariance","median_pixel_intravariance","cluster_snr"
"sagui",1,1036,0.988287820467011,0.192988823429737,0.031116147051768,25.1090675111651
"sagui",2,257,0.999108412782631,0.0476647106328261,0.0317763487627713,24.8971273807292
"sagui",3,320,0.998065649501858,0.0726825446587517,0.0365853576510612,34.0963658113522
"sagui",4,211,0.997679865939597,0.0744352116210378,0.0462791042471414,33.8455652693144
"sagui",5,99,0.996965339390322,0.0809356073326412,0.0475964669071798,26.0436405212938
"sagui",6,78,0.997213328130003,0.0659823642337316,0.0305364422669151,26.1639207607987
"sagui",7,21,0.99921633910909,0.0329997715766448,0.0373971192293256,15.5957975575676
"sagui",8,33,0.998347053921997,0.0299104693323729,0.0295947067985941,21.5332999389046
"sagui",9,17,0.998548659539229,0.0244062691701395,0.0179195729438742,17.4667909627669
"sagui",10,14,0.999170594809911,0.013058635536696,0.00953616629469628,17.2731965054755
