"method","region","n_pixels","avg_corr","mean_pixel_intravariance","median_pixel_intravariance","cluster_snr"
"voronoi",1,105,0.995523613502275,0.0673430804116102,0.0293283150317497,31.712804485264
"voronoi",2,139,0.997311106221077,0.0663887094070732,0.0409218285634946,27.6400414313934
"voronoi",3,220,0.997766351062424,0.0517821678895771,0.0201526233470309,30.6466828693254
"voronoi",4,2170,0.994135512967485,0.196413904004157,0.0324680231968007,30.7724483455294
"voronoi",5,1126,0.989999835079352,0.324921889060755,0.0646602474994107,29.6670290138116
"voronoi",6,1504,0.996901482855568,0.112015806460396,0.0462767051630343,31.8212004793917
"voronoi",7,134,0.99718441403621,0.112707274890721,0.0768514531109804,34.656349774468
"voronoi",8,1410,0.994482289038274,0.223393802201152,0.0990094686291754,29.4614361091227
"voronoi",9,1655,0.985880366357163,0.340737378398199,0.17755177313748,31.5582460144649
