region,n_pix,F090W,F090W_err,F090W_n_eff,F115W,F115W_err,F115W_n_eff,F150W,F150W_err,F150W_n_eff,F182M,F182M_err,F182M_n_eff,F200W,F200W_err,F200W_n_eff,F210M,F210M_err,F210M_n_eff,F277W,F277W_err,F277W_n_eff,F335M,F335M_err,F335M_n_eff,F356W,F356W_err,F356W_n_eff,F410M,F410M_err,F410M_n_eff,F430M,F430M_err,F430M_n_eff,F444W,F444W_err,F444W_n_eff,F480M,F480M_err,F480M_n_eff
21,17,1.2701592955278771e-7,17,3.0805887863656205e-08,2.1492429691973753e-7,17,5.2126798688922954e-8,3.573451409205515e-7,17,8.666892710686244e-8,5.217391258469149e-7,17,1.2654032499319148e-7,5.841421306930879e-7,17,1.4167527677770338e-7,6.292617107937033e-7,17,1.52618382338783e-7,8.729424668028e-7,17,2.1171964680677544e-7,9.95257316770491e-7,17,2.4138535539491466e-7,1.0320670541570413e-6,17,2.5031302805938495e-7,9.195136413637256e-7,17,2.2301481573758568e-7,9.007018754963704e-7,17,2.1845229234490957e-7,8.271289570594633e-7,2.0060823858606713e-7,17,6.799964859484732e-7,1.6492337274202296e-7,17
22,6,6.821923630930346e-8,6,2.785038660002343e-8,1.2433107821495245e-7,6,5.075795013278318e-8,2.2227487633836377e-7,6,9.074333827820358e-8,3.441608118741556e-7,6,1.405030630922792e-7,3.855557826423908e-7,6,1.574024891422128e-7,4.338438125119163e-7,6,1.7711599478631454e-7,5.263165533042926e-7,6,2.148678331293101e-7,5.85530316477977e-7,6,2.390417507168988e-7,5.567029777972999e-7,6,2.272730389818896e-7,4.956827380859117e-7,6,2.0236163043602025e-7,4.6369718854443315e-7,6,1.8930358451616442e-7,4.3629833580205217e-7,1.7811804972341624e-7,6,3.353941811984773e-7,1.369241011058055e-7,6
23,7,5.560148740470075e-8,7,2.1015386885446904e-8,9.894264680188652e-8,7,3.7396805356613134e-8,1.6853294014399082e-7,7,6.369946390621913e-8,2.653130953492185e-7,7,1.0027892426611422e-7,2.9536196349916715e-7,7,1.1163632888093332e-7,3.3825356597387144e-7,7,1.2784783080680617e-7,4.923445302288836e-7,7,1.8608874090693554e-7,5.560894456561049e-7,7,2.10182054273403e-7,5.407970568690325e-7,7,2.0440207460444494e-7,4.989853120588265e-7,7,1.8859872051165914e-7,4.639951106696538e-7,7,1.7537366748311374e-7,4.351679947795923e-7,1.6447804181735076e-7,7,3.4389421418421916e-7,1.299797954350607e-7,7
24,8,1.3528783470829408e-7,8,4.783147266713975e-8,2.440923472557181e-7,8,8.62996769901299e-8,4.040644384375556e-7,8,1.428583522277649e-7,6.221256637548864e-7,8,2.1995463779563104e-7,6.507687063497254e-7,8,2.300814826219439e-7,7.544142572677758e-7,8,2.6672571856892846e-7,7.814624891803996e-7,8,2.762887126711898e-7,8.409557120019348e-7,8,2.9732274331706467e-7,8.076498539332374e-7,8,2.8554734427025837e-7,7.105626617710141e-7,8,2.512218382981236e-7,6.698263919463327e-7,8,2.3681939198148501e-7,6.12257717715637e-7,2.1646579201526297e-7,8,4.8076784361182e-7,1.6997710119717573e-7,8
25,700,2.13185445985086e-6,700,8.057652474499012e-8,2.7795333839772595e-6,700,1.0505648706865189e-7,3.101503137439871e-6,700,1.1722579988789258e-7,3.7569000481117335e-6,700,1.419974746832892e-7,3.688345703179871e-6,700,1.3940636399782275e-7,3.877427420211707e-6,700,1.4655298115118451e-7,4.4228449730630114e-6,700,1.6716782694452708e-7,4.002939901871399e-6,700,1.512969070498431e-7,3.8250464597192045e-6,700,1.4457316693835795e-7,3.0645358022043134e-6,700,1.1582856594980627e-7,2.629577115027878e-6,700,9.93886728518636e-8,2.7779601786443076e-6,1.0499702549619145e-7,700,2.4899593056746503e-6,9.411161567837406e-8,700
26,257,1.0381799631811032e-6,257,6.475988682388564e-8,1.5129916045443603e-6,257,9.437782325865385e-8,1.835678870126616e-6,257,1.1450650184977654e-7,2.3428515306336825e-6,257,1.4614306319697055e-7,2.3181867589412642e-6,257,1.4460451701038869e-7,2.5037607063743594e-6,257,1.5618030180631673e-7,2.9515343581450573e-6,257,1.8411165478921947e-7,2.676687888545376e-6,257,1.6696720305978942e-7,2.586121447077708e-6,257,1.6131782365786284e-7,2.091315275360881e-6,257,1.3045266268716122e-7,1.7862166877702208e-6,257,1.1142113568488959e-7,1.8808633114731052e-6,1.173250298618498e-7,257,1.6939202739343955e-6,1.0566384357154151e-7,257
27,5,1.1003650755861273e-7,5,4.9209822181545496e-8,1.5602825330693146e-7,5,6.977795616097102e-8,1.6383483014207138e-7,5,7.326916345596063e-8,1.9872199890554462e-7,5,8.887117963548732e-8,2.0079661753063327e-7,5,8.979897729010438e-8,2.0155661931742616e-7,5,9.013886042176242e-8,2.0000655212215545e-7,5,8.944564929809888e-8,1.8432812133418655e-7,5,8.243404189361407e-8,1.6987840803336103e-7,5,7.597193365440832e-8,1.2838996756494918e-7,5,5.74177390208439e-8,1.0701481864874922e-7,5,4.785848181968308e-8,1.1064083751318657e-7,4.9480086753398787e-8,5,9.572341240209771e-8,4.280881143386738e-8,5
28,10,1.3412636161475984e-7,10,4.2414479697402065e-8,1.4196669547340605e-7,10,4.489381095834793e-8,1.4305234801656878e-7,10,4.523712443674278e-8,1.6988160452213475e-7,10,5.3721280285390624e-8,1.600892555340434e-7,10,5.062466764082925e-8,1.6872324819399322e-7,10,5.335497585149096e-8,1.3798633071603677e-7,10,4.363510910319289e-8,1.2123450045704257e-7,10,3.8337715243697885e-8,1.129980749290217e-7,10,3.573312879900779e-8,7.943044246828887e-8,10,2.5118111375475957e-8,6.433105501828975e-8,10,2.034326581394006e-8,6.838840373654751e-8,2.1626312135065993e-8,10,5.906011779368428e-8,1.8676449110588078e-8,10
29,83,3.79609851706409e-8,83,4.1667594457350076e-9,8.086288007612358e-8,83,8.87585419219078e-9,1.9247492319867604e-7,83,2.112686751147516e-8,2.873176165020365e-7,83,3.153720555734768e-8,3.0245055431406945e-7,83,3.319826127775548e-8,3.4478929349717815e-7,83,3.784554165308591e-8,5.061447334269375e-7,83,5.555660211228688e-8,6.403111463737211e-7,83,7.02832791448618e-8,6.980140131908513e-7,83,7.661699162032774e-8,7.990000743754136e-7,83,8.770165189552482e-8,8.24885606475113e-7,83,9.054295817088769e-8,8.727929676745648e-7,9.580147422100433e-8,83,9.371562738879569e-7,1.0286626489800716e-7,83
30,53,1.9422446373277613e-8,53,2.667878187096583e-9,5.245581138604119e-8,53,7.205359834372681e-9,1.3891733794935625e-7,53,1.9081763882974195e-8,2.2617506002426705e-7,53,3.1067533796061916e-8,2.429938856186977e-7,53,3.3377777164667554e-8,2.8371699689758023e-7,53,3.897152669568008e-8,4.3912310529835705e-7,53,6.031819738668188e-8,5.797772417487455e-7,53,7.96385288912231e-8,6.442647300827965e-7,53,8.849656665642285e-8,7.583479309288789e-7,53,1.0416709946171228e-7,7.891978199859141e-7,53,1.0840465762034112e-7,8.263586517206929e-7,1.1350909042423268e-7,53,8.896511580769741e-7,1.2220298479105746e-7,53
