region_id,value
1,1.7591393668599838e-9
2,1.786672163544353e-9
3,1.7866721635443528e-9
4,1.7866721635443545e-9
5,1.7866721635443557e-9
6,1.786672163544354e-9
7,1.7866721635443518e-9
8,1.7866721635443553e-9
9,8.13913081755979e-11
10,4.040594129598933e-11
11,2.661074379047694e-14
12,2.6610743790477002e-14
13,2.661074379047692e-14
14,7.319882830682795e-11
15,2.896396101585704e-14
16,2.7307797795316162e-14
17,1.8916457430011734e-13
18,6.778991728670747e-14
19,1.7866721635443524e-9
20,5.7797336385733355e-11
