region_id,value
1,1.7866721635443576e-9
2,9.313634118968037e-11
3,8.143851283000938e-11
4,2.061259507184547e-10
5,2.0649620136033464e-10
6,7.609311617266012e-11
7,1.4335930663899911e-11
8,8.791685338879484e-12
9,1.8841249760381655e-11
10,9.930068079126432e-12
11,1.3200699454453497e-11
12,4.8680321738869944e-12
13,2.259461837474069e-12
14,2.1143917782656287e-12
15,1.4686710216447085e-12
16,2.7891252476033705e-13
17,6.905158736459111e-13
18,6.422248781077101e-13
19,6.917066198823171e-14
20,1.5795882834894672e-10
