"method","region","n_pixels","avg_corr","mean_pixel_intravariance","median_pixel_intravariance","cluster_snr"
"sagui",1,836,0.883038443133661,0.321502642643935,0.027325886274604,46.745166039922
"sagui",2,154,0.996266977589994,0.0336322045560731,0.0118842684207534,37.5464088113814
"sagui",3,309,0.995144257086919,0.0195207311099356,0.00918403044399339,70.296258298365
"sagui",4,223,0.996080131196979,0.00951669830403349,0.00521134579002422,72.2362553685073
"sagui",5,123,0.996644045656339,0.00694715616845078,0.00637765490465692,62.7381464350916
"sagui",6,91,0.996467331918052,0.00752659586917861,0.00473489992271396,59.1298628007193
"sagui",7,51,0.997835226952335,0.00513549233900989,0.00180021387976677,48.1718560311227
"sagui",8,20,0.998119062158128,0.00288146354149586,0.00244839620611382,31.7597406206236
"sagui",9,34,0.997480680174481,0.00608326652286473,0.00356657709470237,45.6730061084043
"sagui",10,18,0.996467720191633,0.00825629843476668,0.00487053078079456,36.5663334782501
"sagui",11,14,0.995882763822602,0.00519506495825572,0.0036982124180257,35.2287986338351
"sagui",12,13,0.9964635730756,0.0033532948906696,0.00362103734472661,38.8209554400048
"sagui",13,5,0.999054919883541,0.00240581434559859,0.00168268406252804,22.9451535947663
"sagui",14,10,0.997914837486796,0.001931198756588,0.00156432494673315,37.5785773797868
"sagui",15,4,0.99957300270897,0.000329070408515089,0.00034631774016002,25.3442925808298
