"method","region","n_pixels","avg_corr","mean_pixel_intravariance","median_pixel_intravariance","cluster_snr"
"voronoi",1,99,0.997084700386775,0.00776208570869895,0.00551964183388315,58.4684042595021
"voronoi",2,235,0.995129288404169,0.01276121237899,0.00672701928876708,72.7466661478705
"voronoi",3,168,0.998024908549822,0.00844900662614087,0.00396726453078743,31.3312405100453
"voronoi",4,39,0.855306367902122,1.08778022524848,0.790013369065756,5.09354968708385
"voronoi",5,253,0.970801000678404,0.0873017430574329,0.021678629322672,25.4612363670557
"voronoi",6,165,0.991253499340869,0.0516788210730333,0.0206002625723691,18.1241846449871
"voronoi",7,34,0.768605236910408,0.408430028538434,0.340206793983532,3.1100461937685
"voronoi",8,84,0.996965958622461,0.00660190926287118,0.00187291897867189,60.3770452220158
"voronoi",9,127,0.99368697111877,0.0115487677847135,0.00480453723929222,70.6064016619263
"voronoi",10,129,0.954033777607157,0.128226182526696,0.0338397529474779,19.9488044926496
"voronoi",11,36,0.998359149105056,0.00527338501630523,0.00451412299836097,60.0439360320768
"voronoi",12,46,0.959992277728602,0.170897607320096,0.125721232623101,6.97205340210941
"voronoi",13,112,0.995913229689746,0.00896376297854165,0.00745054850674936,58.3555823556535
"voronoi",14,130,0.99599959531667,0.0191474743920702,0.0156933870291146,58.3110290775492
"voronoi",15,229,0.991059571704584,0.0549449141824603,0.0250528352726343,55.2671971498205
"voronoi",16,19,0.782015584281929,0.810756096931936,0.605152263630984,4.60078873082926
