"tag","mode","ncomp","source_cube","photometry_cube","png_path","fits_path","mask_pixels","labeled_pixels","registration_score","registration_row","registration_col","registration_template_width","registration_template_height"
"sagui1_2_3","psfmatched",15,"/Users/rd23aag/Documents/GitHub/crp8_segmentation/data/PSF_matched/datacube_sagui-1-2-3_psfmatched.fits","/Users/rd23aag/Documents/GitHub/crp8_segmentation/data/raw/datacube_sagui-1-2-3.fits","/Users/rd23aag/Documents/GitHub/crp8_segmentation/results/figures/paper_repro/figure_03_segmentation_panels/psfmatched_n15/png/sagui1_2_3.png","/Users/rd23aag/Documents/GitHub/crp8_segmentation/results/segmentation/paper_repro/figure_03_segmentation_panels/psfmatched_n15/sagui1_2_3.fits",5016,5016,NA,NA,NA,166,232
"sagui4","psfmatched",15,"/Users/rd23aag/Documents/GitHub/crp8_segmentation/data/PSF_matched/datacube_sagui-4_psfmatched.fits","/Users/rd23aag/Documents/GitHub/crp8_segmentation/data/raw/datacube_sagui-4.fits","/Users/rd23aag/Documents/GitHub/crp8_segmentation/results/figures/paper_repro/figure_03_segmentation_panels/psfmatched_n15/png/sagui4.png","/Users/rd23aag/Documents/GitHub/crp8_segmentation/results/segmentation/paper_repro/figure_03_segmentation_panels/psfmatched_n15/sagui4.fits",1890,1890,NA,NA,NA,151,105
"sagui5_6","psfmatched",15,"/Users/rd23aag/Documents/GitHub/crp8_segmentation/data/PSF_matched/datacube_sagui-5-6_psfmatched.fits","/Users/rd23aag/Documents/GitHub/crp8_segmentation/data/raw/datacube_sagui-5-6.fits","/Users/rd23aag/Documents/GitHub/crp8_segmentation/results/figures/paper_repro/figure_03_segmentation_panels/psfmatched_n15/png/sagui5_6.png","/Users/rd23aag/Documents/GitHub/crp8_segmentation/results/segmentation/paper_repro/figure_03_segmentation_panels/psfmatched_n15/sagui5_6.fits",6808,6808,NA,NA,NA,185,288
"sagui7","psfmatched",15,"/Users/rd23aag/Documents/GitHub/crp8_segmentation/data/PSF_matched/datacube_sagui-7_psfmatched.fits","/Users/rd23aag/Documents/GitHub/crp8_segmentation/data/raw/datacube_sagui-7.fits","/Users/rd23aag/Documents/GitHub/crp8_segmentation/results/figures/paper_repro/figure_03_segmentation_panels/psfmatched_n15/png/sagui7.png","/Users/rd23aag/Documents/GitHub/crp8_segmentation/results/segmentation/paper_repro/figure_03_segmentation_panels/psfmatched_n15/sagui7.fits",2855,2855,NA,NA,NA,138,138
"sagui8","psfmatched",15,"/Users/rd23aag/Documents/GitHub/crp8_segmentation/data/PSF_matched/datacube_sagui-8_psfmatched.fits","/Users/rd23aag/Documents/GitHub/crp8_segmentation/data/raw/datacube_sagui-8.fits","/Users/rd23aag/Documents/GitHub/crp8_segmentation/results/figures/paper_repro/figure_03_segmentation_panels/psfmatched_n15/png/sagui8.png","/Users/rd23aag/Documents/GitHub/crp8_segmentation/results/segmentation/paper_repro/figure_03_segmentation_panels/psfmatched_n15/sagui8.fits",5032,5032,NA,NA,NA,190,187
"sagui9","psfmatched",15,"/Users/rd23aag/Documents/GitHub/crp8_segmentation/data/PSF_matched/datacube_sagui-9_psfmatched.fits","/Users/rd23aag/Documents/GitHub/crp8_segmentation/data/raw/datacube_sagui-9.fits","/Users/rd23aag/Documents/GitHub/crp8_segmentation/results/figures/paper_repro/figure_03_segmentation_panels/psfmatched_n15/png/sagui9.png","/Users/rd23aag/Documents/GitHub/crp8_segmentation/results/segmentation/paper_repro/figure_03_segmentation_panels/psfmatched_n15/sagui9.fits",2661,2661,NA,NA,NA,125,129
"sagui10","psfmatched",15,"/Users/rd23aag/Documents/GitHub/crp8_segmentation/data/PSF_matched/datacube_sagui-10_psfmatched.fits","/Users/rd23aag/Documents/GitHub/crp8_segmentation/data/raw/datacube_sagui-10.fits","/Users/rd23aag/Documents/GitHub/crp8_segmentation/results/figures/paper_repro/figure_03_segmentation_panels/psfmatched_n15/png/sagui10.png","/Users/rd23aag/Documents/GitHub/crp8_segmentation/results/segmentation/paper_repro/figure_03_segmentation_panels/psfmatched_n15/sagui10.fits",2086,2086,NA,NA,NA,130,132
