"method","region","n_pixels","avg_corr","mean_pixel_intravariance","median_pixel_intravariance","cluster_snr"
"pixedfit_r",1,57,0.995973212250536,0.0573378663976062,0.0425998080079409,29.6811391123645
"pixedfit_r",2,1,NA,0,0,4.80153577854878
"pixedfit_r",3,140,0.997449745097635,0.077996227942518,0.0402854402045411,35.5828945435217
"pixedfit_r",4,1,NA,0,0,4.40241110984682
"pixedfit_r",5,1737,0.998441074628638,0.070501944603306,0.032363546677978,50.4877636497298
"pixedfit_r",6,1,NA,0,0,3.029320197363
"pixedfit_r",7,256,0.998784922288056,0.0412217379009602,0.017419858733384,27.6254655111814
"pixedfit_r",8,1,NA,0,0,2.96638629889473
"pixedfit_r",9,19,0.996528604877045,0.130915632570832,0.049879085239127,9.97653631538059
"pixedfit_r",10,1,NA,0,0,2.67775924953026
"pixedfit_r",11,469,0.997503000101632,0.100256516231826,0.0515146566822007,41.3909872161659
