"region","n_pix","F090W","F115W","F150W","F200W","F277W","F356W","F410M","F444W","F090W_err","F115W_err","F150W_err","F200W_err","F277W_err","F356W_err","F410M_err","F444W_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F200W_n_eff","F277W_n_eff","F356W_n_eff","F410M_n_eff","F444W_n_eff"
1,198,1.04522005383454e-07,1.05705674616048e-07,1.16142535239245e-07,1.32540025074143e-07,1.05444970425503e-07,8.42796481003523e-08,7.53324525308306e-08,9.01157200552517e-08,5.86897685383253e-09,5.84355344253123e-09,5.49394906767008e-09,4.6226041424638e-09,4.12943649516463e-09,5.49710121662063e-09,3.83582632821996e-09,6.21363949592056e-09,198,198,198,198,198,198,198,198
2,173,2.31836598306095e-07,2.35623310735046e-07,2.62112163416482e-07,2.75217573938098e-07,2.21211191785058e-07,1.68065274207029e-07,1.58906978478003e-07,1.66134196991672e-07,5.48596273457195e-09,5.4621984754075e-09,5.1354095614115e-09,4.32092930229811e-09,3.85994616974187e-09,5.13835599860272e-09,3.5854972369099e-09,5.80813241722444e-09,173,173,173,173,173,173,173,173
3,367,5.91198079262732e-07,6.63584828835144e-07,7.63218822647309e-07,8.07303566183942e-07,6.48169776721285e-07,4.85424569546507e-07,4.67309806194534e-07,4.75816777741175e-07,7.99029536914754e-09,7.95568276619341e-09,7.47971527014464e-09,6.29342616146304e-09,5.6220050148871e-09,7.48400675088988e-09,5.22227061216227e-09,8.45953496262042e-09,367,367,367,367,367,367,367,367
4,413,9.52997997837768e-07,1.09082384388181e-06,1.24742942349903e-06,1.3132777035159e-06,1.05257930471977e-06,7.73018765144092e-07,7.43850902758759e-07,7.3499654602934e-07,8.47627088452975e-09,8.43955311815146e-09,7.93463693641447e-09,6.67619687030896e-09,5.96393940634159e-09,7.93918942810744e-09,5.53989286953342e-09,8.97404996781376e-09,413,413,413,413,413,413,413,413
5,195,5.29657254707712e-07,6.18188698803312e-07,7.07684893341502e-07,7.44762634931476e-07,5.89255611448928e-07,4.34236048460614e-07,4.10771272779646e-07,3.94482238099307e-07,5.82434520341444e-09,5.79911512884523e-09,5.45216938097001e-09,4.58745074907924e-09,4.09803348052239e-09,5.45529755885823e-09,3.80665612291683e-09,6.16638679877883e-09,195,195,195,195,195,195,195,195
6,369,1.14235136046495e-06,1.36283618313823e-06,1.59088245146546e-06,1.69180174410374e-06,1.34676211416756e-06,9.96547853947734e-07,9.2957275241779e-07,8.62429183619111e-07,8.01203770966396e-09,7.97733092258211e-09,7.50006827449006e-09,6.31055116226663e-09,5.63730301599613e-09,7.50437143275551e-09,5.23648089860011e-09,8.4825541479284e-09,369,369,369,369,369,369,369,369
7,213,7.70578456162555e-07,9.37180301175285e-07,1.10164103075974e-06,1.16004875660412e-06,9.28744285109974e-07,6.76358664331647e-07,6.39611518532575e-07,5.77928536589044e-07,6.08722848447862e-09,6.06085964416793e-09,5.69825441297444e-09,4.79450648882682e-09,4.28299924914459e-09,5.70152378195595e-09,3.97847050144797e-09,6.44470821300811e-09,213,213,213,213,213,213,213,213
8,185,7.44012508395178e-07,9.06065776491479e-07,1.08544806123034e-06,1.16083051861143e-06,9.35826502447562e-07,6.77945545319938e-07,6.4456973806313e-07,5.47405998973475e-07,5.67303764964176e-09,5.64846301370664e-09,5.31053038414248e-09,4.46827581581997e-09,3.99157285712855e-09,5.31357729676782e-09,3.7077650362974e-09,6.00619352905429e-09,185,185,185,185,185,185,185,185
9,172,9.06457364034192e-07,1.10875289587704e-06,1.34585386528709e-06,1.44073677360413e-06,1.15751226424816e-06,8.36385351714033e-07,7.89420021769427e-07,6.38769745341266e-07,5.4700843720809e-09,5.44638889528696e-09,5.12054582673058e-09,4.30842296839108e-09,3.84877408793154e-09,5.12348373586574e-09,3.57511950968264e-09,5.79132157902178e-09,172,172,172,172,172,172,172,172
10,129,6.06014856256247e-07,7.37676663190688e-07,8.93801710906754e-07,9.52061425455124e-07,7.67641204004813e-07,5.52673585714762e-07,5.26987594368908e-07,4.57059339036358e-07,4.73723202706631e-09,4.71671114220797e-09,4.43452276719107e-09,3.73120374087503e-09,3.33313613357599e-09,4.43706707113613e-09,3.09614431695053e-09,5.01543160891787e-09,129,129,129,129,129,129,129,129
11,96,5.36182022996998e-07,6.77913006701691e-07,8.26652195762712e-07,9.00563888551675e-07,7.21974312665655e-07,5.25139560697041e-07,4.89296358229386e-07,3.83448151640766e-07,4.08663093429365e-09,4.06892834291074e-09,3.82549510255999e-09,3.21876837412479e-09,2.87537050198469e-09,3.82768997736214e-09,2.67092662347873e-09,4.32662319361438e-09,96,96,96,96,96,96,96,96
12,57,3.37240536290715e-07,4.26299375151127e-07,5.27347931266336e-07,5.83170862201732e-07,4.69211321477205e-07,3.36796067958789e-07,3.19169332089927e-07,2.37560490371526e-07,3.14896061954075e-09,3.13531985676454e-09,2.94774194731376e-09,2.48022760472107e-09,2.21562177326979e-09,2.9494332119344e-09,2.05808718483437e-09,3.33388707503585e-09,57,57,57,57,57,57,57,57
13,70,4.72862278222295e-07,6.11331058578602e-07,7.53249276566401e-07,8.13981887096316e-07,6.5937353133721e-07,4.80073894257014e-07,4.48237308857001e-07,3.21461377664841e-07,3.48962549852954e-09,3.47450903333533e-09,3.26663833094599e-09,2.74854675472371e-09,2.4553149973108e-09,3.26851256211557e-09,2.28073780085644e-09,3.69455790398545e-09,70,70,70,70,70,70,70,70
14,9,8.08423477394657e-08,1.05371004788981e-07,1.2839607715249e-07,1.36648920772921e-07,1.07476184367537e-07,7.80625945308754e-08,7.37627339358664e-08,4.99753367165516e-08,1.25127006951159e-09,1.24584978000995e-09,1.1713138768485e-09,9.85542514601694e-10,8.80398818914101e-10,1.17198591726282e-09,8.17800920992207e-10,1.32475239170578e-09,9,9,9,9,9,9,9,9
15,25,1.86135480105284e-07,2.42560271617375e-07,3.07005832939463e-07,3.39934755561146e-07,2.72025470135558e-07,1.96716108321196e-07,1.8377645551908e-07,1.29769265503987e-07,2.08545011585265e-09,2.07641630001659e-09,1.9521897947475e-09,1.64257085766949e-09,1.46733136485683e-09,1.95330986210469e-09,1.36300153498701e-09,2.20792065284296e-09,25,25,25,25,25,25,25,25
16,6,7.40804876310157e-08,9.67052012582418e-08,1.14618312110349e-07,1.15699962371218e-07,8.99836492485653e-08,6.29446119042401e-08,6.20341783723662e-08,4.49703185231698e-08,1.02165773357341e-09,1.01723208572769e-09,9.56373775639998e-10,8.04692093531197e-10,7.18842625496171e-10,9.56922494340534e-10,6.67731655869682e-10,1.08165579840359e-09,6,6,6,6,6,6,6,6
17,8,8.6755894719662e-08,1.16322397886839e-07,1.47766160366499e-07,1.54071501492631e-07,1.20785088538079e-07,8.54988318679288e-08,8.01526689528332e-08,5.939973831245e-08,1.17970873499655e-09,1.17459843704641e-09,1.1043253136233e-09,9.2917839363e-10,8.30047966670384e-10,1.10495891940223e-09,7.71030102525592e-10,1.24898853275767e-09,8,8,8,8,8,8,8,8
18,17,1.37981961822437e-07,1.80935470766443e-07,2.32284235066981e-07,2.74277253160734e-07,2.18040502078603e-07,1.60088369256699e-07,1.46557331686192e-07,9.60695267510169e-08,1.71970622092342e-09,1.71225674554452e-09,1.60981694499936e-09,1.35449862874654e-09,1.20999244101729e-09,1.61074057620366e-09,1.12395985932609e-09,1.82069801293085e-09,17,17,17,17,17,17,17,17
19,10,1.77899640502186e-07,2.3282528430365e-07,2.87758750911701e-07,2.78570883262085e-07,2.10339204064412e-07,1.43598656647742e-07,1.32911778683833e-07,1.16334149388274e-07,1.31895446255128e-09,1.31324097575039e-09,1.23467323526774e-09,1.03885302569037e-09,9.28021839030229e-10,1.23538162806405e-09,8.62037860972928e-10,1.39641163118194e-09,10,10,10,10,10,10,10,10
20,7,7.22334252336178e-08,9.71959880035135e-08,1.27029251462618e-07,1.5338566422744e-07,1.19022735357935e-07,8.62718820574277e-08,7.86130857467631e-08,5.08985282492495e-08,1.10351647563539e-09,1.09873622961695e-09,1.03300174178002e-09,8.69166800039109e-10,7.76438776467233e-10,1.03359442571578e-09,7.21232619634987e-10,1.16832179239717e-09,7,7,7,7,7,7,7,7
