"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F356W","F410M","F444W","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F356W_err","F410M_err","F444W_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F356W_n_eff","F410M_n_eff","F444W_n_eff"
1,1397,7.21569917823095e-07,7.87240725866442e-07,8.26657263176876e-07,8.85824154186745e-07,7.92738095537992e-07,9.1546048238585e-07,7.85402959392385e-07,7.42780620226335e-07,6.90005932528227e-07,6.18589378638812e-07,2.32455055687404e-08,1.94819424682892e-08,2.3146189137793e-08,1.82965283813577e-08,2.84043530527046e-08,1.30999560776642e-08,1.05543485573738e-08,1.46289909358895e-08,1.09565671885693e-08,1.96008327933421e-08,1397,1397,1397,1397,1397,1397,1397,1397,1397,1397
2,1362,2.76412128766935e-06,3.24941057989619e-06,3.34343565285099e-06,3.49804303248283e-06,3.25620156244406e-06,3.03127000255472e-06,2.06616878486545e-06,1.80236890979615e-06,1.95174914467296e-06,2.52244499318469e-06,2.2952465689847e-08,1.9236347204954e-08,2.28544012718882e-08,1.80658768067904e-08,2.80462791810052e-08,1.29348140663986e-08,1.04212972449855e-08,1.44445734484097e-08,1.0818445386377e-08,1.93537387625848e-08,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362
3,846,3.97781786140447e-06,4.62585581201787e-06,4.94481175801412e-06,5.07990070582643e-06,5.02336386910579e-06,4.39947721359866e-06,2.95724653928011e-06,2.63081945685721e-06,2.82221834285162e-06,3.4685674756318e-06,1.80894754924471e-08,1.51606993353287e-08,1.80121882018649e-08,1.42382191160649e-08,2.21040513361291e-08,1.01942861048249e-08,8.21331370930056e-09,1.1384169392722e-08,8.52631718647163e-09,1.52532188813103e-08,846,846,846,846,846,846,846,846,846,846
4,1106,7.40286691955698e-06,8.67050163961377e-06,9.31677592493943e-06,9.62458189686041e-06,9.54729821985282e-06,8.28161960722687e-06,5.49792800934071e-06,4.83211816103207e-06,5.03284214170435e-06,6.20460822022036e-06,2.06832297701895e-08,1.7334511880142e-08,2.05948606635178e-08,1.62797620980682e-08,2.52734344247909e-08,1.1655990906822e-08,9.39097735006413e-09,1.30164852701639e-08,9.74886074142618e-09,1.74402973148037e-08,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106
5,803,7.6375530663907e-06,9.18312371405845e-06,9.98741239264891e-06,1.04184332858456e-05,1.04450372251288e-05,8.97530215682837e-06,5.92329362334415e-06,5.24247475267954e-06,5.49781776698345e-06,6.11070036330118e-06,1.7623759827409e-08,1.47703853554489e-08,1.75484623071742e-08,1.38716544974631e-08,2.15349799458426e-08,9.93183301518837e-09,8.0018609859814e-09,1.10910826184896e-08,8.30680615197642e-09,1.48605229748841e-08,803,803,803,803,803,803,803,803,803,803
6,381,4.06923045829177e-06,5.19473581746929e-06,5.79982790495971e-06,6.09285008785738e-06,6.12917701328575e-06,5.52521897436588e-06,3.76609441340819e-06,3.4142158252098e-06,3.7958517187904e-06,3.23488954304773e-06,1.21395693627344e-08,1.01741126350306e-08,1.20877030482427e-08,9.55505031826094e-09,1.48336895950586e-08,6.84122894136715e-09,5.51182877102111e-09,7.6397413533504e-09,5.72188060052174e-09,1.02362010823337e-08,381,381,381,381,381,381,381,381,381,381
7,240,3.72389298423926e-06,4.82567599328673e-06,5.43180850360064e-06,5.71588781479716e-06,5.74651528781975e-06,5.16166098834286e-06,3.4851209807421e-06,3.14727166832201e-06,3.47837007165602e-06,2.87595947027383e-06,9.63488230583703e-09,8.07494688450546e-09,9.59371726770163e-09,7.58361211110198e-09,1.17731403099391e-08,5.42971778551721e-09,4.37460505491548e-09,6.06347775502866e-09,4.54131810666318e-09,8.1242249819768e-09,240,240,240,240,240,240,240,240,240,240
8,170,2.21898344458322e-06,2.75358187823228e-06,3.03134468408385e-06,3.18656798867444e-06,3.21673733238246e-06,2.79077695727709e-06,1.84595962047389e-06,1.64577414810489e-06,1.70436540543539e-06,1.71695719822613e-06,8.10896178569487e-09,6.7960804947562e-09,8.07431624353351e-09,6.38256066389141e-09,9.90857405835495e-09,4.56978846572862e-09,3.68177877962521e-09,5.10317696088005e-09,3.82208872040982e-09,6.83755419381994e-09,170,170,170,170,170,170,170,170,170,170
9,143,2.69472565358718e-06,3.58725274417962e-06,4.05377618793391e-06,4.29192142190263e-06,4.34846903382344e-06,3.91173422340358e-06,2.620284261724e-06,2.37695744397055e-06,2.62580297472262e-06,2.05110900987676e-06,7.43718888922656e-09,6.23307097525789e-09,7.40541349700825e-09,5.85380847866951e-09,9.08771539963068e-09,4.1912122540013e-09,3.37676819253531e-09,4.68041310296565e-09,3.50545439925689e-09,6.27110885754464e-09,143,143,143,143,143,143,143,143,143,143
10,130,2.88048791377897e-06,3.87182943584791e-06,4.339275987734e-06,4.64594967548812e-06,4.70150050816674e-06,4.15934387447752e-06,2.78382927300286e-06,2.50921299339592e-06,2.71113042832847e-06,2.13428986699314e-06,7.0910813750305e-09,5.94299999102094e-09,7.06078472729174e-09,5.58138738902003e-09,8.66479665525891e-09,3.99616408777793e-09,3.21962214413687e-09,4.46259879589263e-09,3.34231962799783e-09,5.97926768875548e-09,130,130,130,130,130,130,130,130,130,130
11,115,3.15718698027964e-06,4.26867770197461e-06,4.85502040150271e-06,5.18425645473517e-06,5.28919445160953e-06,4.70405393846918e-06,3.14809615856617e-06,2.8464779544364e-06,3.05450298076707e-06,2.25740051001142e-06,6.66944527317275e-09,5.58962887355242e-09,6.64095006583162e-09,5.24951777743285e-09,8.14958735333523e-09,3.75855194384066e-09,3.02818322833358e-09,4.19725241768283e-09,3.14358511282586e-09,5.62374009191697e-09,115,115,115,115,115,115,115,115,115,115
