"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F335M","F356W","F410M","F444W","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F335M_err","F356W_err","F410M_err","F444W_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F335M_n_eff","F356W_n_eff","F410M_n_eff","F444W_n_eff"
1,204,1.23081888633392e-07,1.65538814826813e-07,1.95255039704483e-07,1.89171631976344e-07,1.67065922079356e-07,1.74479588044913e-07,1.76649992293872e-07,1.67561352706194e-07,1.64328807738023e-07,1.62898826223747e-07,7.59927170456883e-08,4.0442359747758e-09,4.78679437766323e-09,8.90506499053485e-09,4.69848031463338e-09,1.04666769733209e-08,3.73675846984219e-09,3.95429536696397e-09,2.97303259689966e-09,4.08842627591989e-09,3.38898891545558e-09,4.67867741017112e-09,204,204,204,204,204,204,204,204,204,204,204
2,180,6.74982060669772e-07,7.6675144952905e-07,8.69228636285788e-07,8.49773978119135e-07,8.42476522316369e-07,7.29574938044413e-07,5.44464113262246e-07,5.02391370010022e-07,4.36484187166958e-07,4.72643532603603e-07,6.07706597704672e-07,3.79889820942755e-09,4.4964103735838e-09,8.3648520161473e-09,4.41345375631323e-09,9.83173105145274e-09,3.51007338560003e-09,3.71441371937745e-09,2.79267784554979e-09,3.84040776943775e-09,3.1834007716149e-09,4.39485216660077e-09,180,180,180,180,180,180,180,180,180,180,180
3,154,8.20017877891634e-07,9.30607601334956e-07,9.87860576137843e-07,1.02475715726606e-06,1.00732546768677e-06,8.63781519228774e-07,6.08750253913352e-07,5.79234650282444e-07,5.03005094375782e-07,5.35296795515223e-07,7.27500069822029e-07,3.51383823954277e-09,4.15901080796697e-09,7.73717411261829e-09,4.08227905104201e-09,9.09398215613166e-09,3.24668611949498e-09,3.4356932576505e-09,2.58312217475695e-09,3.55223302435392e-09,2.94452621429306e-09,4.06507327883003e-09,154,154,154,154,154,154,154,154,154,154,154
4,256,1.77064544611033e-06,2.01741772100437e-06,2.12199656592671e-06,2.21398849487226e-06,2.18769315676375e-06,1.8771624612919e-06,1.33213370651564e-06,1.28036127001489e-06,1.12387600929279e-06,1.23697090716007e-06,1.58442163437448e-06,4.53045047247053e-09,5.36228226670325e-09,9.97566812257682e-09,5.26335072782303e-09,1.17250234493567e-08,4.1860067713144e-09,4.4296968389791e-09,3.33046266768373e-09,4.57995351134994e-09,3.7964269466433e-09,5.24116703764349e-09,256,256,256,256,256,256,256,256,256,256,256
5,301,2.5579048487758e-06,2.85972809854313e-06,2.95664846544742e-06,3.11134069116738e-06,3.0338361492827e-06,2.601091526769e-06,1.81737729282502e-06,1.74629881740601e-06,1.54189727307247e-06,1.65269953639347e-06,2.27224186511675e-06,4.91252362690567e-09,5.81450751738427e-09,1.08169608395707e-08,5.70723263927922e-09,1.27138471264598e-08,4.53903144762894e-09,4.80327298880007e-09,3.61133548262844e-09,4.96620147849603e-09,4.11659661363352e-09,5.68317809927241e-09,301,301,301,301,301,301,301,301,301,301,301
6,87,8.00160743614309e-07,9.22648689020388e-07,1.03300751611851e-06,1.01341279106345e-06,1.03102016912305e-06,9.30081452720441e-07,6.63970097892155e-07,6.30771102007632e-07,5.6645031332436e-07,6.65403015901793e-07,7.60573306997145e-07,2.64107680237362e-09,3.12600245569985e-09,5.81542736794305e-09,3.06832920798477e-09,6.83523363240655e-09,2.44027949217787e-09,2.58234134421421e-09,1.94153048272797e-09,2.66993515286788e-09,2.21316957366892e-09,3.05539697754097e-09,87,87,87,87,87,87,87,87,87,87,87
7,157,1.85713137176515e-06,2.12892004889219e-06,2.21030610231082e-06,2.31926930082252e-06,2.27379231465125e-06,1.97556752739439e-06,1.36472650824786e-06,1.32575191258174e-06,1.17633370458262e-06,1.32334100483374e-06,1.6916562762726e-06,3.5478988571312e-09,4.19932526384663e-09,7.81217270694724e-09,4.12184972452438e-09,9.18213267060052e-09,3.27815715680721e-09,3.46899639405646e-09,2.60816110101955e-09,3.58666581333833e-09,2.97306833106882e-09,4.1044771719464e-09,157,157,157,157,157,157,157,157,157,157,157
8,77,9.60089276152463e-07,1.05385761398454e-06,1.09300761673287e-06,1.13525557507391e-06,1.09953546049219e-06,9.3025027932575e-07,6.52999663962259e-07,6.18794080032014e-07,5.46091486229814e-07,5.8336777748044e-07,8.86230882120318e-07,2.48465884717329e-09,2.94086474534158e-09,5.4710082822534e-09,2.88660719968759e-09,6.43041645059016e-09,2.29575377147914e-09,2.42940200056157e-09,1.82654320640398e-09,2.51180805987545e-09,2.08209445350818e-09,2.87444088148094e-09,77,77,77,77,77,77,77,77,77,77,77
9,86,1.11288862152745e-06,1.27961562245599e-06,1.36277342615988e-06,1.40867887914005e-06,1.41371211707967e-06,1.21661592959945e-06,8.55739976165556e-07,8.21805424089701e-07,7.26453934904403e-07,7.74290074706452e-07,9.42721203116067e-07,2.62585433090187e-09,3.1079850004105e-09,5.78190877540345e-09,3.05064416611378e-09,6.79583714500469e-09,2.42621436354572e-09,2.56745740846222e-09,1.93034001209936e-09,2.65454634946033e-09,2.20041344682435e-09,3.03778647364207e-09,86,86,86,86,86,86,86,86,86,86,86
10,53,8.52053112392616e-07,9.90899428724278e-07,1.045709679737e-06,1.1059406316316e-06,1.09280791104071e-06,9.33645055295706e-07,6.58096638917645e-07,6.31793812513699e-07,5.58855937127481e-07,6.02015553711301e-07,7.18874186580762e-07,2.06138608047052e-09,2.43987525993374e-09,4.53899750945949e-09,2.39486073027352e-09,5.33496619785673e-09,1.90466183077758e-09,2.0155424852479e-09,1.51538338768024e-09,2.08391030315149e-09,1.72740033488681e-09,2.38476699888247e-09,53,53,53,53,53,53,53,53,53,53,53
