"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F335M","F356W","F410M","F430M","F444W","F460M","F480M","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F335M_err","F356W_err","F410M_err","F430M_err","F444W_err","F460M_err","F480M_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F335M_n_eff","F356W_n_eff","F410M_n_eff","F430M_n_eff","F444W_n_eff","F460M_n_eff","F480M_n_eff"
1,1867,3.09050277540632e-06,3.18576803243459e-06,3.97974751418725e-06,3.65011152563103e-06,4.0185054336909e-06,4.08438882729675e-06,4.11450193462526e-06,3.85628959949735e-06,3.2231943668506e-06,2.88707137134066e-06,2.91865038323709e-06,2.80100761677541e-06,2.58699074221933e-06,2.37469698143122e-06,1.10137814215321e-08,1.28223354791593e-08,1.44264807768868e-08,1.25077562072203e-08,1.56382091653447e-08,1.20624613869154e-08,1.50602133385292e-08,1.26892761375499e-08,1.51620848083712e-08,1.93696566015035e-08,1.22721347609666e-08,2.33110628747753e-08,1.78430843973866e-08,1.18711801916748e-08,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867
2,822,2.23774291749245e-06,2.92240655505855e-06,3.76095490824396e-06,3.63681273327359e-06,4.10658476998097e-06,4.45309399492809e-06,5.119280951619e-06,4.91134007036582e-06,4.56840051488139e-06,4.314826273942e-06,4.20921246917247e-06,3.93620381006218e-06,3.65781269559477e-06,1.54310369966304e-06,7.3080280070352e-09,8.50806668580698e-09,9.57247302496198e-09,8.29933236997347e-09,1.03764970618343e-08,8.00386372994638e-09,9.99297667690469e-09,8.41977717307177e-09,1.00605719492484e-08,1.28524425456366e-08,8.14298932462183e-09,1.54677030388095e-08,1.18395086589483e-08,7.8769419872192e-09,822,822,822,822,822,822,822,822,822,822,822,822,822,822
3,543,2.02600378360462e-06,2.82433367644306e-06,3.7485349799502e-06,3.75382188517572e-06,4.29134964013591e-06,5.02609910230331e-06,6.1294273532521e-06,6.03960907022677e-06,5.88559148142724e-06,5.49372336427945e-06,5.43931917378035e-06,5.17525281468615e-06,4.71475478120485e-06,1.35956550808103e-06,5.9396958795066e-09,6.91504309885052e-09,7.7801533503046e-09,6.74539153833728e-09,8.43363446097322e-09,6.50524551508685e-09,8.12192322397737e-09,6.84328463617192e-09,8.17686217060263e-09,1.04459917171121e-08,6.61832167196968e-09,1.25715790794185e-08,9.62271637837734e-09,6.4020881993827e-09,543,543,543,543,543,543,543,543,543,543,543,543,543,543
4,146,5.85476975805803e-07,8.90714158045635e-07,1.21354956878224e-06,1.27697346617544e-06,1.47107403603624e-06,1.95081315050672e-06,2.43149942527012e-06,2.4876832581569e-06,2.49478319537912e-06,2.32825935138311e-06,2.29952659977213e-06,2.22677460801168e-06,2.00682221304637e-06,3.72350064382825e-07,3.07992912148183e-09,3.58567897220705e-09,4.03426730245119e-09,3.49770901678688e-09,4.37311891100421e-09,3.37318534664933e-09,4.21148630627288e-09,3.54846983163823e-09,4.23997397046432e-09,5.41659282646037e-09,3.43181908069795e-09,6.51878030377024e-09,4.98969728463378e-09,3.3196948604062e-09,146,146,146,146,146,146,146,146,146,146,146,146,146,146
5,80,4.21129934942155e-07,6.68299468532393e-07,9.18662205722582e-07,9.8461906075906e-07,1.15772457182665e-06,1.53418000577424e-06,1.9746240448781e-06,2.02525755763555e-06,2.10251483917008e-06,1.93930665137053e-06,1.94015927314006e-06,1.88101957559319e-06,1.71135542631193e-06,2.72829619524387e-07,2.27986582077558e-09,2.65423865633487e-09,2.98629863608868e-09,2.58912037383326e-09,3.2371278500685e-09,2.49694381774175e-09,3.11748202819563e-09,2.62669521476292e-09,3.13856954331109e-09,4.00954189626408e-09,2.54034645492244e-09,4.82541767083277e-09,3.69353963891874e-09,2.45734838339497e-09,80,80,80,80,80,80,80,80,80,80,80,80,80,80
6,50,2.8581018817332e-07,4.60575539038086e-07,6.16209685094729e-07,6.90198979861442e-07,7.98635182722085e-07,1.19409749513573e-06,1.52408888588841e-06,1.61009328615774e-06,1.69532463561149e-06,1.59147637139101e-06,1.57211489446991e-06,1.53880319127046e-06,1.38664523610162e-06,1.7880848009236e-07,1.80239218830502e-09,2.09835990192078e-09,2.36087636587363e-09,2.04687937941493e-09,2.55917427084513e-09,1.97400741338507e-09,2.46458594343486e-09,2.07658489942899e-09,2.48125708792438e-09,3.16982119151626e-09,2.00832021087229e-09,3.81482762536405e-09,2.91999947177478e-09,1.9427044740152e-09,50,50,50,50,50,50,50,50,50,50,50,50,50,50
7,42,1.48211094590448e-07,2.65219776107926e-07,4.36796907326101e-07,5.04201496526395e-07,6.22861612119645e-07,1.06609880324934e-06,1.54328298800198e-06,1.60451152316086e-06,1.74992199173886e-06,1.64615754596181e-06,1.6492477154016e-06,1.64958195439099e-06,1.5003436373967e-06,8.96322775618052e-08,1.65191972698097e-09,1.92317861716241e-09,2.16377893060963e-09,1.87599593892263e-09,2.34552196254625e-09,1.80920767884822e-09,2.25883032850288e-09,1.90322149772712e-09,2.27410968481183e-09,2.90518910991968e-09,1.84065587720639e-09,3.49634727128788e-09,2.6762237217278e-09,1.78051806102081e-09,42,42,42,42,42,42,42,42,42,42,42,42,42,42
8,25,7.55705430375213e-08,1.48506355214718e-07,2.77357801352039e-07,3.4258335874523e-07,4.29461998654341e-07,8.18596320134729e-07,1.23426148412398e-06,1.29658145902599e-06,1.43051321027191e-06,1.3544837140718e-06,1.34901268956045e-06,1.35444462296236e-06,1.22476927754902e-06,4.21982548395251e-08,1.27448373870814e-09,1.48376451601812e-09,1.6693916878523e-09,1.44736228945521e-09,1.80960948115273e-09,1.3958340281171e-09,1.74272543341984e-09,1.46836726409583e-09,1.75451371273852e-09,2.24140205966997e-09,1.42009683990179e-09,2.69749048295269e-09,2.06475142755308e-09,1.37369950741759e-09,25,25,25,25,25,25,25,25,25,25,25,25,25,25
9,12,2.82513582001175e-08,6.33941929042782e-08,1.38327730438639e-07,1.77340286067786e-07,2.34093773658235e-07,4.69395124875207e-07,7.37211875850355e-07,7.60438418319322e-07,8.53999495442112e-07,8.1236638062575e-07,8.05680203373922e-07,8.08114457065852e-07,7.31797194427622e-07,1.56599113342129e-08,8.82988235545133e-10,1.02798221128449e-09,1.15658848843734e-09,1.00276200891825e-09,1.25373422528595e-09,9.67062182252938e-10,1.20739559773026e-09,1.01731468223395e-09,1.21556275721577e-09,1.55288889901517e-09,9.83871951351165e-10,1.86887622776303e-09,1.43050175100892e-09,9.51726936471845e-10,12,12,12,12,12,12,12,12,12,12,12,12,12,12
10,65,5.79850099887752e-07,8.21058276720576e-07,1.12617137652294e-06,1.10822707904237e-06,1.28317937252255e-06,1.4132173204378e-06,1.72973580957456e-06,1.60702129126657e-06,1.45133889437631e-06,1.31310021520301e-06,1.30168071031579e-06,1.17725392461118e-06,1.07387391090075e-06,3.92172425451484e-07,2.05504327949604e-09,2.39249839318351e-09,2.69181321406647e-09,2.33380156655108e-09,2.91790761216362e-09,2.25071474170517e-09,2.8100603257492e-09,2.3676710704609e-09,2.82906835500443e-09,3.61415222452531e-09,2.2898373501665e-09,4.34957270942939e-09,3.32931163902006e-09,2.21502389950228e-09,65,65,65,65,65,65,65,65,65,65,65,65,65,65
