"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F335M","F356W","F410M","F430M","F444W","F460M","F480M","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F335M_err","F356W_err","F410M_err","F430M_err","F444W_err","F460M_err","F480M_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F335M_n_eff","F356W_n_eff","F410M_n_eff","F430M_n_eff","F444W_n_eff","F460M_n_eff","F480M_n_eff"
1,932,1.00401522200104e-06,1.28283091349601e-06,1.43084064889411e-06,1.4256676632747e-06,1.47568296057406e-06,1.51845510165298e-06,1.5428771692628e-06,1.56699870018976e-06,1.58442736168509e-06,1.48231511798618e-06,1.4778522125925e-06,1.41933002404454e-06,1.27678209797538e-06,8.02497962058737e-07,1.08791309807041e-08,1.30534792687365e-08,1.3981032328845e-08,1.34128168609787e-08,1.56917552281654e-08,1.24745020398844e-08,1.47696002118143e-08,1.38320469001964e-08,1.50247480433783e-08,1.86216300556822e-08,1.36367804581372e-08,2.14480801639227e-08,1.68282576690939e-08,1.08098503277298e-08,932,932,932,932,932,932,932,932,932,932,932,932,932,932
2,320,1.16550075200283e-06,1.45382137712778e-06,1.50821550042403e-06,1.5973304973237e-06,1.68227114473948e-06,1.81184783339569e-06,2.01758567601366e-06,2.01062944262856e-06,2.0054960891555e-06,1.77988618432958e-06,1.82028736858662e-06,1.73476847140818e-06,1.53191229968222e-06,9.58002911687073e-07,6.37472183071487e-09,7.6488002036917e-09,8.19230802172495e-09,7.85935720479095e-09,9.19472104827492e-09,7.30954343890082e-09,8.65437626113496e-09,8.10500870837454e-09,8.80388236183503e-09,1.09115067968205e-08,7.99059063093721e-09,1.25676899276592e-08,9.86066458123707e-09,6.33412622691664e-09,320,320,320,320,320,320,320,320,320,320,320,320,320,320
3,228,1.22282931378994e-06,1.55629595302939e-06,1.6977490608601e-06,1.8131518354508e-06,1.9235069260127e-06,2.0772418898375e-06,2.36350390613379e-06,2.33723582805074e-06,2.2504757487904e-06,2.00877427579596e-06,2.02785026849077e-06,1.96707914293556e-06,1.69670625896152e-06,9.96991632448768e-07,5.38088453449173e-09,6.45633045902592e-09,6.91510385966896e-09,6.6340610237362e-09,7.76123783931131e-09,6.16996479047404e-09,7.30513434403322e-09,6.8414147580025e-09,7.43133201766237e-09,9.2103717982042e-09,6.74483478483687e-09,1.06083512601593e-08,8.32335887808281e-09,5.34661790099037e-09,228,228,228,228,228,228,228,228,228,228,228,228,228,228
4,247,1.55443796914057e-06,2.03764215853564e-06,2.26930839304746e-06,2.43151171479997e-06,2.59104410099019e-06,2.8438428157638e-06,3.2733411878417e-06,3.22154914259436e-06,3.11767417490638e-06,2.82043658733735e-06,2.80158008754502e-06,2.70537392676336e-06,2.34702097893306e-06,1.20958316980587e-06,5.60060219125229e-09,6.71996179893592e-09,7.19746829372494e-09,6.90494963574757e-09,8.07815246193218e-09,6.42190296111649e-09,7.60342489275314e-09,7.12077024498981e-09,7.7347755959559e-09,9.58645890738172e-09,7.02024662180569e-09,1.10415220643336e-08,8.66322658892978e-09,5.56493634831432e-09,247,247,247,247,247,247,247,247,247,247,247,247,247,247
5,116,6.44377496094192e-07,9.31273556049685e-07,1.09068690866669e-06,1.19793184504213e-06,1.2858161303504e-06,1.48856057883594e-06,1.71832678200221e-06,1.7009653425392e-06,1.64459945442081e-06,1.49543271900945e-06,1.49983711482534e-06,1.45578011990843e-06,1.26623319507832e-06,4.41181044830338e-07,3.83809079190225e-09,4.60518755335197e-09,4.93242259310999e-09,4.73195965550014e-09,5.53595515642073e-09,4.40092793236574e-09,5.21062451344557e-09,4.87986144619136e-09,5.30063910602989e-09,6.56959705455245e-09,4.8109726411421e-09,7.56675134504218e-09,5.93690625823567e-09,3.81364900177128e-09,116,116,116,116,116,116,116,116,116,116,116,116,116,116
6,105,6.95420194110582e-07,1.02095766782781e-06,1.24296122581541e-06,1.3804241493327e-06,1.48756158202914e-06,1.75041006210068e-06,2.07351271274109e-06,2.02708130957124e-06,1.95543256045602e-06,1.80447781205864e-06,1.79407842995386e-06,1.75505761027411e-06,1.53179664016318e-06,4.53002999901412e-07,3.65158066544229e-09,4.38140073862636e-09,4.69273395324356e-09,4.50201241308138e-09,5.26693814971544e-09,4.18706701304135e-09,4.95741678865998e-09,4.64272698930032e-09,5.04305716657445e-09,6.25035073030689e-09,4.57718580170934e-09,7.19904880052905e-09,5.64840523076111e-09,3.62832661203132e-09,105,105,105,105,105,105,105,105,105,105,105,105,105,105
7,54,4.45091580295063e-07,6.68717062466274e-07,8.3669818459328e-07,9.33053703887525e-07,1.00957888779637e-06,1.22278991339128e-06,1.46542996164637e-06,1.42974532362187e-06,1.35884039160807e-06,1.24281930206289e-06,1.23714783785695e-06,1.20618364451164e-06,1.04189867733122e-06,2.75772913397238e-07,2.61868420837737e-09,3.14206530705904e-09,3.36533392614696e-09,3.22856042141606e-09,3.77711709608079e-09,3.0027013699124e-09,3.55514782452063e-09,3.32947207376441e-09,3.61656372239918e-09,4.48235880674215e-09,3.28247005226531e-09,5.16270545183206e-09,4.05068131735183e-09,2.6020078624255e-09,54,54,54,54,54,54,54,54,54,54,54,54,54,54
8,24,2.22914244215857e-07,3.44320418369087e-07,4.39632139488056e-07,4.94629517171783e-07,5.39374718343576e-07,6.6716089246208e-07,7.94502961603405e-07,7.76625502086016e-07,7.3852068899069e-07,6.87073783852085e-07,6.77726876713452e-07,6.67243473511678e-07,5.75068111402033e-07,1.30295498137326e-07,1.74578947225158e-09,2.09471020470603e-09,2.24355595076464e-09,2.15237361427738e-09,2.51807806405386e-09,2.00180091327493e-09,2.37009854968042e-09,2.21964804917627e-09,2.41104248159945e-09,2.98823920449476e-09,2.18831336817688e-09,3.44180363455471e-09,2.70045421156789e-09,1.73467190828367e-09,24,24,24,24,24,24,24,24,24,24,24,24,24,24
9,25,2.96218941513146e-07,4.63737937212858e-07,6.07202360028248e-07,6.84688487943377e-07,7.46940328177701e-07,9.23687531956066e-07,1.10108025312719e-06,1.08579183101551e-06,1.03592863560074e-06,9.55673906801059e-07,9.4729763031204e-07,9.36429605486399e-07,8.08723978993972e-07,1.72411410662469e-07,1.78178891889129e-09,2.13790465022111e-09,2.28981970364923e-09,2.19675712117066e-09,2.57000266226136e-09,2.04307950173373e-09,2.41897170284478e-09,2.26541880376916e-09,2.46075992837182e-09,3.0498588668302e-09,2.23343797889357e-09,3.51277612479818e-09,2.75613953837132e-09,1.77044210268123e-09,25,25,25,25,25,25,25,25,25,25,25,25,25,25
10,12,1.95326337229024e-07,3.09215615098618e-07,4.07908289145714e-07,4.64910630586883e-07,5.00411774520522e-07,6.24589135630305e-07,7.25973682389867e-07,7.02439713470336e-07,6.64079546917254e-07,6.32725996946159e-07,6.10194487554611e-07,6.02061061840842e-07,5.15641603449838e-07,1.09701335587109e-07,1.23445957435318e-09,1.48118379036829e-09,1.58643362675711e-09,1.52195797830253e-09,1.78055007464958e-09,1.41548700036213e-09,1.67591275655943e-09,1.56952818742003e-09,1.70486448846781e-09,2.11300420530574e-09,1.54737122199904e-09,2.43372268950614e-09,1.90950948528342e-09,1.22659826948119e-09,12,12,12,12,12,12,12,12,12,12,12,12,12,12
