"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F335M","F356W","F410M","F430M","F444W","F460M","F480M","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F335M_err","F356W_err","F410M_err","F430M_err","F444W_err","F460M_err","F480M_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F335M_n_eff","F356W_n_eff","F410M_n_eff","F430M_n_eff","F444W_n_eff","F460M_n_eff","F480M_n_eff"
1,595,3.75787418837676e-07,4.44819799549683e-07,4.952207023008e-07,5.22102828621944e-07,5.55661934717154e-07,4.97842465987301e-07,4.30624172813564e-07,3.87530202255536e-07,2.92562000170016e-07,3.36756593222561e-07,2.775194416043e-07,3.21209408177909e-07,2.80123390845343e-07,2.57971752570407e-07,7.81862349450118e-09,8.77998463863363e-09,1.01315330798632e-08,9.2522912197549e-09,1.14819066729364e-08,7.25078719308063e-09,8.28776750603581e-09,6.21107882241343e-09,7.15933583909418e-09,1.11776312983556e-08,5.99230720239064e-09,1.34937465218161e-08,1.0307116527486e-08,8.16921670034308e-09,595,595,595,595,595,595,595,595,595,595,595,595,595,595
2,1408,2.88639078692583e-06,3.37991654540862e-06,3.78903895097238e-06,3.96405813507326e-06,4.14372554398124e-06,4.28682048899894e-06,3.73044296478997e-06,3.31439343018729e-06,2.5047051226239e-06,2.48617260038716e-06,2.37378566070502e-06,2.37077563023765e-06,2.21331103990067e-06,2.11061793851762e-06,1.20274384955738e-08,1.35063064882863e-08,1.55854020940678e-08,1.42328587208482e-08,1.76626904234211e-08,1.1153932283682e-08,1.27491257271265e-08,9.55454225162232e-09,1.10132520813187e-08,1.71946216698787e-08,9.21800447022746e-09,2.07575165219489e-08,1.58555032338156e-08,1.25667582649929e-08,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408
3,813,2.69254216573119e-06,3.19321499841821e-06,3.62105226228739e-06,3.76907286481482e-06,3.96667948501203e-06,4.12475439609497e-06,3.55940613867076e-06,3.21062805414902e-06,2.4434737782303e-06,2.4477509312287e-06,2.33686850682448e-06,2.32381896556859e-06,2.2028208437692e-06,1.9339273430826e-06,9.13938747488281e-09,1.02631469199696e-08,1.18430062013582e-08,1.08152380719275e-08,1.34214921729139e-08,8.47562920788905e-09,9.68778181897053e-09,7.2602877008975e-09,8.36872939876374e-09,1.3065816963676e-08,7.00456000083594e-09,1.57731828418984e-08,1.20482501503895e-08,9.54920477283864e-09,813,813,813,813,813,813,813,813,813,813,813,813,813,813
4,561,3.05104742784653e-06,3.60847897215431e-06,4.23755099719109e-06,4.31189914656573e-06,4.63714000355717e-06,4.78888318892579e-06,4.16419690367507e-06,3.72224814800022e-06,2.80195503083991e-06,2.78648436216797e-06,2.67647914289041e-06,2.66458865372365e-06,2.51522574870301e-06,2.22102417482431e-06,7.59194840511836e-09,8.52543806734243e-09,9.83780283846225e-09,8.98405168363849e-09,1.11490268222564e-08,7.04057463632518e-09,8.04749114005707e-09,6.03100916587805e-09,6.95177461141905e-09,1.08535729042629e-08,5.81858010430662e-09,1.31025400388472e-08,1.00082958256335e-08,7.93237732228117e-09,561,561,561,561,561,561,561,561,561,561,561,561,561,561
5,323,2.15141136543661e-06,2.66535516620685e-06,3.18051911041681e-06,3.29622981504896e-06,3.50353083984686e-06,3.70573534785207e-06,3.24697170255749e-06,2.90255350052078e-06,2.18129618882314e-06,2.14322549996956e-06,2.07341531573582e-06,2.03481289206676e-06,1.95022845951918e-06,1.490252814966e-06,5.76067107605293e-09,6.46899081296569e-09,7.46479602327558e-09,6.8169808220521e-09,8.45973561909493e-09,5.34229587742279e-09,6.10633094056127e-09,4.57625081301408e-09,5.27491558085957e-09,8.2355490534244e-09,4.41506242165428e-09,9.94203587760497e-09,7.59416387029693e-09,6.01898408239919e-09,323,323,323,323,323,323,323,323,323,323,323,323,323,323
6,368,2.67583219722941e-06,3.47833125384099e-06,4.22324416355202e-06,4.41139038831798e-06,4.66107749537346e-06,5.03993961096854e-06,4.4495600658724e-06,3.97039466560471e-06,2.92065243602473e-06,2.84464305877975e-06,2.77583120882878e-06,2.72901777446975e-06,2.61026662112174e-06,1.79810480959888e-06,6.14887588173518e-09,6.90492844737551e-09,7.96783979220724e-09,7.2763690913052e-09,9.02982718981243e-09,5.7023068736439e-09,6.51782935540156e-09,4.88463893900938e-09,5.6303858986443e-09,8.79053295682091e-09,4.71258825273291e-09,1.06120179083437e-08,8.10592558532401e-09,6.42459629584869e-09,368,368,368,368,368,368,368,368,368,368,368,368,368,368
7,200,1.7471807910334e-06,2.2997362300646e-06,2.84097894160801e-06,2.94838155834507e-06,3.16915098934095e-06,3.40944473862729e-06,3.00219909787731e-06,2.69381748438588e-06,1.98153015435298e-06,1.94170143127652e-06,1.88028451920177e-06,1.85154007375589e-06,1.78176861703224e-06,1.15172428353711e-06,4.53301144078351e-09,5.09038078695321e-09,5.87396942645933e-09,5.36421046263535e-09,6.65687692303311e-09,4.20379640022787e-09,4.80500755022109e-09,3.60100360138962e-09,4.15077555401532e-09,6.48046687398883e-09,3.47416615267765e-09,7.82328339578494e-09,5.97576762373101e-09,4.73627522682718e-09,200,200,200,200,200,200,200,200,200,200,200,200,200,200
8,252,2.75243507385446e-06,3.67419563232209e-06,4.5838135373373e-06,4.75039495794277e-06,5.10035200265276e-06,5.52385210513559e-06,4.89274600981649e-06,4.36454009055266e-06,3.17982777357302e-06,3.08001332998578e-06,3.01818542182104e-06,2.93744331597871e-06,2.83065780460937e-06,1.81141578539372e-06,5.08829272252153e-09,5.71393826189868e-09,6.59351432825875e-09,6.02131131051889e-09,7.47232581357355e-09,4.71874975602189e-09,5.39360759813679e-09,4.04211651748172e-09,4.65923400375664e-09,7.27430602464125e-09,3.8997418344139e-09,8.7816138319994e-09,6.70778252129331e-09,5.31645575647571e-09,252,252,252,252,252,252,252,252,252,252,252,252,252,252
9,135,1.46022132201636e-06,1.92827476857874e-06,2.42204641996887e-06,2.51480971693134e-06,2.72540003984946e-06,2.92959672447909e-06,2.60304166432625e-06,2.32095424887759e-06,1.74439320443301e-06,1.71491280315626e-06,1.64678890166991e-06,1.62834244964573e-06,1.54237136303141e-06,9.54124740805237e-07,3.72424892931919e-09,4.18217457495776e-09,4.82595833545118e-09,4.40714861038591e-09,5.46918247992123e-09,3.45377117334573e-09,3.94771653635809e-09,2.95852635320766e-09,3.41021010311279e-09,5.32424683507301e-09,2.85431875551373e-09,6.42748318444054e-09,4.90959408888978e-09,3.89124717042922e-09,135,135,135,135,135,135,135,135,135,135,135,135,135,135
10,139,1.83444805800343e-06,2.52736017197791e-06,3.18298621654895e-06,3.30488118440576e-06,3.57352269231878e-06,3.87364299059325e-06,3.41976635933011e-06,3.0573067081043e-06,2.24785917520369e-06,2.18221394301431e-06,2.13124394655375e-06,2.08597198486831e-06,2.00615749955023e-06,1.18085434765443e-06,3.77902023571991e-09,4.24368044350028e-09,4.89693212041686e-09,4.47196309821261e-09,5.54961595122091e-09,3.50456465218225e-09,4.00577430749521e-09,3.00203642905422e-09,3.4603629435897e-09,5.40254878542363e-09,2.89629628443045e-09,6.522010069609e-09,4.98179787742518e-09,3.94847446513948e-09,139,139,139,139,139,139,139,139,139,139,139,139,139,139
