region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err
11,108,1.6850849748157091e-6,2.288188725767731e-6,3.1167080927568746e-6,3.5691369319386155e-6,3.800383951715557e-6,3.87005275254251e-6,3.5053995847905355e-6,2.379199632422343e-6,2.1571458077499904e-6,2.393552505972035e-6,108,108,108,108,108,108,108,108,108,108,1.298108229238113e-7,1.512676014805461e-7,1.765420089598188e-7,1.8892159569352084e-7,1.9494573480113786e-7,1.9672449650570996e-7,1.872271236971432e-7,1.5424654396200724e-7,1.4687225087639905e-7,1.5471110192782015e-7
12,78,9.26032688647284e-7,1.268010333821555e-6,1.7739576399750601e-6,2.0562198281845154e-6,2.2157244587373793e-6,2.2520195699197142e-6,2.112474386728575e-6,1.4598511231210364e-6,1.3256446290237767e-6,1.4958544564435275e-6,78,78,78,78,78,78,78,78,78,78,9.623059225876582e-8,1.1260596493177237e-7,1.3319000112527442e-7,1.4339525195014357e-7,1.4885309733886559e-7,1.5006730389794156e-7,1.4534353741149194e-7,1.2082429900980334e-7,1.1513664182282618e-7,1.223051289375686e-7
13,40,8.652633833303471e-7,1.1422248553585388e-6,1.4732783984340946e-6,1.6299855779874066e-6,1.7087771653410321e-6,1.7275309919604558e-6,1.4028077792705263e-6,8.89999712685197e-7,7.851688205994762e-7,8.097015654844413e-7,40,40,40,40,40,40,40,40,40,40,9.301953468655641e-8,1.0687492013370298e-7,1.2137868010627298e-7,1.2767088853718403e-7,1.3072020369250623e-7,1.3143557326540086e-7,1.1844018656142545e-7,9.43397960929107e-8,8.860975231877562e-8,8.99834187772637e-8
14,110,2.1576382374474744e-6,2.967960753395818e-6,4.019919421637233e-6,4.554303307488728e-6,4.8559318518252015e-6,4.923935680362036e-6,4.374763038131014e-6,2.9264445733885974e-6,2.626078745111391e-6,2.854524474138978e-6,110,110,110,110,110,110,110,110,110,110,1.468890137977471e-7,1.7227770469204128e-7,2.0049736710583593e-7,2.1340813732116042e-7,2.2036179005955643e-7,2.218994294801597e-7,2.0915934208471335e-7,1.7106854104096983e-7,1.620518048375701e-7,1.6895338037870027e-7
15,52,1.2515867626286014e-6,1.7723296379503017e-6,2.4016841387007166e-6,2.783428449545686e-6,2.9632239483906206e-6,3.0358587121039358e-6,2.663694109857408e-6,1.7696845912481098e-6,1.5968026494647895e-6,1.7080610036433233e-6,52,52,52,52,52,52,52,52,52,52,1.1187433855127822e-7,1.3312887132212537e-7,1.5497367965886068e-7,1.6683610069603298e-7,1.721401739394561e-7,1.7423715769329847e-7,1.6320827521475153e-7,1.3302949264159845e-7,1.2636465682558512e-7,1.3069280789864926e-7
16,26,7.200992905932686e-7,1.0368940377102702e-6,1.4499897146035926e-6,1.6969077062322382e-6,1.8232057475713696e-6,1.8742042112046511e-6,1.6623055314678288e-6,1.1106736135278113e-6,9.979671716497757e-7,1.0572348713668343e-6,26,26,26,26,26,26,26,26,26,26,8.485866429500694e-8,1.0182799407384348e-7,1.2041551870932554e-7,1.3026541007620704e-7,1.3502613626892277e-7,1.3690157819414103e-7,1.2893042819551283e-7,1.0538850096323657e-7,9.989830687503047e-8,1.0282192720265625e-7
17,23,7.193924665281567e-7,1.0513464545797883e-6,1.5137674187754267e-6,1.8005125617015585e-6,1.9323550413883872e-6,1.991290497665103e-6,1.772658305061109e-6,1.1834073638243993e-6,1.0561324118946316e-6,1.1265553569097921e-6,23,23,23,23,23,23,23,23,23,23,8.481700693423206e-8,1.0253518686674289e-7,1.2303525587308e-7,1.341831793371121e-7,1.3900917384792947e-7,1.4111309286048205e-7,1.331412146955671e-7,1.0878452848748296e-7,1.0276830308488273e-7,1.061393120813298e-7
18,10,3.7038592337196716e-7,5.554393195856782e-7,8.047185801994272e-7,9.57182655274815e-7,1.0198094844249645e-6,1.053311843811761e-6,9.254742526493426e-7,6.247788619604081e-7,5.472886848168858e-7,5.908795547143866e-7,10,10,10,10,10,10,10,10,10,10,6.085933974107566e-8,7.45278014961986e-8,8.970610794140091e-8,9.783571205213437e-8,1.0098561701672988e-7,1.0263098186277676e-7,9.620157237017193e-8,7.904295426920783e-8,7.397896219986367e-8,7.686869029158664e-8
19,6,1.7361083507770057e-7,2.667403841068436e-7,4.320199012751765e-7,5.246736955609785e-7,5.812781047766222e-7,6.041210651344364e-7,5.796412467780472e-7,3.8559325695014646e-7,3.49586343753572e-7,3.803311920070114e-7,6,6,6,6,6,6,6,6,6,6,4.166663354264424e-8,5.164691511666923e-8,6.57282208244812e-8,7.243436308555343e-8,7.624159657146631e-8,7.772522532192727e-8,7.613417411242124e-8,6.209615583513576e-8,5.912582716153508e-8,6.167099739804857e-8
20,14,6.120291495372059e-7,9.297189092779993e-7,1.3913934994004276e-6,1.6774504566427118e-6,1.7888340568756866e-6,1.858033542647428e-6,1.6590314769671525e-06,1.0897663402523595e-6,9.699888992229656e-7,1.0331314659072115e-6,14,14,14,14,14,14,14,14,14,14,7.823229189645449e-8,9.642193263350406e-8,1.1795734395960379e-7,1.2951642585566944e-7,1.337473011643856e-7,1.3630970408035623e-7,1.2880339580023318e-7,1.0439187421693123e-7,9.84880144597791e-8,1.0164307482102317e-7
21,3,1.9349674222931558e-7,2.9831442830367677e-7,4.637268066038352e-7,5.261527442608001e-7,5.852435493038307e-7,5.755988311418011e-7,4.744038581651269e-7,2.9863099097488745e-7,2.586963748860534e-7,2.7227587699173844e-7,3,3,3,3,3,3,3,3,3,3,4.398826459742593e-8,5.461816806738183e-8,6.809748942536981e-8,7.253638702477537e-8,7.65012123631927e-8,7.586822992147642e-8,6.887698150798472e-8,5.4647139996059025e-8,5.086220353917567e-8,5.218006103788481e-8
22,3,1.7109375954744394e-7,2.763490486154261e-7,4.355647086872548e-7,5.519521522006413e-7,5.8685924524627e-7,6.177828978834964e-7,5.103495597236071e-7,3.145384788266555e-7,2.767481517530845e-7,2.891949653385656e-7,3,3,3,3,3,3,3,3,3,3,4.136348142352671e-8,5.256891178400273e-8,6.599732636154701e-8,7.429348236559122e-8,7.66067389494077e-8,7.8599166527609975e-08,7.143875416912078e-8,5.6083730156495075e-8,5.260685808457719e-8,5.3776850534274096e-8
23,1,7.453406333350776e-8,1.2093828200418128e-7,1.864210700866429e-7,2.260662841673496e-7,2.4355976103322055e-7,2.4261657713796516e-7,1.8472824096257286e-7,1.1329277992015886e-7,9.60488128652525e-8,1.0120791435114468e-7,1,1,1,1,1,1,1,1,1,1,2.73009273347093e-8,3.4776181792166495e-8,4.3176506353182734e-8,4.754642827461908e-8,4.9351774135609404e-8,4.925612420176451e-8,4.2980023378608444e-8,3.3658992842947464e-8,3.09917429108549e-8,3.181319134433775e-8
24,3,1.8047129631265677e-7,2.7191022873629613e-7,3.926014614255833e-7,4.810234642273847e-7,5.065015030148676e-7,5.218784332542717e-7,4.3786948205564505e-7,2.898725032846322e-7,2.4768301487393713e-7,2.6155165672799404e-7,3,3,3,3,3,3,3,3,3,3,4.248191336470813e-8,5.214501210435147e-8,6.265791741077765e-8,6.935585514052759e-8,7.1168918989603e-8,7.224115400893536e-8,6.617170710021354e-8,5.383980899711961e-8,4.9767762143172275e-8,5.114212126300532e-8
25,4,1.1299002884021579e-7,1.610027837487683e-7,2.0262459751767345e-7,2.2527067657466137e-7,2.314334201428696e-7,2.3826038356818452e-7,1.7086561201124067e-7,1.0186142682201646e-7,8.402039289052939e-8,8.123526095861103e-8,4,4,4,4,4,4,4,4,4,4,3.361398947465412e-8,4.012515218024329e-8,4.501384203971857e-8,4.746268814286243e-8,4.810752749236543e-8,4.881192308936256e-8,4.133589384678172e-8,3.1915736999482944e-8,2.898627138673227e-8,2.8501800111328235e-8
