region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err
1,1717,2.5682982087879828e-6,2.883275921191236e-6,3.3416298112026083e-6,3.325740347153074e-6,3.602487424370227e-6,3.2385394659002727e-6,3.1677385909705488e-6,2.199635941320761e-6,1.9142397141300624e-6,2.048282212366848e-6,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1.6025910921966286e-7,1.6980211780750076e-7,1.8280125303735226e-7,1.823661247916694e-7,1.8980219767880002e-7,1.7995942503520823e-7,1.7798142012498238e-7,1.4831169681858412e-7,1.3835605205881175e-7,1.431182103146503e-7
2,1296,7.079405054404885e-6,8.498728882256152e-6,9.813139124467235e-6,1.0352875578719614e-5,1.0839985254393205e-5,1.0677633914341342e-5,9.324116528025994e-6,6.19571036368665e-6,5.438096507188987e-6,5.724417015012114e-6,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,2.660715139657924e-7,2.9152579443775045e-7,3.1325930352452796e-7,3.2175884725551235e-7,3.2924132873005484e-7,3.267664902394574e-7,3.053541636858092e-7,2.489118390853808e-7,2.3319726643314214e-7,2.3925753937989317e-7
3,643,2.505686359124929e-6,2.833854435503755e-6,3.3840891502984404e-6,3.6196610105087293e-6,3.7307368019476496e-6,3.6799855807539827e-6,3.2732404838718238e-6,2.220860128855158e-6,1.9760251871549467e-6,2.1343770380369067e-6,643,643,643,643,643,643,643,643,643,643,1.5829359933758943e-7,1.6834056063539041e-7,1.839589397202115e-7,1.9025406724978915e-7,1.931511532957453e-7,1.9183288510456135e-7,1.8092099059732742e-7,1.490255054967155e-7,1.4057116301556826e-7,1.460950730872505e-7
4,627,4.7031209659367994e-6,5.895673799454491e-6,7.060397798990928e-6,7.6192131113812754e-06,7.966226896634612e-6,7.986275659788478e-6,6.880872602454625e-6,4.544218011794339e-6,4.008021079304361e-6,4.195743921106594e-6,627,627,627,627,627,627,627,627,627,627,2.1686680165338353e-7,2.428100862702061e-7,2.657140906875457e-7,2.7602922148535787e-7,2.822450512698958e-7,2.825999939806878e-7,2.623141742730389e-7,2.1317171509828269e-7,2.0020042655559855e-7,2.0483515130725473e-7
5,401,2.446748257904142e-6,2.9035350770673496e-6,3.670626388827837e-6,4.036653830425943e-6,4.2252237320110325e-6,4.225802105087069e-6,3.7432044237905893e-6,2.555688849994997e-6,2.3001848685687146e-6,2.5283960422878146e-6,401,401,401,401,401,401,401,401,401,401,1.5642085084489668e-7,1.7039762548425814e-7,1.915887885244812e-7,2.009142561001071e-7,2.0555349016766982e-7,2.05567558361894e-7,1.9347362672443472e-7,1.5986521979451932e-7,1.5166360369477956e-7,1.5900930923338466e-7
6,318,2.4378625721063684e-6,3.088029915144463e-6,3.982122873103848e-6,4.443554344191339e-6,4.729086095103507e-6,4.719809827235792e-6,4.293212246303484e-6,2.950054525132161e-6,2.6735264557533658e-6,2.970023179639112e-6,318,318,318,318,318,318,318,318,318,318,1.5613656112859565e-7,1.757279122719115e-7,1.9955257134659648e-7,2.1079739903972582e-7,2.174646199983691e-7,2.172512330744245e-7,2.0720068161817143e-7,1.7175722765380676e-7,1.6350921857049425e-7,1.7233755190436914e-7
7,285,2.8659866827498486e-6,3.657820892302666e-6,4.4486246740528155e-6,4.8408222150568945e-6,5.072460205531221e-6,5.101105489703288e-6,4.3412092959836835e-6,2.845730296372585e-6,2.518031031495036e-6,2.6156409627232943e-6,285,285,285,285,285,285,285,285,285,285,1.6929225270962193e-7,1.9125430432548876e-7,2.109176302268925e-7,2.200186859122855e-7,2.2522122913995521e-7,2.2585627043992579e-7,2.083556885708591e-7,1.6869292505533794e-7,1.5868304986655117e-7,1.61729433397984e-7
8,165,1.6223723465318388e-6,2.0989461869110576e-6,2.7590442097268194e-6,3.152356259836515e-6,3.3041356420698817e-6,3.329707452079707e-6,3.060725407610929e-6,2.104171649216148e-6,1.9088400143434455e-6,2.143160906435134e-6,165,165,165,165,165,165,165,165,165,165,1.2737238109307051e-7,1.4487740289331036e-7,1.661037088606639e-7,1.7754876118510413e-7,1.8177281540620647e-7,1.8247485996924912e-7,1.7494929001316152e-7,1.4505763162330165e-7,1.3816077642889264e-7,1.4639538607603498e-7
9,257,3.294012628807809e-6,4.348813117759153e-6,5.543828004646399e-6,6.161482844431708e-6,6.519755857064697e-6,6.563056343877911e-6,5.777124369212159e-6,3.851569752744036e-6,3.468457736416907e-6,3.694487254671618e-6,257,257,257,257,257,257,257,257,257,257,1.8149414945963987e-7,2.0853808088114634e-7,2.354533500429841e-7,2.4822334387465875e-7,2.553381259636856e-7,2.561846276394802e-7,2.4035649292690556e-7,1.9625416563079716e-7,1.862379589776721e-7,1.9221049020986388e-7
10,91,1.4919393467801812e-6,1.969042655219639e-6,2.5231781983335465e-6,2.7840434241242105e-6,2.945427441593088e-6,2.971706373704245e-6,2.5509278440461288e-6,1.6651908373858312e-6,1.494455014467275e-6,1.5652671575569494e-6,91,91,91,91,91,91,91,91,91,91,1.221449690646398e-7,1.40322580336154e-7,1.5884515095946575e-7,1.668545301789619e-7,1.7162247642989795e-7,1.7238637920973467e-7,1.5971624350848378e-7,1.2904227359225468e-7,1.2224790445922886e-7,1.2511063733979414e-7
