region,n_pix,F090W,F115W,F430M,F444W,F460M,F480M,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F090W_n_eff,F115W_n_eff,F430M_n_eff,F444W_n_eff,F460M_n_eff,F480M_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F090W_err,F115W_err,F430M_err,F444W_err,F460M_err,F480M_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err
11,33,3.13585460187498e-7,5.029549407963954e-7,6.499053204021106e-7,6.356162381183161e-7,6.180032289071285e-7,5.919477474720068e-7,7.028202867538456e-7,8.984574317967051e-7,9.33040199286545e-7,1.0118057417910656e-6,1.1265709352561723e-6,1.0208126616558622e-6,9.06256601814341e-7,6.763682627686744e-7,33,33,33,33,33,33,33,33,33,33,33,33,33,33,5.599870178740735e-8,7.09193161837024e-8,8.061670548975012e-8,7.972554409461977e-8,7.861318139517879e-8,7.693814057228098e-8,8.383437759975593e-8,9.478699445581682e-8,9.659400598828816e-8,1.0058855510400106e-7,1.0614004594196161e-7,1.0103527412027258e-7,9.519751056694398e-8,8.224161129067661e-8
12,40,4.3361063241963467e-7,7.005394518394413e-7,9.248933172268005e-7,8.957459139823205e-7,8.639831995993915e-7,8.401098012971486e-7,9.96344804764557e-7,1.279957766536414e-6,1.3185455560747513e-6,1.4444256949424596e-6,1.6066347980587758e-6,1.4392159986576488e-6,1.2947630500773153e-6,9.490299987824668e-7,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6.584911786953828e-8,8.369823485829561e-8,9.61713739751492e-8,9.46438542105255e-8,9.295069658692135e-8,9.16575038552299e-8,9.981707292665703e-8,1.1313521850142042e-7,1.1482793893799329e-7,1.2018426248650278e-7,1.267530985048798e-7,1.199673288298797e-7,1.1378765530923445e-7,9.741817072715268e-8
13,22,2.8625415206347986e-7,4.6337073207738e-7,6.082036900630545e-7,5.890754366024367e-7,5.646906638308977e-7,5.527748179560522e-7,6.583502054388668e-7,8.503701472497555e-7,8.839621114979236e-7,9.639126754072282e-7,1.0962253141485007e-6,9.63927173620189e-7,8.673021507426306e-7,6.267464017941788e-7,22,22,22,22,22,22,22,22,22,22,22,22,22,22,5.3502724422545043e-8,6.807133993667084e-8,7.798741501441463e-8,7.675124993134879e-8,7.514590233877677e-8,7.434882769459463e-8,8.113878267751291e-8,9.221551644109333e-8,9.401925927691217e-8,9.817905455886344e-8,1.0470077908728763e-7,9.817979291178959e-8,9.312905834070431e-8,7.916731660187674e-8
14,15,2.396628499052465e-7,3.773712492029781e-7,5.186008357985355e-7,4.867855143539994e-7,4.797167110409934e-7,4.607508230180021e-7,5.411551284816739e-7,7.053785228746486e-7,7.355670595179182e-7,8.065758323640408e-7,8.975626802508962e-7,7.96681108478706e-7,7.070448017111044e-7,5.165945720756073e-7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,4.8955372524907466e-8,6.143055015242645e-8,7.201394557990386e-8,6.977001607811191e-8,6.926158466574335e-8,6.787862867044399e-8,7.356324683438557e-8,8.398681580311572e-8,8.576520620379329e-8,8.980956699394784e-8,9.473978468684084e-8,8.92569945986703e-8,8.408595612295221e-8,7.187451370796239e-8
15,7,1.2117266892825426e-7,2.0482993840489136e-7,2.3529666899756842e-7,2.382976794181084e-7,2.2498812674601298e-7,2.2410643338276057e-7,2.9040244816722854e-7,3.696398401121703e-7,3.9432651995121597e-7,4.2333697317461516e-7,4.5903239248594497e-7,3.9064456938597874e-7,3.565789747124596e-7,2.5743072747568003e-7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3.480986482712253e-8,4.5258141632737346e-8,4.850738799374467e-8,4.8815743302556436e-8,4.743291333515294e-8,4.7339881007746584e-8,5.388900149077069e-8,6.079801313465518e-8,6.279542339623295e-8,6.50643506979525e-8,6.775192930728577e-8,6.250156553127118e-8,5.971423404117813e-8,5.0737631741704307e-8
16,6,1.2351426839847947e-7,2.010961580297984e-7,2.487569212990939e-7,2.471486425410903e-7,2.370230436455746e-7,2.2445389748134866e-7,2.8339687348504817e-7,3.5759879113426487e-7,3.9372102261334943e-7,4.018453216716337e-7,4.6444425105050615e-7,4.3764402389916357e-7,3.614338636500682e-7,2.6732776165266676e-7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3.514459679644646e-8,4.484374627858364e-8,4.987553722007352e-8,4.971404656041291e-8,4.868501244177458e-8,4.737656567136844e-8,5.3235032965618443e-8,5.979956447452313e-8,6.274719297413626e-8,6.33912708242731e-8,6.815014681205802e-8,6.615466906418349e-8,6.011936989440825e-8,5.1703748573257886e-8
17,8,1.850200080954955e-7,3.139859938769715e-7,3.8552741051546287e-7,3.784142208104501e-7,3.6493196964969473e-7,3.560893774057749e-7,4.6337408067722505e-7,5.977977371413144e-7,6.178540849923383e-7,6.741593933323746e-7,7.182963180719986e-7,6.198976373747491e-7,5.687505722171364e-7,4.0509527683845733e-7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4.3013952166186205e-8,5.603445314063228e-8,6.209085363525476e-8,6.151538188213174e-8,6.040959937374977e-8,5.967322493428479e-8,6.807158589875992e-8,7.731738078474428e-8,7.860369488722132e-8,8.210720999597871e-8,8.47523638650863e-8,7.873357843860198e-8,7.541555358260897e-8,6.364709552198413e-8
18,3,8.949546573948385e-8,1.6701986786616934e-7,1.6218988416774217e-7,1.6904314038643903e-7,1.5744133947329943e-7,1.5170908449622836e-7,2.3303914066172597e-7,2.799078654772694e-7,3.1548819536655196e-7,3.128828143580645e-7,3.4700923913624025e-7,2.974414824894404e-7,2.6359125133509855e-7,1.8519095417695892e-7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.9915792775636727e-8,4.086806428816629e-8,4.027280523724938e-8,4.1114856242779086e-8,3.967887844600694e-8,3.894985038433759e-8,4.827412771472168e-8,5.290631961091883e-8,5.616833586341614e-8,5.593592891497061e-8,5.89074901125689e-8,5.453819601796894e-8,5.1341138605907305e-8,4.303381858224516e-8
19,4,1.1724093438318526e-7,1.8651915552210617e-7,2.372154045021963e-7,2.2779609201750754e-7,2.2030877112420278e-7,2.01864681237671e-7,2.795039081887227e-7,3.650047397882706e-7,3.74484434163127e-7,4.0997370723066836e-7,4.54973602272418e-7,4.1012781140101603e-7,3.342314720183988e-7,2.496845721995635e-7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.4240463545808675e-8,4.318786351767197e-8,4.8704764089583306e-8,4.772798885533597e-8,4.693706116963468e-8,4.492935357176542e-8,5.286812916954058e-8,6.041562213436774e-8,6.11951333165577e-8,6.402918922106295e-8,6.745173105802535e-8,6.404122199029435e-8,5.781275568751232e-8,4.996844726420499e-8
20,2,8.991495608613168e-8,1.4637818335507308e-7,1.3439025878393244e-7,1.2965396880744945e-7,1.2471079825950863e-7,1.1536219596458949e-7,2.104585552070694e-7,2.5539253233174637e-7,2.8736104963261243e-7,2.8531894681864125e-7,2.857970809811699e-7,2.4592206000706264e-7,2.1415410994467215e-7,1.4146239757172787e-7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.998582266440787e-8,3.82594018974517e-8,3.665927696831082e-8,3.600749488751605e-8,3.531441607325663e-8,3.396501081474721e-8,4.587576214157857e-8,5.0536376238482554e-8,5.360606771929951e-8,5.3415255013773104e-8,5.345999260953652e-8,4.95905293384798e-8,4.627678791194049e-8,3.7611487284037025e-8
21,1,5.0707187647669756e-8,1.0131660456899999e-7,6.878512859350821e-8,6.846545218912848e-8,6.248728752132161e-8,5.964941501525118e-8,1.3925487513837883e-7,1.54396247840153e-7,1.7472032542803948e-7,1.687942504698932e-7,1.5261974333718663e-7,1.2668030737858367e-7,1.1198133467970362e-7,7.497555255418333e-8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.2518256515030144e-8,3.1830269331094264e-8,2.6226919108715042e-8,2.616590380421217e-8,2.4997457374965484e-8,2.4423229724025274e-8,3.731686952818776e-8,3.9293287956106824e-8,4.1799560455588465e-8,4.1084577455523765e-8,3.906657693440605e-8,3.559217714310037e-8,3.346361227956474e-8,2.738166403894828e-8
22,2,6.423867461887232e-8,1.173116492752025e-7,1.2511213299203624e-7,1.214447879456891e-7,1.1445367333606038e-7,1.1182337758519201e-7,1.7906451217594346e-7,2.3113627423816174e-7,2.3306129445729872e-7,2.6526123034904396e-7,2.553519534087791e-7,1.9758383744727482e-7,1.919989489907544e-7,1.316375636670711e-7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.5345349596892982e-8,3.425078820628841e-8,3.537119350432442e-8,3.4848929387527695e-8,3.383100254737663e-8,3.344000262936473e-8,4.231601495603567e-8,4.8076634058361626e-8,4.827642224288153e-8,5.150351738949914e-8,5.053236125581103e-8,4.445040353554451e-8,4.381768467077584e-8,3.628189130503964e-8
23,1,5.030767915742542e-8,7.99176645407206e-8,7.119798659135971e-8,6.661862849805955e-8,6.328104495333943e-8,6.049807547991215e-8,1.237195873145737e-7,1.5466286654938528e-7,1.574716186344207e-7,1.747245788021199e-7,1.5098881719108682e-7,1.1996021269336537e-7,1.1008566855179776e-7,7.349593161716875e-8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.2429373410201504e-8,2.826971251016193e-8,2.6682950847190742e-8,2.581058474697145e-8,2.5155723991437703e-8,2.4596356535046435e-8,3.5173795262179725e-8,3.9327200071882217e-8,3.968269378890762e-8,4.1800069234646e-8,3.885727952277241e-8,3.463527287222743e-8,3.317916041008238e-8,2.7110133090261424e-8
24,5,9.9316232208159e-8,1.5535669565973092e-7,2.374319887141526e-7,2.1138158321620312e-7,2.109284925492281e-7,2.033588600175934e-7,2.3352557660428918e-7,3.111360836181259e-7,3.1228039266136246e-7,3.561639356777408e-7,3.866356849810286e-7,3.2463073254627974e-7,3.0226195336264524e-7,2.2519292354747091e-7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.1514477975711264e-8,3.941531373206751e-8,4.872699341372835e-8,4.59762529156306e-8,4.592695205968148e-8,4.5095327919596436e-8,4.832448412598827e-8,5.577957364646362e-8,5.588205370790899e-8,5.967947182052978e-8,6.218003578167422e-8,5.6976375152011885e-8,5.497835513751255e-8,4.745449647267063e-8
25,9,9.285799204405808e-8,1.2382651447019982e-7,8.891461133803166e-8,8.698121070728778e-8,8.524570047925359e-8,8.118589043617416e-8,1.4034761427995856e-7,1.6224659203993102e-7,1.6477490782208992e-7,1.7770740151066374e-7,1.6892620086331758e-7,1.4272888302671537e-7,1.2683089256211342e-7,9.20488023742419e-8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3.0472609347421835e-8,3.5188991811388946e-8,2.981855317382647e-8,2.9492577152105206e-8,2.9196866352273767e-8,2.8493137846887654e-8,3.746299698101562e-8,4.027984508906793e-8,4.059247563552756e-8,4.2155355710830354e-8,4.11006327035628e-8,3.777947631012312e-8,3.561332511323724e-8,3.033954554277995e-8
