region,n_pix,F090W,F115W,F430M,F444W,F460M,F480M,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F090W_n_eff,F115W_n_eff,F430M_n_eff,F444W_n_eff,F460M_n_eff,F480M_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F090W_err,F115W_err,F430M_err,F444W_err,F460M_err,F480M_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err
1,811,1.0685261045872008e-6,1.4665748962643637e-6,1.2536766901390789e-6,1.2071069826135697e-6,1.1793633468207778e-6,1.0889303116947248e-6,1.724109779585917e-6,1.8940174598711693e-6,2.0189703164867373e-6,2.0654688987801034e-6,2.1810976397874605e-6,1.8907839238199721e-6,1.6870545758596933e-6,1.2695505703856288e-6,811,811,811,811,811,811,811,811,811,811,811,811,811,811,1.0336953635318294e-7,1.2110222525884336e-7,1.119677047250268e-7,1.0986842051352016e-7,1.0859849662038503e-7,1.0435182373560727e-7,1.3130536088012237e-7,1.3762330688772048e-7,1.420904752784907e-7,1.4371739278111413e-7,1.476853966980981e-7,1.3750577892655902e-7,1.2988666505302588e-7,1.126743347167237e-7
2,1129,2.469239336981353e-6,3.4601725804680365e-6,3.059051986539947e-6,2.9506606161154263e-6,2.895045389237911e-6,2.734504198952393e-6,4.078820157183487e-6,4.5801203810988e-6,4.829540051647988e-6,5.024929687050171e-6,5.259559598697208e-6,4.5440294457815006e-6,4.083144963371066e-6,3.0945941025687928e-6,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1.5713813467714807e-7,1.860153913112578e-7,1.7490145758511983e-7,1.7177487057528018e-7,1.7014832909076453e-7,1.6536336350450764e-7,2.0196089119390137e-7,2.1401215809151592e-7,2.1976214532189087e-7,2.241635493796922e-7,2.2933729741795618e-7,2.131672921857737e-7,2.0206793321482423e-7,1.759145844598677e-7
3,286,9.249363847186008e-7,1.2996897336957661e-6,1.2698241663005249e-6,1.240401834243139e-6,1.2244125834048348e-6,1.1548989969457194e-6,1.5728769072989728e-6,1.8680816510419944e-6,1.9036809808119835e-6,2.0457034009752227e-6,2.1722515058495784e-6,1.9001501694253933e-6,1.700507807433021e-6,1.2900668305119856e-6,286,286,286,286,286,286,286,286,286,286,286,286,286,286,9.617361305049327e-8,1.1400393562047611e-7,1.1268647506690964e-7,1.1137332868524398e-7,1.1065317814707515e-7,1.0746622711092633e-7,1.2541438941760121e-7,1.366777835290723e-7,1.3797394612070728e-7,1.4302808818463675e-7,1.4738559990207926e-7,1.3784593463085492e-7,1.304035201761448e-7,1.1358110892714446e-7
4,195,9.914396395752324e-7,1.3387126373519024e-6,1.079512760325155e-6,1.0372409692270616e-6,1.0183625876764013e-6,9.641517084754235e-7,1.5305015128175441e-6,1.7740662699215609e-6,1.7854138719405146e-6,1.9248351352702385e-6,1.9136052971706134e-6,1.6328713828014355e-6,1.4653765618560206e-6,1.086195736808198e-6,195,195,195,195,195,195,195,195,195,195,195,195,195,195,9.957106203989352e-8,1.1570275006895483e-7,1.0389960347976093e-7,1.018450278230146e-7,1.0091395283489798e-7,9.819122712724511e-8,1.237134395616557e-7,1.331940790696629e-7,1.3361938002926502e-7,1.387384278154484e-7,1.3833312319074607e-7,1.2778385589742686e-7,1.2105273899652253e-7,1.0422071467842647e-7
5,348,1.4957106793102483e-6,2.160891801444963e-6,2.2035397133234206e-6,2.140889780222398e-6,2.106806325014707e-6,2.018485279378096e-6,2.6936124968765376e-6,3.2290397608524575e-6,3.3365767353998186e-6,3.548305039425797e-6,3.8001898390089067e-6,3.3423971682838177e-6,2.980081763272067e-6,2.2561547145200515e-6,348,348,348,348,348,348,348,348,348,348,348,348,348,348,1.222992509915841e-7,1.4699972113731926e-7,1.4844324549548965e-7,1.4631779728462285e-7,1.4514841800773122e-7,1.4207340635664706e-7,1.6412228663032142e-7,1.7969529100264308e-7,1.826629884623543e-7,1.8836945186058694e-7,1.9494075610320452e-7,1.8282224066791813e-7,1.7262913320966618e-7,1.5020501704404057e-7
6,441,2.1815395561024894e-6,3.2921471840353554e-6,3.59105923475719e-6,3.4956669551249356e-6,3.4237357616447568e-6,3.298372007621236e-6,4.302518935230136e-6,5.2665000254221365e-6,5.469689303665139e-6,5.832942878641011e-6,6.306640591641073e-6,5.575266263499929e-6,4.982970933932348e-6,3.673852043766181e-6,441,441,441,441,441,441,441,441,441,441,441,441,441,441,1.4770035734900879e-7,1.8144275086195524e-7,1.895009032895936e-7,1.869670279788641e-7,1.8503339594907608e-7,1.816142067025935e-7,2.0742514156268846e-7,2.2948856236035246e-7,2.3387366896820898e-7,2.415148624544877e-7,2.511302568716297e-7,2.3612001743816488e-7,2.2322569148582219e-7,1.9167295176331428e-7
7,187,1.1788711649214993e-6,1.777038149245357e-6,1.9766673684226125e-6,1.927568820129271e-6,1.8870067936277472e-6,1.8245784980118815e-6,2.342072983990714e-6,2.8992459190091017e-6,3.0002021062519346e-6,3.228925946976469e-6,3.4832237315401522e-6,3.066357375407602e-6,2.7584353089484252e-6,2.0243076974237296e-6,187,187,187,187,187,187,187,187,187,187,187,187,187,187,1.0857583363352542e-7,1.3330559437793138e-7,1.4059400301658007e-7,1.388369122434402e-7,1.3736836584992002e-7,1.3507695947169827e-7,1.530383280093818e-7,1.702717216395342e-7,1.7321091496357654e-7,1.796921241172375e-7,1.866339661353247e-7,1.751101760437583e-7,1.660853789154369e-7,1.4227816759516304e-7
8,299,2.0985305517948573e-6,3.2518031811798305e-6,3.8127998083721993e-6,3.726308842890179e-6,3.6377137559570883e-6,3.5231968283576083e-6,4.387694325456699e-6,5.53248152375694e-6,5.710019710070813e-6,6.192912950523072e-6,6.741426824317294e-6,5.9752419137872755e-6,5.331371194117385e-6,3.927775518886094e-6,299,299,299,299,299,299,299,299,299,299,299,299,299,299,1.4486305780960366e-7,1.803275680859649e-7,1.9526391905245063e-7,1.930364950699784e-7,1.9072791499822697e-7,1.877018068202224e-7,2.094682392501713e-7,2.352122769703346e-7,2.389564753270104e-7,2.488556398903403e-7,2.5964257787037346e-7,2.444430795458786e-7,2.3089762220770888e-7,1.9818616296013438e-7
9,133,1.1684671282782367e-6,1.8151645743870395e-6,2.1711627662241502e-6,2.1240402984748147e-6,2.075744979391066e-6,2.0084557127991457e-6,2.500625923875716e-6,3.1641588139555473e-6,3.2735956955010133e-6,3.5501882124005648e-6,3.84812934399683e-6,3.392336654685307e-6,3.0458813941599833e-6,2.2405979073168563e-6,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1.080956580200258e-7,1.3472804364300104e-7,1.4734866019832518e-7,1.457408761629631e-7,1.440744592004796e-7,1.4171999551224753e-7,1.5813367522054612e-07,1.7788082566582457e-7,1.809308070921316e-7,1.8841943138648318e-7,1.9616649418279437e-7,1.841829702954458e-7,1.745245367895295e-7,1.4968626881971696e-7
10,24,2.353190648425997e-7,3.5114325402508727e-7,3.3489767073889895e-7,3.266993474905045e-7,3.180360197977817e-7,3.056669354389401e-7,4.3563547370979147e-7,5.218789207756793e-7,5.494289052287089e-7,5.817259311485953e-7,6.020277881495032e-7,5.272421002287016e-7,4.7141919373564314e-7,3.437125205945054e-7,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4.850969643716601e-8,5.925734165697e-8,5.787034393702002e-8,5.715761956996674e-8,5.6394682355500655e-8,5.528715361084708e-8,6.600268734754605e-8,7.224118775156451e-8,7.412347166914869e-8,7.627095981752133e-8,7.75904496796805e-8,7.261143850859184e-8,6.865997332767056e-8,5.862700065622541e-8
