"method","n_regions","valid_pixels","mean_pixels_per_region","median_pixels_per_region","mean_cluster_snr","mean_avg_corr","median_avg_corr","mean_pixel_intravariance","median_pixel_intravariance","target_sn","voronoi_mask_mode"
"sagui",8,2086,260.75,155,27.5687255159831,0.996735383693228,0.997768764704895,0.128012415928042,0.0338772336820816,NA,"shared"
"voronoi",9,2086,231.777777777778,207,21.3036484911296,0.992619085100095,0.996119228102509,0.144318607922166,0.0368457249592108,24.1281801446155,"shared"
