"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F335M","F356W","F410M","F444W","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F335M_err","F356W_err","F410M_err","F444W_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F335M_n_eff","F356W_n_eff","F410M_n_eff","F444W_n_eff"
1,204,1.23081888633392e-07,1.65538814826813e-07,1.95255039704483e-07,1.89171631976344e-07,1.67065922079356e-07,1.74479588044913e-07,1.76649992293872e-07,1.67561352706194e-07,1.64328807738023e-07,1.62898826223747e-07,7.59927170456883e-08,8.61745586789464e-09,1.15900352767794e-08,1.36705871702143e-08,1.32446634359776e-08,1.16969541703748e-08,1.22160146104352e-08,1.23679733026406e-08,1.17316412523638e-08,1.1505317835381e-08,1.14051991036326e-08,5.32055441051266e-09,204,204,204,204,204,204,204,204,204,204,204
2,180,6.74982060669772e-07,7.6675144952905e-07,8.69228636285788e-07,8.49773978119135e-07,8.42476522316369e-07,7.29574938044413e-07,5.44464113262246e-07,5.02391370010022e-07,4.36484187166958e-07,4.72643532603603e-07,6.07706597704672e-07,5.03101923750166e-08,5.71502787664485e-08,6.47884772908154e-08,6.33384126861602e-08,6.27944924449007e-08,5.43793052049168e-08,4.05819589521176e-08,3.7446041821722e-08,3.25336104536353e-08,3.52287689342432e-08,4.52957754280922e-08,180,180,180,180,180,180,180,180,180,180,180
3,154,8.20017877891634e-07,9.30607601334956e-07,9.87860576137843e-07,1.02475715726606e-06,1.00732546768677e-06,8.63781519228774e-07,6.08750253913352e-07,5.79234650282444e-07,5.03005094375782e-07,5.35296795515223e-07,7.27500069822029e-07,6.60789236916439e-08,7.49904975652283e-08,7.96040737507216e-08,8.25772849874361e-08,8.11725994109605e-08,6.96054984095277e-08,4.9054493395966e-08,4.66760582756804e-08,4.05333056069759e-08,4.31354450395365e-08,5.86236262592658e-08,154,154,154,154,154,154,154,154,154,154,154
4,256,1.77064544611033e-06,2.01741772100437e-06,2.12199656592671e-06,2.21398849487226e-06,2.18769315676375e-06,1.8771624612919e-06,1.33213370651564e-06,1.28036127001489e-06,1.12387600929279e-06,1.23697090716007e-06,1.58442163437448e-06,1.10665340381896e-07,1.26088607562773e-07,1.32624785370419e-07,1.38374280929516e-07,1.36730822297734e-07,1.17322653830744e-07,8.32583566572273e-08,8.00225793759303e-08,7.02422505807993e-08,7.73106816975042e-08,9.90263521484048e-08,256,256,256,256,256,256,256,256,256,256,256
5,301,2.5579048487758e-06,2.85972809854313e-06,2.95664846544742e-06,3.11134069116738e-06,3.0338361492827e-06,2.601091526769e-06,1.81737729282502e-06,1.74629881740601e-06,1.54189727307247e-06,1.65269953639347e-06,2.27224186511675e-06,1.47435184423357e-07,1.64831987323981e-07,1.70418384400382e-07,1.79334696060215e-07,1.74867408533126e-07,1.49924423160133e-07,1.04751885693761e-07,1.00654990480106e-07,8.88734813283263e-08,9.52600176121427e-08,1.30969843775969e-07,301,301,301,301,301,301,301,301,301,301,301
6,87,8.00160743614309e-07,9.22648689020388e-07,1.03300751611851e-06,1.01341279106345e-06,1.03102016912305e-06,9.30081452720441e-07,6.63970097892155e-07,6.30771102007632e-07,5.6645031332436e-07,6.65403015901793e-07,7.60573306997145e-07,8.57862363114032e-08,9.89183224750416e-08,1.10750030661231e-07,1.08649255626408e-07,1.1053696469874e-07,9.97151983881731e-08,7.11850664707657e-08,6.76257605075831e-08,6.07298481277843e-08,7.13386914067185e-08,8.15420176094674e-08,87,87,87,87,87,87,87,87,87,87,87
7,157,1.85713137176515e-06,2.12892004889219e-06,2.21030610231082e-06,2.31926930082252e-06,2.27379231465125e-06,1.97556752739439e-06,1.36472650824786e-06,1.32575191258174e-06,1.17633370458262e-06,1.32334100483374e-06,1.6916562762726e-06,1.48215219053913e-07,1.69906316910102e-07,1.76401631091301e-07,1.85097841053485e-07,1.81468382432644e-07,1.57667453299359e-07,1.08917032711791e-07,1.05806521348935e-07,9.38816501384596e-08,1.05614109963601e-07,1.3500886871205e-07,157,157,157,157,157,157,157,157,157,157,157
8,77,9.60089276152463e-07,1.05385761398454e-06,1.09300761673287e-06,1.13525557507391e-06,1.09953546049219e-06,9.3025027932575e-07,6.52999663962259e-07,6.18794080032014e-07,5.46091486229814e-07,5.8336777748044e-07,8.86230882120318e-07,1.09412327363051e-07,1.20098221196057e-07,1.24559778077653e-07,1.29374379764441e-07,1.25303694915504e-07,1.06011858083702e-07,7.4416218133089e-08,7.05181300702596e-08,6.22329005704501e-08,6.64809282096487e-08,1.00995382202765e-07,77,77,77,77,77,77,77,77,77,77,77
9,86,1.11288862152745e-06,1.27961562245599e-06,1.36277342615988e-06,1.40867887914005e-06,1.41371211707967e-06,1.21661592959945e-06,8.55739976165556e-07,8.21805424089701e-07,7.26453934904403e-07,7.74290074706452e-07,9.42721203116067e-07,1.20005866325856e-07,1.37984501203873e-07,1.46951637790771e-07,1.51901750090783e-07,1.52444498096005e-07,1.31191069612188e-07,9.22768147709762e-08,8.86175579132202e-08,7.83355424052919e-08,8.34938460194942e-08,1.01656241689687e-07,86,86,86,86,86,86,86,86,86,86,86
10,53,8.52053112392616e-07,9.90899428724278e-07,1.045709679737e-06,1.1059406316316e-06,1.09280791104071e-06,9.33645055295706e-07,6.58096638917645e-07,6.31793812513699e-07,5.58855937127481e-07,6.02015553711301e-07,7.18874186580762e-07,1.17038496032486e-07,1.36110504346001e-07,1.43639271335278e-07,1.51912628854686e-07,1.50108710948141e-07,1.28246011323323e-07,9.03965254544645e-08,8.6783554386174e-08,7.6764766689904e-08,8.26931959636666e-08,9.87449636768886e-08,53,53,53,53,53,53,53,53,53,53,53
