"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F335M","F356W","F410M","F430M","F444W","F460M","F480M","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F335M_err","F356W_err","F410M_err","F430M_err","F444W_err","F460M_err","F480M_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F335M_n_eff","F356W_n_eff","F410M_n_eff","F430M_n_eff","F444W_n_eff","F460M_n_eff","F480M_n_eff"
1,595,3.75787418837676e-07,4.44819799549683e-07,4.952207023008e-07,5.22102828621944e-07,5.55661934717154e-07,4.97842465987301e-07,4.30624172813564e-07,3.87530202255536e-07,2.92562000170016e-07,3.36756593222561e-07,2.775194416043e-07,3.21209408177909e-07,2.80123390845343e-07,2.57971752570407e-07,1.54057821818005e-08,1.8235833874403e-08,2.03020694390513e-08,2.1404129172632e-08,2.27799183896256e-08,2.04095512712301e-08,1.76538699169421e-08,1.58871893670201e-08,1.1993872661389e-08,1.38056743344911e-08,1.13771878840295e-08,1.31683018884446e-08,1.14839393951473e-08,1.05758107641004e-08,595,595,595,595,595,595,595,595,595,595,595,595,595,595
2,1408,2.88639078692583e-06,3.37991654540862e-06,3.78903895097238e-06,3.96405813507326e-06,4.14372554398124e-06,4.28682048899894e-06,3.73044296478997e-06,3.31439343018729e-06,2.5047051226239e-06,2.48617260038716e-06,2.37378566070502e-06,2.37077563023765e-06,2.21331103990067e-06,2.11061793851762e-06,7.69225729318527e-08,9.00750785879124e-08,1.00978227330828e-07,1.05642504259113e-07,1.1043065679473e-07,1.1424414989281e-07,9.9416639052121e-08,8.83288817000325e-08,6.67506158003728e-08,6.62567224232792e-08,6.32616004171233e-08,6.31813828356364e-08,5.89849374030754e-08,5.62481570556197e-08,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408
3,813,2.69254216573119e-06,3.19321499841821e-06,3.62105226228739e-06,3.76907286481482e-06,3.96667948501203e-06,4.12475439609497e-06,3.55940613867076e-06,3.21062805414902e-06,2.4434737782303e-06,2.4477509312287e-06,2.33686850682448e-06,2.32381896556859e-06,2.2028208437692e-06,1.9339273430826e-06,9.44315765501255e-08,1.11990939418492e-07,1.26995847363207e-07,1.32187156541746e-07,1.39117523285658e-07,1.44661452460312e-07,1.24833823415945e-07,1.12601641945696e-07,8.56963668290479e-08,8.58463731338425e-08,8.195755672775e-08,8.14998893345581e-08,7.72562999317464e-08,6.78257931351994e-08,813,813,813,813,813,813,813,813,813,813,813,813,813,813
4,561,3.05104742784653e-06,3.60847897215431e-06,4.23755099719109e-06,4.31189914656573e-06,4.63714000355717e-06,4.78888318892579e-06,4.16419690367507e-06,3.72224814800022e-06,2.80195503083991e-06,2.78648436216797e-06,2.67647914289041e-06,2.66458865372365e-06,2.51522574870301e-06,2.22102417482431e-06,1.28815323369171e-07,1.52350101616411e-07,1.78909543330763e-07,1.82048524657695e-07,1.95780204402768e-07,2.02186806710528e-07,1.75812531075077e-07,1.57153439985484e-07,1.18298634124567e-07,1.17645461981281e-07,1.13001037983081e-07,1.1249902113698e-07,1.0619291434428e-07,9.37717141593809e-08,561,561,561,561,561,561,561,561,561,561,561,561,561,561
5,323,2.15141136543661e-06,2.66535516620685e-06,3.18051911041681e-06,3.29622981504896e-06,3.50353083984686e-06,3.70573534785207e-06,3.24697170255749e-06,2.90255350052078e-06,2.18129618882314e-06,2.14322549996956e-06,2.07341531573582e-06,2.03481289206676e-06,1.95022845951918e-06,1.490252814966e-06,1.19707730549631e-07,1.48304328582277e-07,1.7696881721198e-07,1.8340713304239e-07,1.94941670610538e-07,2.06192630398647e-07,1.80666338347222e-07,1.61502396951276e-07,1.21370566603652e-07,1.19252256811141e-07,1.15367914254376e-07,1.13220017945295e-07,1.08513614222246e-07,8.2919884728124e-08,323,323,323,323,323,323,323,323,323,323,323,323,323,323
6,368,2.67583219722941e-06,3.47833125384099e-06,4.22324416355202e-06,4.41139038831798e-06,4.66107749537346e-06,5.03993961096854e-06,4.4495600658724e-06,3.97039466560471e-06,2.92065243602473e-06,2.84464305877975e-06,2.77583120882878e-06,2.72901777446975e-06,2.61026662112174e-06,1.79810480959888e-06,1.39487395680086e-07,1.81320550822766e-07,2.20151820545753e-07,2.29959620499284e-07,2.42975460705604e-07,2.62725013716037e-07,2.31949352486786e-07,2.06971129318475e-07,1.52249532840516e-07,1.48287270150746e-07,1.44700204507569e-07,1.42259885548725e-07,1.36069553758985e-07,9.37326926966795e-08,368,368,368,368,368,368,368,368,368,368,368,368,368,368
7,200,1.7471807910334e-06,2.2997362300646e-06,2.84097894160801e-06,2.94838155834507e-06,3.16915098934095e-06,3.40944473862729e-06,3.00219909787731e-06,2.69381748438588e-06,1.98153015435298e-06,1.94170143127652e-06,1.88028451920177e-06,1.85154007375589e-06,1.78176861703224e-06,1.15172428353711e-06,1.23544338529859e-07,1.62615908321906e-07,2.0088754748192e-07,2.08482059343116e-07,2.24092815516704e-07,2.41084149476415e-07,2.12287534058118e-07,1.90481661048814e-07,1.40115340926862e-07,1.37299024909525e-07,1.32956193408766e-07,1.30923654179143e-07,1.25990067160887e-07,8.14392050946306e-08,200,200,200,200,200,200,200,200,200,200,200,200,200,200
8,252,2.75243507385446e-06,3.67419563232209e-06,4.5838135373373e-06,4.75039495794277e-06,5.10035200265276e-06,5.52385210513559e-06,4.89274600981649e-06,4.36454009055266e-06,3.17982777357302e-06,3.08001332998578e-06,3.01818542182104e-06,2.93744331597871e-06,2.83065780460937e-06,1.81141578539372e-06,1.73387112030253e-07,2.31452569317237e-07,2.88753111335376e-07,2.99246754477422e-07,3.21291976140701e-07,3.47969974983081e-07,3.08214027861381e-07,2.7494018254223e-07,2.00310321449772e-07,1.94022602521578e-07,1.90127810400454e-07,1.85041535819728e-07,1.78314680898106e-07,1.14108468787822e-07,252,252,252,252,252,252,252,252,252,252,252,252,252,252
9,135,1.46022132201636e-06,1.92827476857874e-06,2.42204641996887e-06,2.51480971693134e-06,2.72540003984946e-06,2.92959672447909e-06,2.60304166432625e-06,2.32095424887759e-06,1.74439320443301e-06,1.71491280315626e-06,1.64678890166991e-06,1.62834244964573e-06,1.54237136303141e-06,9.54124740805237e-07,1.25675841376585e-07,1.65959468124831e-07,2.0845656551735e-07,2.16440358945681e-07,2.34565088135333e-07,2.52139540555807e-07,2.24034155898213e-07,1.9975593673805e-07,1.50133462889032e-07,1.4759619392938e-07,1.41733022019705e-07,1.401454042089e-07,1.32746191170842e-07,8.21179829187367e-08,135,135,135,135,135,135,135,135,135,135,135,135,135,135
10,139,1.83444805800343e-06,2.52736017197791e-06,3.18298621654895e-06,3.30488118440576e-06,3.57352269231878e-06,3.87364299059325e-06,3.41976635933011e-06,3.0573067081043e-06,2.24785917520369e-06,2.18221394301431e-06,2.13124394655375e-06,2.08597198486831e-06,2.00615749955023e-06,1.18085434765443e-06,1.55595853487143e-07,2.14367891918573e-07,2.69977367220075e-07,2.8031636345206e-07,3.03102238758496e-07,3.28558110215361e-07,2.90060796807578e-07,2.59317370445038e-07,1.90660926788732e-07,1.85092970865801e-07,1.80769752191435e-07,1.76929834518786e-07,1.70160058231295e-07,1.00158758524496e-07,139,139,139,139,139,139,139,139,139,139,139,139,139,139
11,52,7.82574720685755e-07,1.09574997425106e-06,1.39907080113294e-06,1.43807331680662e-06,1.57449979543432e-06,1.71832805872384e-06,1.5147636604313e-06,1.37494266510167e-06,1.01951725363825e-06,1.00030687332232e-06,9.68898715973166e-07,9.46732207538778e-07,9.0599438786972e-07,4.94280483274918e-07,1.08523587781323e-07,1.51953181432714e-07,1.94016211980358e-07,1.99424887754725e-07,2.18343836371e-07,2.38289227838358e-07,2.10059924919022e-07,1.90670241532584e-07,1.41381605162036e-07,1.38717604729334e-07,1.34362076968172e-07,1.31288135323626e-07,1.25638816182572e-07,6.85443702657246e-08,52,52,52,52,52,52,52,52,52,52,52,52,52,52
