"region","n_pix","F090W","F115W","F150W","F200W","F277W","F356W","F410M","F444W","F090W_err","F115W_err","F150W_err","F200W_err","F277W_err","F356W_err","F410M_err","F444W_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F200W_n_eff","F277W_n_eff","F356W_n_eff","F410M_n_eff","F444W_n_eff"
1,198,1.04522005383454e-07,1.05705674616048e-07,1.16142535239245e-07,1.32540025074143e-07,1.05444970425503e-07,8.42796481003523e-08,7.53324525308306e-08,9.01157200552517e-08,7.42805547422582e-09,7.51217518366482e-09,8.25389057078795e-09,9.41920943053263e-09,7.49364774360443e-09,5.98949378306462e-09,5.35364428146603e-09,6.40424535689377e-09,198,198,198,198,198,198,198,198
2,173,2.31836598306095e-07,2.35623310735046e-07,2.62112163416482e-07,2.75217573938098e-07,2.21211191785058e-07,1.68065274207029e-07,1.58906978478003e-07,1.66134196991672e-07,1.76262101727184e-08,1.79141085874813e-08,1.99280187639096e-08,2.0924404675114e-08,1.68183754741473e-08,1.27777661833937e-08,1.20814738528334e-08,1.26309491014216e-08,173,173,173,173,173,173,173,173
3,367,5.91198079262732e-07,6.63584828835144e-07,7.63218822647309e-07,8.07303566183942e-07,6.48169776721285e-07,4.85424569546507e-07,4.67309806194534e-07,4.75816777741175e-07,3.08602885357883e-08,3.46388461061348e-08,3.98396982483656e-08,4.21409031292464e-08,3.38341869356903e-08,2.53389562720631e-08,2.4393373322104e-08,2.48374336222025e-08,367,367,367,367,367,367,367,367
4,413,9.52997997837768e-07,1.09082384388181e-06,1.24742942349903e-06,1.3132777035159e-06,1.05257930471977e-06,7.73018765144092e-07,7.43850902758759e-07,7.3499654602934e-07,4.68939658034155e-08,5.3675932319484e-08,6.13819891127368e-08,6.46221711470439e-08,5.1794041575011e-08,3.80377667322618e-08,3.6602510053486e-08,3.61668156421413e-08,413,413,413,413,413,413,413,413
5,195,5.29657254707712e-07,6.18188698803312e-07,7.07684893341502e-07,7.44762634931476e-07,5.89255611448928e-07,4.34236048460614e-07,4.10771272779646e-07,3.94482238099307e-07,3.79295438239085e-08,4.42694122176135e-08,5.06783678254859e-08,5.3333560050323e-08,4.21974707969778e-08,3.10962893146754e-08,2.94159418265614e-08,2.82494598247279e-08,195,195,195,195,195,195,195,195
6,369,1.14235136046495e-06,1.36283618313823e-06,1.59088245146546e-06,1.69180174410374e-06,1.34676211416756e-06,9.96547853947734e-07,9.2957275241779e-07,8.62429183619111e-07,5.94684364541263e-08,7.09464178528687e-08,8.28180323893094e-08,8.80716809154621e-08,7.01096352462e-08,5.18782090843449e-08,4.8391624564744e-08,4.48962699894387e-08,369,369,369,369,369,369,369,369
7,213,7.70578456162555e-07,9.37180301175285e-07,1.10164103075974e-06,1.16004875660412e-06,9.28744285109974e-07,6.76358664331647e-07,6.39611518532575e-07,5.77928536589044e-07,5.27991658198912e-08,6.42145361438071e-08,7.54831996559336e-08,7.94852310874609e-08,6.36365098474197e-08,4.63433320594074e-08,4.38254591174164e-08,3.95990108357961e-08,213,213,213,213,213,213,213,213
8,185,7.44012508395178e-07,9.06065776491479e-07,1.08544806123034e-06,1.16083051861143e-06,9.35826502447562e-07,6.77945545319938e-07,6.4456973806313e-07,5.47405998973475e-07,5.47008875192826e-08,6.66152807455315e-08,7.9803728613992e-08,8.5345957105586e-08,6.88033328342354e-08,4.98435477902579e-08,4.73897096383188e-08,4.02460894667167e-08,185,185,185,185,185,185,185,185
9,172,9.06457364034192e-07,1.10875289587704e-06,1.34585386528709e-06,1.44073677360413e-06,1.15751226424816e-06,8.36385351714033e-07,7.89420021769427e-07,6.38769745341266e-07,6.91167260413379e-08,8.4541615736692e-08,1.02620395166446e-07,1.09855149100119e-07,8.82594827201499e-08,6.37737851917614e-08,6.01927123558856e-08,4.87057364681325e-08,172,172,172,172,172,172,172,172
10,129,6.06014856256247e-07,7.37676663190688e-07,8.93801710906754e-07,9.52061425455124e-07,7.67641204004813e-07,5.52673585714762e-07,5.26987594368908e-07,4.57059339036358e-07,5.33566329437605e-08,6.49488086681503e-08,7.86948526443245e-08,8.3824334491963e-08,6.7587039379893e-08,4.86601959444795e-08,4.63986705084465e-08,4.02418309299152e-08,129,129,129,129,129,129,129,129
11,96,5.36182022996998e-07,6.77913006701691e-07,8.26652195762712e-07,9.00563888551675e-07,7.21974312665655e-07,5.25139560697041e-07,4.89296358229386e-07,3.83448151640766e-07,5.4723848566495e-08,6.91892065172957e-08,8.43698364320815e-08,9.19134169886775e-08,7.3686194726144e-08,5.35968319773777e-08,4.99386004443352e-08,3.91355130972177e-08,96,96,96,96,96,96,96,96
12,57,3.37240536290715e-07,4.26299375151127e-07,5.27347931266336e-07,5.83170862201732e-07,4.69211321477205e-07,3.36796067958789e-07,3.19169332089927e-07,2.37560490371526e-07,4.4668600243102e-08,5.64647316184277e-08,6.98489398393574e-08,7.72428676683713e-08,6.21485577597806e-08,4.46097289743693e-08,4.22750107735946e-08,3.14656556257325e-08,57,57,57,57,57,57,57,57
13,70,4.72862278222295e-07,6.11331058578602e-07,7.53249276566401e-07,8.13981887096316e-07,6.5937353133721e-07,4.80073894257014e-07,4.48237308857001e-07,3.21461377664841e-07,5.65178523206327e-08,7.30680370987825e-08,9.00305085312597e-08,9.72894438937515e-08,7.88102108892081e-08,5.73798053010557e-08,5.35746055316944e-08,3.84219835381067e-08,70,70,70,70,70,70,70,70
14,9,8.08423477394657e-08,1.05371004788981e-07,1.2839607715249e-07,1.36648920772921e-07,1.07476184367537e-07,7.80625945308754e-08,7.37627339358664e-08,4.99753367165516e-08,2.69474492464886e-08,3.51236682629936e-08,4.27986923841632e-08,4.55496402576403e-08,3.5825394789179e-08,2.60208648436251e-08,2.45875779786221e-08,1.66584455721839e-08,9,9,9,9,9,9,9,9
15,25,1.86135480105284e-07,2.42560271617375e-07,3.07005832939463e-07,3.39934755561146e-07,2.72025470135558e-07,1.96716108321196e-07,1.8377645551908e-07,1.29769265503987e-07,3.72270960210569e-08,4.8512054323475e-08,6.14011665878927e-08,6.79869511122292e-08,5.44050940271117e-08,3.93432216642392e-08,3.6755291103816e-08,2.59538531007974e-08,25,25,25,25,25,25,25,25
16,6,7.40804876310157e-08,9.67052012582418e-08,1.14618312110349e-07,1.15699962371218e-07,8.99836492485653e-08,6.29446119042401e-08,6.20341783723662e-08,4.49703185231698e-08,3.02432324320915e-08,3.9479733092641e-08,4.67927299749033e-08,4.7234311844783e-08,3.67356709754266e-08,2.56970302038173e-08,2.53253472708489e-08,1.83590556586994e-08,6,6,6,6,6,6,6,6
17,8,8.6755894719662e-08,1.16322397886839e-07,1.47766160366499e-07,1.54071501492631e-07,1.20785088538079e-07,8.54988318679288e-08,8.01526689528332e-08,5.939973831245e-08,3.06728407320896e-08,4.11261781748316e-08,5.22432270125251e-08,5.44725017465162e-08,4.27039775857467e-08,3.02284018986705e-08,2.83382478733744e-08,2.10009788807199e-08,8,8,8,8,8,8,8,8
18,17,1.37981961822437e-07,1.80935470766443e-07,2.32284235066981e-07,2.74277253160734e-07,2.18040502078603e-07,1.60088369256699e-07,1.46557331686192e-07,9.60695267510169e-08,3.34655413543442e-08,4.38832974935825e-08,5.63372021380567e-08,6.65220050285873e-08,5.288258945487e-08,3.88271326987207e-08,3.55453740441678e-08,2.33002827175026e-08,17,17,17,17,17,17,17,17
