"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F356W","F410M","F444W","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F356W_err","F410M_err","F444W_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F356W_n_eff","F410M_n_eff","F444W_n_eff"
1,1397,7.21569917823095e-07,7.87240725866442e-07,8.26657263176876e-07,8.85824154186745e-07,7.92738095537992e-07,9.1546048238585e-07,7.85402959392385e-07,7.42780620226335e-07,6.90005932528227e-07,6.18589378638812e-07,1.93054627536135e-08,2.10624724450726e-08,2.21170542314347e-08,2.37000528881472e-08,2.12095535009974e-08,2.44929670826965e-08,2.10133033606383e-08,1.98729509693904e-08,1.84609744685364e-08,1.65502384649305e-08,1397,1397,1397,1397,1397,1397,1397,1397,1397,1397
2,1362,2.76412128766935e-06,3.24941057989619e-06,3.34343565285099e-06,3.49804303248283e-06,3.25620156244406e-06,3.03127000255472e-06,2.06616878486545e-06,1.80236890979615e-06,1.95174914467296e-06,2.52244499318469e-06,7.48977104362701e-08,8.80472987156163e-08,9.05950388308322e-08,9.47843407991043e-08,8.82313098321752e-08,8.21364763978667e-08,5.59857167091952e-08,4.88376922197475e-08,5.28853574313342e-08,6.83491551306939e-08,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362
3,846,3.97781786140447e-06,4.62585581201787e-06,4.94481175801412e-06,5.07990070582643e-06,5.02336386910579e-06,4.39947721359866e-06,2.95724653928011e-06,2.63081945685721e-06,2.82221834285162e-06,3.4685674756318e-06,1.3676019520001e-07,1.59040198888165e-07,1.70006130198869e-07,1.74650583895814e-07,1.72706807409483e-07,1.51257142351237e-07,1.0167223036796e-07,9.04494360957848e-08,9.70298653466149e-08,1.19251806281629e-07,846,846,846,846,846,846,846,846,846,846
4,1106,7.40286691955698e-06,8.67050163961377e-06,9.31677592493943e-06,9.62458189686041e-06,9.54729821985282e-06,8.28161960722687e-06,5.49792800934071e-06,4.83211816103207e-06,5.03284214170435e-06,6.20460822022036e-06,2.22598574439233e-07,2.6071538575849e-07,2.80148361681666e-07,2.89403853006585e-07,2.87079991654456e-07,2.49021998996981e-07,1.65318511131903e-07,1.45298115697052e-07,1.51333733038136e-07,1.86567847265537e-07,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106
5,803,7.6375530663907e-06,9.18312371405845e-06,9.98741239264891e-06,1.04184332858456e-05,1.04450372251288e-05,8.97530215682837e-06,5.92329362334415e-06,5.24247475267954e-06,5.49781776698345e-06,6.11070036330118e-06,2.6952339476601e-07,3.24065398492731e-07,3.52448129603234e-07,3.6765852661647e-07,3.68597359246165e-07,3.16731534999632e-07,2.09028492723e-07,1.85002916514597e-07,1.94013775810335e-07,2.15641932959183e-07,803,803,803,803,803,803,803,803,803,803
6,381,4.06923045829177e-06,5.19473581746929e-06,5.79982790495971e-06,6.09285008785738e-06,6.12917701328575e-06,5.52521897436588e-06,3.76609441340819e-06,3.4142158252098e-06,3.7958517187904e-06,3.23488954304773e-06,2.08472991652465e-07,2.66134377940013e-07,2.97134184659567e-07,3.12146165847493e-07,3.14007250615045e-07,2.83065542963757e-07,1.92942861618713e-07,1.7491557544457e-07,1.94467374555527e-07,1.65728411702575e-07,381,381,381,381,381,381,381,381,381,381
7,240,3.72389298423926e-06,4.82567599328673e-06,5.43180850360064e-06,5.71588781479716e-06,5.74651528781975e-06,5.16166098834286e-06,3.4851209807421e-06,3.14727166832201e-06,3.47837007165602e-06,2.87595947027383e-06,2.40376258516955e-07,3.11496045936541e-07,3.50621731237218e-07,3.68958971924989e-07,3.70935966807537e-07,3.3318378411034e-07,2.24963591965537e-07,2.0315551262336e-07,2.24527822657835e-07,1.85642385545634e-07,240,240,240,240,240,240,240,240,240,240
8,170,2.21898344458322e-06,2.75358187823228e-06,3.03134468408385e-06,3.18656798867444e-06,3.21673733238246e-06,2.79077695727709e-06,1.84595962047389e-06,1.64577414810489e-06,1.70436540543539e-06,1.71695719822613e-06,1.70188261282727e-07,2.11190089452874e-07,2.3249352418209e-07,2.44398608189508e-07,2.46712491225564e-07,2.14042821791352e-07,1.41578639972945e-07,1.26225115114656e-07,1.3071885941716e-07,1.31684605838891e-07,170,170,170,170,170,170,170,170,170,170
9,143,2.69472565358718e-06,3.58725274417962e-06,4.05377618793391e-06,4.29192142190263e-06,4.34846903382344e-06,3.91173422340358e-06,2.620284261724e-06,2.37695744397055e-06,2.62580297472262e-06,2.05110900987676e-06,2.25344279697342e-07,2.99981144519622e-07,3.38993794751673e-07,3.58908499664434e-07,3.6363724852981e-07,3.27115648959253e-07,2.19119177781402e-07,1.98771167064725e-07,2.19580675746464e-07,1.71522352116299e-07,143,143,143,143,143,143,143,143,143,143
10,130,2.88048791377897e-06,3.87182943584791e-06,4.339275987734e-06,4.64594967548812e-06,4.70150050816674e-06,4.15934387447752e-06,2.78382927300286e-06,2.50921299339592e-06,2.71113042832847e-06,2.13428986699314e-06,2.52635502429682e-07,3.39581905609942e-07,3.80579680302854e-07,4.07476742018374e-07,4.12348872346371e-07,3.64798590016607e-07,2.44157978826881e-07,2.20072537800729e-07,2.37781868355278e-07,1.87189604337206e-07,130,130,130,130,130,130,130,130,130,130
