"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F335M","F356W","F410M","F444W","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F335M_err","F356W_err","F410M_err","F444W_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F335M_n_eff","F356W_n_eff","F410M_n_eff","F444W_n_eff"
1,677,5.62853994838573e-07,7.56397253172561e-07,9.22063557178843e-07,9.90656001564125e-07,1.04181522469183e-06,1.23386235952604e-06,1.41379927967503e-06,1.36785902578794e-06,1.24452207114413e-06,1.15371640594613e-06,3.48231353891907e-07,2.16322363087816e-08,2.90707079881966e-08,3.54377812781253e-08,3.8074003068405e-08,4.00402117374748e-08,4.74211827197445e-08,5.43367203423452e-08,5.25710929553424e-08,4.78308687179262e-08,4.43409234998904e-08,1.33836181435954e-08,677,677,677,677,677,677,677,677,677,677,677
2,109,3.00451476802715e-07,4.68900293562818e-07,6.04997410617685e-07,6.7581341855375e-07,7.4609181441604e-07,9.2690551400319e-07,1.11668427049817e-06,1.08935220360964e-06,1.02309966623409e-06,9.46971650717015e-07,1.58419717663801e-07,2.87780321915154e-08,4.49125026322381e-08,5.79482422380353e-08,6.47311856195945e-08,7.14626351036024e-08,8.87814465228677e-08,1.06958954657615e-07,1.04341017448089e-07,9.79951752719994e-08,9.0703433841602e-08,1.51738569675703e-08,109,109,109,109,109,109,109,109,109,109,109
3,252,9.73272492021893e-07,1.57068376294174e-06,2.06588583637802e-06,2.33922115294854e-06,2.5669309641162e-06,3.29405689359973e-06,4.02000793339372e-06,3.92387919188385e-06,3.71554100991511e-06,3.47121099652095e-06,4.9082352590881e-07,6.13104040902387e-08,9.8943776787404e-08,1.30138575240641e-07,1.47357081721039e-07,1.61701451517208e-07,2.07506079641973e-07,2.53236696673012e-07,2.47181155152042e-07,2.34057083292789e-07,2.18665739167313e-07,3.0918975885109e-08,252,252,252,252,252,252,252,252,252,252,252
4,94,5.7775481290062e-07,9.19014808226988e-07,1.23018765642871e-06,1.3873206731556e-06,1.54295318691587e-06,1.93186683416097e-06,2.34686655521325e-06,2.29875112175788e-06,2.1817811465311e-06,2.02700625419729e-06,3.02924558069319e-07,5.95908589153973e-08,9.47891398831766e-08,1.26884168572589e-07,1.43091201766674e-07,1.59143469896774e-07,1.99256849769633e-07,2.42060802718113e-07,2.37098074684232e-07,2.25033542921904e-07,2.09069731687854e-07,3.12442825206251e-08,94,94,94,94,94,94,94,94,94,94,94
5,139,9.65541702811318e-07,1.60153395801711e-06,2.12207707570563e-06,2.44868944644292e-06,2.68248579086154e-06,3.54154235956856e-06,4.36047188042026e-06,4.24288081644732e-06,4.06787474867912e-06,3.7749307584662e-06,4.93261442379603e-07,8.18961783468909e-08,1.35840337369666e-07,1.79992228354116e-07,2.07695128069706e-07,2.27525475183258e-07,3.00389702337874e-07,3.69850397715327e-07,3.59876453846214e-07,3.45032632915432e-07,3.20185447963944e-07,4.18378894864354e-08,139,139,139,139,139,139,139,139,139,139,139
6,107,4.80351185839344e-07,8.23536435363961e-07,1.06112637743735e-06,1.25104780524833e-06,1.34314321740798e-06,1.85420300124512e-06,2.29621222494022e-06,2.21797381041298e-06,2.12624363778617e-06,1.98967983125152e-06,2.36148330807713e-07,4.64373018907248e-08,7.96142722124937e-08,1.02582958855753e-07,1.20943356287405e-07,1.29846555828249e-07,1.79252569940164e-07,2.21983214444244e-07,2.14419621427388e-07,2.05551730924908e-07,1.92349609438907e-07,2.28293208219042e-08,107,107,107,107,107,107,107,107,107,107,107
7,59,4.56114235143762e-07,7.82794940180204e-07,1.06871585130992e-06,1.2291697317555e-06,1.35957611502166e-06,1.82190021043327e-06,2.25883649595179e-06,2.21236816888756e-06,2.13204293973305e-06,1.99001239305439e-06,2.22029844852374e-07,5.93810155562178e-08,1.0191122078336e-07,1.39134952829982e-07,1.60024268787839e-07,1.77001733810209e-07,2.37191204312041e-07,2.94075463491704e-07,2.88025802596111e-07,2.775683484882e-07,2.59077546290095e-07,2.89058237065719e-08,59,59,59,59,59,59,59,59,59,59,59
8,70,5.64343836228378e-07,1.00993499904987e-06,1.40693571001868e-06,1.65611490190712e-06,1.83896700561576e-06,2.53467049126959e-06,3.17603553539922e-06,3.12217344052168e-06,3.02962288385758e-06,2.81725372082632e-06,2.65223652643369e-07,6.74519898561681e-08,1.20710320443251e-07,1.68160981210853e-07,1.97943591110442e-07,2.19798597673395e-07,3.02951068640108e-07,3.79608853617183e-07,3.7317110194155e-07,3.62109194628075e-07,3.36726224688539e-07,3.17002897511522e-08,70,70,70,70,70,70,70,70,70,70,70
9,34,2.47403398617022e-07,4.79667331137329e-07,6.70434327420345e-07,8.240909299156e-07,8.97243760831276e-07,1.33961158033412e-06,1.69428788656139e-06,1.6647872781283e-06,1.64550147051075e-06,1.52023569102072e-06,1.14038974134315e-07,4.24293328222674e-08,8.22622686291352e-08,1.14978538583559e-07,1.413304285093e-07,1.53876035510507e-07,2.29741490667822e-07,2.90567975369369e-07,2.85508662762251e-07,2.82201174042511e-07,2.60718270093198e-07,1.95575227151383e-08,34,34,34,34,34,34,34,34,34,34,34
10,205,3.55378889656019e-07,5.31730823079084e-07,6.53945510438927e-07,7.23359661597416e-07,7.93762100976879e-07,9.41201418940957e-07,1.09681155085963e-06,1.06720090926182e-06,9.90779568259875e-07,9.10957124834516e-07,2.00521566720885e-07,2.48207383012718e-08,3.71376916032926e-08,4.56735356273047e-08,5.05216302397265e-08,5.54387498955963e-08,6.57363585409679e-08,7.6604641587038e-08,7.45365446701296e-08,6.919904669022e-08,6.36240054131575e-08,1.40050337153047e-08,205,205,205,205,205,205,205,205,205,205,205
11,56,4.91224492473246e-07,9.33069050282795e-07,1.36281127150497e-06,1.61497644419609e-06,1.79018634729684e-06,2.58732052560364e-06,3.2956946706105e-06,3.23906037324236e-06,3.16834908477664e-06,2.93824944967855e-06,2.11625268410226e-07,6.56426339581001e-08,1.24686596584313e-07,1.82113316457334e-07,2.15810305067579e-07,2.3922371321661e-07,3.45745248449168e-07,4.4040572531576e-07,4.32837648991037e-07,4.23388455604749e-07,3.92640098484794e-07,2.82796160276836e-08,56,56,56,56,56,56,56,56,56,56,56
12,32,4.17212184318659e-07,7.13639557908878e-07,1.00467173539121e-06,1.18966153021119e-06,1.31895193749969e-06,1.83963395590832e-06,2.30652157302044e-06,2.28743223663418e-06,2.23257811541691e-06,2.05081531045632e-06,2.19139455899022e-07,7.37533911813438e-08,1.26154842680084e-07,1.77602549240395e-07,2.10304433832275e-07,2.33159964766292e-07,3.25204411280951e-07,4.07739261308954e-07,4.04364711507185e-07,3.94667781234996e-07,3.62536353246214e-07,3.87387488229321e-08,32,32,32,32,32,32,32,32,32,32,32
13,12,1.65483736084191e-07,2.99639617484232e-07,4.13390367597895e-07,4.90485029197427e-07,5.32433321449313e-07,7.91693644501029e-07,9.93717632269033e-07,9.71852087944327e-07,9.32904710744516e-07,8.80066404317683e-07,7.82923117939343e-08,4.77710397873563e-08,8.64985069071989e-08,1.19335520006522e-07,1.41590831820308e-07,1.53700260732144e-07,2.28542269384192e-07,2.86861571244502e-07,2.80549532293579e-07,2.69306392938308e-07,2.5405328771878e-07,2.2601043644853e-08,12,12,12,12,12,12,12,12,12,12,12
14,13,1.7031127542788e-07,3.26761610816853e-07,4.98299798967353e-07,5.95470330732031e-07,6.72717093246331e-07,9.50416774771034e-07,1.19842914583416e-06,1.20151752473687e-06,1.17246543886718e-06,1.08154441359246e-06,7.38684542497779e-08,4.72358489496072e-08,9.06273648194901e-08,1.38203498133091e-07,1.6515375465168e-07,1.86578151813903e-07,2.63598185730621e-07,3.32384441178122e-07,3.33241003369796e-07,3.25183404503462e-07,2.9996644922302e-07,2.04874230336031e-08,13,13,13,13,13,13,13,13,13,13,13
15,14,2.63380179560964e-07,4.72450689988218e-07,6.60133245012662e-07,7.77458256515494e-07,8.64732400206837e-07,1.2408555889566e-06,1.55613983161052e-06,1.51564934737382e-06,1.48920773512457e-06,1.38740976338387e-06,1.22850788534403e-07,7.03913138845805e-08,1.26267758148633e-07,1.76428030889763e-07,2.07784459171399e-07,2.31109455201191e-07,3.31632605738515e-07,4.15895863985619e-07,4.05074326882882e-07,3.98007508754982e-07,3.70800856403397e-07,3.28332543136252e-08,14,14,14,14,14,14,14,14,14,14,14
16,7,1.86939946109976e-07,3.28789929734166e-07,4.89660520555601e-07,5.46794549222808e-07,6.29566000693758e-07,8.48672370870044e-07,1.06187867158755e-06,1.04314232821016e-06,1.04407047264399e-06,9.51592483466822e-07,8.97036945820291e-08,7.06566582158304e-08,1.24270912522715e-07,1.85074280605221e-07,2.06668913641317e-07,2.37953581676743e-07,3.20768005413388e-07,4.01352412506327e-07,3.94270740355571e-07,3.94621545977381e-07,3.59668151533079e-07,3.39048096496773e-08,7,7,7,7,7,7,7,7,7,7,7
