"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F335M","F356W","F410M","F430M","F444W","F460M","F480M","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F335M_err","F356W_err","F410M_err","F430M_err","F444W_err","F460M_err","F480M_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F335M_n_eff","F356W_n_eff","F410M_n_eff","F430M_n_eff","F444W_n_eff","F460M_n_eff","F480M_n_eff"
1,1867,3.09050277540632e-06,3.18576803243459e-06,3.97974751418725e-06,3.65011152563103e-06,4.0185054336909e-06,4.08438882729675e-06,4.11450193462526e-06,3.85628959949735e-06,3.2231943668506e-06,2.88707137134066e-06,2.91865038323709e-06,2.80100761677541e-06,2.58699074221933e-06,2.37469698143122e-06,7.15248538342573e-08,7.37296192331605e-08,9.21050327198195e-08,8.44761232467015e-08,9.30020241574194e-08,9.45267922745241e-08,9.52237130530158e-08,8.92477923467813e-08,7.45957932162286e-08,6.68167521114943e-08,6.75475989588412e-08,6.48249410978649e-08,5.98718552140719e-08,5.49586481038475e-08,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867
2,822,2.23774291749245e-06,2.92240655505855e-06,3.76095490824396e-06,3.63681273327359e-06,4.10658476998097e-06,4.45309399492809e-06,5.119280951619e-06,4.91134007036582e-06,4.56840051488139e-06,4.314826273942e-06,4.20921246917247e-06,3.93620381006218e-06,3.65781269559477e-06,1.54310369966304e-06,7.80502471257072e-08,1.01930633783305e-07,1.31178366255771e-07,1.26848410674449e-07,1.43233592042309e-07,1.55319489142932e-07,1.78555427549973e-07,1.7130265644634e-07,1.59341265865901e-07,1.50496848566968e-07,1.46813144108467e-07,1.37290873634746e-07,1.27580868471985e-07,5.38219221510281e-08,822,822,822,822,822,822,822,822,822,822,822,822,822,822
3,543,2.02600378360462e-06,2.82433367644306e-06,3.7485349799502e-06,3.75382188517572e-06,4.29134964013591e-06,5.02609910230331e-06,6.1294273532521e-06,6.03960907022677e-06,5.88559148142724e-06,5.49372336427945e-06,5.43931917378035e-06,5.17525281468615e-06,4.71475478120485e-06,1.35956550808103e-06,8.69441442506899e-08,1.21203759126182e-07,1.60865033255609e-07,1.61091916075023e-07,1.84159439958349e-07,2.15690557394439e-07,2.63038904610099e-07,2.59184433153086e-07,2.5257490578394e-07,2.35758235262265e-07,2.33423527980436e-07,2.22091355847967e-07,2.02329493716139e-07,5.83445404245739e-08,543,543,543,543,543,543,543,543,543,543,543,543,543,543
4,146,5.85476975805803e-07,8.90714158045635e-07,1.21354956878224e-06,1.27697346617544e-06,1.47107403603624e-06,1.95081315050672e-06,2.43149942527012e-06,2.4876832581569e-06,2.49478319537912e-06,2.32825935138311e-06,2.29952659977213e-06,2.22677460801168e-06,2.00682221304637e-06,3.72350064382825e-07,4.84544192817989e-08,7.37160282260068e-08,1.00434076923504e-07,1.05683076019577e-07,1.21746953479364e-07,1.6145044509223e-07,2.01232324248683e-07,2.05882131342818e-07,2.06469726328199e-07,1.92688114939819e-07,1.90310175496919e-07,1.8428917781807e-07,1.66085788089521e-07,3.08159105904697e-08,146,146,146,146,146,146,146,146,146,146,146,146,146,146
5,80,4.21129934942155e-07,6.68299468532393e-07,9.18662205722582e-07,9.8461906075906e-07,1.15772457182665e-06,1.53418000577424e-06,1.9746240448781e-06,2.02525755763555e-06,2.10251483917008e-06,1.93930665137053e-06,1.94015927314006e-06,1.88101957559319e-06,1.71135542631193e-06,2.72829619524387e-07,4.70837580945361e-08,7.47181520482706e-08,1.0270955701778e-07,1.10083757589963e-07,1.29437542091311e-07,1.71526539131611e-07,2.20769679717651e-07,2.26430678540914e-07,2.35068305204316e-07,2.168210750841e-07,2.16916401095887e-07,2.10304381901709e-07,1.9133535334483e-07,3.05032787765966e-08,80,80,80,80,80,80,80,80,80,80,80,80,80,80
6,50,2.8581018817332e-07,4.60575539038086e-07,6.16209685094729e-07,6.90198979861442e-07,7.98635182722085e-07,1.19409749513573e-06,1.52408888588841e-06,1.61009328615774e-06,1.69532463561149e-06,1.59147637139101e-06,1.57211489446991e-06,1.53880319127046e-06,1.38664523610162e-06,1.7880848009236e-07,4.04196644379116e-08,6.5135217380496e-08,8.7145209392662e-08,9.76088758056126e-08,1.12944070679389e-07,1.68870887241669e-07,2.15538717268549e-07,2.27701576197014e-07,2.397551092307e-07,2.25068746861748e-07,2.22330620536809e-07,2.17619634291769e-07,1.96101249909495e-07,2.52873377613935e-08,50,50,50,50,50,50,50,50,50,50,50,50,50,50
7,42,1.48211094590448e-07,2.65219776107926e-07,4.36796907326101e-07,5.04201496526395e-07,6.22861612119645e-07,1.06609880324934e-06,1.54328298800198e-06,1.60451152316086e-06,1.74992199173886e-06,1.64615754596181e-06,1.6492477154016e-06,1.64958195439099e-06,1.5003436373967e-06,8.96322775618052e-08,2.28694683968547e-08,4.0924299929649e-08,6.73992260534988e-08,7.77999799699229e-08,9.61096333128504e-08,1.6450261673195e-07,2.38133734988213e-07,2.47581503076499e-07,2.70018825497642e-07,2.54007623907283e-07,2.54484447403793e-07,2.54536021599544e-07,2.31508049344621e-07,1.38305606925186e-08,42,42,42,42,42,42,42,42,42,42,42,42,42,42
8,25,7.55705430375213e-08,1.48506355214718e-07,2.77357801352039e-07,3.4258335874523e-07,4.29461998654341e-07,8.18596320134729e-07,1.23426148412398e-06,1.29658145902599e-06,1.43051321027191e-06,1.3544837140718e-06,1.34901268956045e-06,1.35444462296236e-06,1.22476927754902e-06,4.21982548395251e-08,1.51141086075043e-08,2.97012710429435e-08,5.54715602704078e-08,6.8516671749046e-08,8.58923997308683e-08,1.63719264026946e-07,2.46852296824796e-07,2.59316291805198e-07,2.86102642054381e-07,2.7089674281436e-07,2.69802537912089e-07,2.70888924592472e-07,2.44953855509804e-07,8.43965096790503e-09,25,25,25,25,25,25,25,25,25,25,25,25,25,25
9,12,2.82513582001175e-08,6.33941929042782e-08,1.38327730438639e-07,1.77340286067786e-07,2.34093773658235e-07,4.69395124875207e-07,7.37211875850355e-07,7.60438418319322e-07,8.53999495442112e-07,8.1236638062575e-07,8.05680203373922e-07,8.08114457065852e-07,7.31797194427622e-07,1.56599113342129e-08,8.15546463090519e-09,1.83003271691721e-08,3.99317762025691e-08,5.11937309497007e-08,6.75770516185988e-08,1.35502700851499e-07,2.12814737485996e-07,2.19519662759397e-07,2.46528419290654e-07,2.34509974267439e-07,2.32579841149343e-07,2.33282549661499e-07,2.112516535975e-07,4.52062701214675e-09,12,12,12,12,12,12,12,12,12,12,12,12,12,12
10,65,5.79850099887752e-07,8.21058276720576e-07,1.12617137652294e-06,1.10822707904237e-06,1.28317937252255e-06,1.4132173204378e-06,1.72973580957456e-06,1.60702129126657e-06,1.45133889437631e-06,1.31310021520301e-06,1.30168071031579e-06,1.17725392461118e-06,1.07387391090075e-06,3.92172425451484e-07,7.19215532411033e-08,1.0183974543531e-07,1.39684367788987e-07,1.37458651613594e-07,1.59158812901181e-07,1.75288035257375e-07,2.1454732205003e-07,1.99326459341456e-07,1.80016434562961e-07,1.62870036681738e-07,1.61453621423911e-07,1.46020378083252e-07,1.33197665520849e-07,4.8643002704081e-08,65,65,65,65,65,65,65,65,65,65,65,65,65,65
