region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F444W,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F444W_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F444W_n_eff
11,8,2.0166003404272573e-7,4.816730987617214e-7,8.084964358304177e-7,1.1151930188336232e-6,1.2518586205656228e-6,1.3631832360057152e-6,1.6632021427307651e-6,2.1602404594485573e-6,1.8975154686201978e-6,1.7902065658665763e-6,1.6100891494698311e-6,7.129758878296068e-8,1.702971572247754e-7,2.8584665617042136e-7,3.94280272974576e-7,4.425988598443945e-7,4.819580550897315e-7,5.8803075680446e-7,7.63760338934809e-7,6.708730276338557e-7,6.329336012244688e-7,5.692524779524991e-7,8,8,8,8,8,8,8,8,8,8,8
12,4,2.1884654462967695e-7,5.293994903690424e-7,8.678281879606368e-7,1.227226223978569e-6,1.3326060200050521e-6,1.5088379669500302e-6,1.433748054441582e-6,1.8439228820076187e-6,1.5767916106656143e-6,1.447403144773761e-6,1.2407403945424459e-6,1.0942327231483847e-7,2.646997451845212e-7,4.339140939803184e-7,6.136131119892845e-7,6.663030100025261e-7,7.544189834750151e-7,7.16874027220791e-7,9.219614410038093e-7,7.883958053328072e-7,7.237015723868805e-7,6.203701972712229e-7,4,4,4,4,4,4,4,4,4,4,4
13,6,1.68803479337548e-7,4.220990621055354e-7,7.174932490182457e-7,9.403830693426352e-7,1.075663728556812e-6,1.1343635747692977e-6,1.7709125896132208e-6,1.8922014042318313e-6,1.9396928783353446e-6,1.740487098364311e-6,1.587746944149635e-6,6.8913731863906e-8,1.723212205109848e-7,2.929153923310616e-7,3.839097804402912e-7,4.391378782973033e-7,4.6310199016404225e-7,7.2297203727053e-7,7.724879884909662e-7,7.918763016053343e-7,7.105508824816394e-7,6.481949756383112e-7,6,6,6,6,6,6,6,6,6,6,6
14,6,4.966181366941889e-7,1.2189573667673632e-6,1.948032710291282e-6,2.544275464709724e-6,2.777785815889826e-6,2.9864041325147488e-6,2.7544532772912085e-6,3.1538464733405294e-6,2.80483425114693e-6,2.5469956968191507e-6,2.175327720502037e-6,2.0274350531875164e-7,4.976372611311082e-7,7.952810237441017e-7,1.0386961089368955e-6,1.1340263106117886e-6,1.2191943817333621e-6,1.1245008416167208e-6,1.2875524311267546e-6,1.1450687880652238e-6,1.039806639045234e-6,8.880738230936089e-7,6,6,6,6,6,6,6,6,6,6,6
15,19,2.591905246725708e-7,5.531187284163353e-7,9.454258370643628e-7,1.3248085486968744e-6,1.5713321495137659e-6,1.7052715528162716e-6,2.6053098774603006e-6,3.0362367917298353e-6,3.217498588638543e-6,3.0242219544230625e-6,2.914074573579709e-6,5.946238443005378e-8,1.2689413899718552e-7,2.1689556223031092e-7,3.039319254372873e-7,3.604883182351078e-7,3.9121612473793733e-7,5.976990774977781e-7,6.965604917795001e-7,7.381447999400079e-7,6.938040990614315e-7,6.685345568513331e-7,19,19,19,19,19,19,19,19,19,19,19
16,5,1.0369463742196396e-7,2.427195793457825e-7,4.2632868171303584e-7,5.986987400087149e-7,6.921735310586786e-7,7.498337268772162e-7,9.520125579913523e-7,1.2798783111130692e-6,1.1522985839443126e-6,1.166719226796829e-6,1.0600930976499357e-6,4.637365163554099e-8,1.0854749577746474e-7,1.9065998261364393e-7,2.677462161405919e-7,3.0954941353465345e-7,3.3533583702389323e-7,4.257529590204249e-7,5.723789813152895e-7,5.153235928152461e-7,5.217727003547408e-7,4.7408804576471567e-7,5,5,5,5,5,5,5,5,5,5,5
17,8,1.1031630217720995e-7,2.3651836722421924e-7,4.365752428597176e-7,6.358062302760555e-7,7.714016246425301e-7,8.429175149976988e-7,1.4267325305301953e-6,1.7711371802563707e-6,1.835925388279637e-6,1.8188177488573442e-6,1.7301587103356323e-6,3.9002702672464724e-8,8.362187066970772e-8,1.5435265736213507e-7,2.2479144847442723e-7,2.727316599015264e-7,2.980163454178931e-7,5.04426123638672e-7,6.261915552854501e-7,6.490976459025383e-7,6.430491819797395e-7,6.117034783036485e-7,8,8,8,8,8,8,8,8,8,8,8
18,5,1.4045719922033217e-7,3.2661225379541095e-7,5.796409309131107e-7,8.134762883445971e-7,9.376128363926779e-7,1.0338305902829704e-6,1.2522018432537313e-6,1.6462807273319479e-6,1.5350424766166885e-6,1.4534962654031968e-6,1.3156340980407478e-6,6.281436907717864e-8,1.4606544035419052e-7,2.5922330481259495e-7,3.637976557645478e-7,4.1931320775008325e-7,4.62343095418291e-7,5.60001688613176e-7,7.362391232724062e-7,6.864918652129093e-7,6.500232908967247e-7,5.883694553471469e-7,5,5,5,5,5,5,5,5,5,5,5
19,7,1.745166310684414e-7,4.4793272913113326e-7,8.675762045669431e-7,1.321763687227102e-6,1.5074021101573186e-6,1.7450471426406194e-6,2.267513370437635e-6,2.7744117735833566e-6,2.692567214878708e-6,2.570850295953768e-6,2.3027714728950204e-6,6.596108649312919e-8,1.6930265790963373e-7,3.279129829544902e-7,4.995797154855246e-7,5.69744444178608e-7,6.595658236444194e-7,8.570394960988373e-7,1.0486290839130288e-6,1.0176947484135535e-6,9.716900772957816e-7,8.703658062134483e-7,7,7,7,7,7,7,7,7,7,7,7
20,3,4.500731767299862e-8,1.0379142822609975e-7,1.9764436962456706e-7,2.966956901649568e-7,3.534788179510892e-7,3.988584470661647e-7,7.330805777680243e-7,8.628290556934942e-7,9.286976431615902e-7,8.898547934530985e-7,8.284275626288726e-7,2.5984986974008754e-8,5.992400902591441e-8,1.141100300065577e-7,1.7129733658413963e-7,2.0408109069689206e-7,2.302810317822063e-7,4.2324426891205527e-7,4.981545875692695e-7,5.361838342751152e-7,5.137579045398254e-7,4.782928762878853e-7,3,3,3,3,3,3,3,3,3,3,3
