region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F444W,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F444W_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F444W_n_eff
1,6814,2.058587973267729e-6,3.968596733112058e-6,5.956454843277817e-6,7.776588444086306e-6,8.48974010893254e-6,8.902725405636398e-6,1.1383993452305107e-5,1.3257190890934048e-5,1.3145568391462618e-5,1.2455052699978347e-5,1.2009739452331762e-5,2.4938387369964442e-8,4.807683904245385e-8,7.215838242636238e-8,9.420805792796264e-8,1.0284740329596234e-7,1.0785043811450932e-7,1.3790930590159493e-7,1.6060181355809347e-7,1.592495832103161e-7,1.5088445720020993e-7,1.454897913345782e-7,6814,6814,6814,6814,6814,6814,6814,6814,6814,6814,6814
2,3484,2.8286698186917783e-6,5.664079378362686e-6,8.65079060442731e-6,1.106605824139973e-5,1.2175058234940407e-5,1.2796961229922433e-5,1.5913088009356887e-5,1.8718426193313486e-5,1.8261005347984534e-5,1.6739725015167826e-5,1.558049021602191e-5,4.792291020359345e-8,9.596000411275905e-8,1.465604287169131e-7,1.874795396429829e-7,2.0626805527497532e-7,2.1680424482489354e-7,2.6959720879935814e-7,3.171248378609361e-7,3.0937528082494054e-7,2.836019720059618e-7,2.639623856472954e-7,3484,3484,3484,3484,3484,3484,3484,3484,3484,3484,3484
3,1015,1.725955279430975e-6,3.564397716977549e-6,5.498554955870499e-6,7.049340423356507e-6,7.874580594236374e-6,8.355885756016133e-6,1.0636192393960334e-5,1.2849908395482096e-5,1.2622646362857526e-5,1.1677772752704055e-5,1.0891381140412777e-5,5.4174700315566436e-8,1.1188017466270073e-7,1.7258996826451082e-7,2.2126639630179355e-7,2.471692336919506e-7,2.622765561182594e-7,3.3385137048943584e-7,4.0333602191432906e-7,3.962026664576329e-7,3.665447458404615e-7,3.4186129637090134e-7,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015
4,247,8.258829179452298e-7,1.6950144628461872e-6,2.5902643102361692e-6,3.313638065749251e-6,3.7729708440489448e-6,3.992846201497657e-6,5.243277541426467e-6,6.258786792826366e-6,6.141880179701199e-6,5.758749452933355e-6,5.512798700425673e-6,5.254967166905242e-8,1.0785118757326014e-7,1.6481457126832375e-7,2.108417411252777e-7,2.400683859220203e-7,2.540587198918671e-7,3.336217607662758e-7,3.9823706709894525e-7,3.907984774366805e-7,3.66420453069659e-7,3.5077098144335247e-7,247,247,247,247,247,247,247,247,247,247,247
5,143,8.652364474292037e-7,1.6483504478411131e-6,2.4378711463359567e-6,3.116220014373746e-6,3.5279428654731447e-6,3.749242021121332e-6,4.7876993394773015e-6,5.816489005194067e-6,5.792100706176494e-6,5.607579901289475e-6,5.32969286444403e-6,7.235470659295918e-8,1.3784198916987408e-7,2.0386502675502708e-7,2.6059140884442266e-7,2.950214033013438e-7,3.13527368374555e-7,4.0036753189541194e-7,4.86399245688763e-7,4.843597936696521e-7,4.689293887929674e-7,4.4569130736831247e-7,143,143,143,143,143,143,143,143,143,143,143
6,104,7.986052106294184e-7,1.5933312673917289e-6,2.475023542970078e-6,3.2351391891078505e-6,3.662162228882632e-6,3.905439088995635e-6,5.411227963213263e-6,6.685837259509121e-6,6.703251428836509e-6,6.3168851186844814e-6,5.831436305240883e-6,7.830968370492847e-8,1.5623898507784519e-7,2.426960258116535e-7,3.172314972009552e-7,3.591045512887498e-7,3.8295981007570715e-7,5.306145572485264e-7,6.5560028174889855e-07,6.57307881541463e-7,6.194215477941548e-7,5.718193752441668e-7,104,104,104,104,104,104,104,104,104,104,104
7,32,2.8452758954761946e-7,6.307216862317956e-7,1.012886752564235e-6,1.3347710515117763e-6,1.5359660596854608e-6,1.6392871387111492e-6,2.1173165228308356e-6,2.7963828184955657e-6,2.5741519405747796e-6,2.349731941484809e-6,2.1242872955594855e-6,5.029784700094608e-8,1.1149689534397913e-7,1.790547728280478e-7,2.3595641546386888e-7,2.7152300411899265e-7,2.8978776302363655e-7,3.742922178030013e-7,4.943353134379412e-7,4.5505007324623427e-7,4.15377847448635e-7,3.75524487969636e-7,32,32,32,32,32,32,32,32,32,32,32
8,54,6.390918158059622e-7,1.3144609534827112e-6,2.0883904332121755e-6,2.798989616062238e-6,3.233979219226776e-6,3.4990641749276734e-6,4.887342362464034e-6,5.854872293641419e-6,5.786777486996806e-6,5.472182903416021e-6,5.122039785503104e-6,8.696938041741003e-8,1.788754790469387e-7,2.8419394139331896e-7,3.808942419278376e-7,4.4008882921499656e-7,4.761623225458566e-7,6.650830547958531e-7,7.967472015877818e-7,7.874806721204052e-7,7.446697718083897e-7,6.970213287065112e-7,54,54,54,54,54,54,54,54,54,54,54
9,5,7.971996068813124e-8,1.8570007800873558e-7,3.043905389287295e-7,4.341702210787929e-7,5.035083091112637e-7,5.456643676638283e-7,6.321985721851037e-7,8.245036793117216e-7,7.314112854132951e-7,6.705186939519521e-7,6.205362129388238e-7,3.565185025245447e-8,8.30475995709093e-8,1.3612758735048704e-7,1.941668256276586e-7,2.2517576128175247e-7,2.4402852379915164e-7,2.827277965368399e-7,3.6872925492793925e-7,3.270970707389256e-7,2.998650759721884e-7,2.7751223092629886e-7,5,5,5,5,5,5,5,5,5,5,5
10,18,2.7577957020307046e-7,6.335137105212728e-7,1.0784895760229004e-6,1.4861543763324885e-6,1.743134868214553e-6,1.8541147888538353e-6,2.4425901986637964e-6,3.0654107667660454e-6,2.978522348527851e-6,2.779679231822349e-6,2.603228559634407e-6,6.500186806776755e-8,1.493206135614145e-7,2.5420243088159916e-7,3.502899457982557e-7,4.1086082861240974e-7,4.370190467656036e-7,5.75724031044989e-7,7.225242467675083e-7,7.02044450186575e-7,6.551766781149989e-7,6.135868558319927e-7,18,18,18,18,18,18,18,18,18,18,18
