"method","n_regions","valid_pixels","mean_pixels_per_region","median_pixels_per_region","mean_cluster_snr","mean_avg_corr","median_avg_corr","mean_pixel_intravariance","median_pixel_intravariance","target_sn","voronoi_mask_mode"
"sagui",10,2086,208.6,88.5,24.2024772219368,0.997260306359165,0.998206351711927,0.127798424424415,0.0338772336820816,NA,"shared"
"voronoi",11,2086,189.636363636364,167,19.5794199028366,0.992679848055463,0.996574115153743,0.142350672081486,0.0349265648114955,20.6043009578633,"shared"
