"method","region","n_pixels","avg_corr","mean_pixel_intravariance","median_pixel_intravariance","cluster_snr"
"voronoi",1,255,0.996327920827055,0.091545523670348,0.0614760344515322,41.573191644304
"voronoi",2,178,0.999326197019101,0.0250760671392356,0.0123289149018177,9.34842024540226
"voronoi",3,208,0.988142880519609,0.246630534952968,0.0121318335520945,12.8416539583003
"voronoi",4,167,0.985155766116284,0.326458360570516,0.0463616480279334,8.41609825854444
"voronoi",5,146,0.999145933883111,0.0302518911768063,0.0246411087150343,7.72000461900568
"voronoi",6,125,0.996574115153743,0.0646236535491371,0.01684036862324,31.9977665764083
"voronoi",7,358,0.997586460204914,0.121918403049747,0.075843127494078,42.1892512113496
"voronoi",8,144,0.99607859112138,0.0558876831840508,0.0175617302583655,9.92864536780412
"voronoi",9,76,0.998532098366193,0.239650009577929,0.0547213618991265,5.0020706647999
"voronoi",10,165,0.96556609368326,0.353911856192357,0.105996988074405,15.4746822474537
"voronoi",11,264,0.997042271715443,0.085302846645205,0.0243899624785248,30.8818341378304
