"method","region","n_pixels","avg_corr","mean_pixel_intravariance","median_pixel_intravariance","cluster_snr"
"pixedfit_r",1,12,0.998130580487583,0.00180252309375893,0.00105759092161213,41.6796470927958
"pixedfit_r",2,1,NA,0,0,12.8292226539166
"pixedfit_r",3,32,0.9970120517842,0.00729892592081714,0.00469028280623321,53.1633873663421
"pixedfit_r",4,1,NA,0,0,11.7132198503422
"pixedfit_r",5,467,0.991360589091041,0.0254645104027593,0.00911026549523825,98.4055721239787
"pixedfit_r",6,1,NA,0,0,10.5028335320939
"pixedfit_r",7,64,0.997541298457384,0.00556265115659243,0.00494519666605683,58.7795996927545
"pixedfit_r",8,1,NA,0,0,10.583555401921
"pixedfit_r",9,760,0.991086500143055,0.0671480426464523,0.0181936819555809,102.64991742204
"pixedfit_r",10,1,NA,0,0,8.3123504985271
"pixedfit_r",11,733,0.995018353978892,0.0285220039937789,0.00859742662085512,79.0468835590316
"pixedfit_r",12,1,NA,0,0,8.01061984184885
"pixedfit_r",13,1,NA,0,0,7.02917106566826
"pixedfit_r",14,1,NA,0,0,7.47418324056235
"pixedfit_r",15,1,NA,0,0,6.84020986945305
"pixedfit_r",16,99,0.991317642271536,0.0235890392648809,0.0188439167045808,52.5990256987127
