region,logM,logZ,flag
1,10.390523705514175,-0.2164935514941145,-1
2,10.327135115599992,-0.7386224037185679,-1
3,9.890993070643681,-0.4223319375546175,0
4,9.229484531122045,-0.3953893695676415,1
5,9.217530800395012,-0.3304439909532896,1
6,9.91010109271978,0.20989424771772786,-1
7,9.886394328431535,0.29999998526604027,0
8,9.833699695237184,-0.6059848373128848,0
9,8.913079344326457,-0.07750197201269844,0
10,9.857025011339683,-0.5823697226291845,1
11,10.04450463869556,0.29999998328068517,1
12,10.273427447270091,0.2999999010469011,0
13,10.342102162523373,-1.508225492279799,-1
14,9.736637400787144,-0.4507981173592191,0
15,9.635143307987217,-0.40066629590317016,0
16,9.223426271791244,-0.6214465805781818,0
17,9.565134399380309,-0.3948840515171159,0
18,9.607865634360746,-0.15155360763783143,1
19,9.481920709184267,-0.9450757152269238,1
20,9.537588462508626,-0.44988030021033804,1
21,9.784060302371717,-0.07752062844890538,1
22,9.633091825208183,0.2771993811386445,0
23,9.556696833239812,0.2791156734324628,0
24,9.737809783132095,0.10527522374555458,0
25,9.840860378065717,-0.4949430523423628,-1
26,9.87161386982103,-0.43445754674623027,1
27,8.665465873680638,-0.8119139985625171,1
28,8.189296348003452,-1.1948724153227457,1
29,10.283710078359412,-0.3299213448210641,-1
30,10.359543072928787,-0.4986138000500348,1
