region_id,value
1,1.7866721635443536e-9
2,1.7866721635443503e-9
3,1.1484279285690599e-9
4,4.3880078725456064e-10
5,7.636588546817213e-10
6,2.0803554655241976e-10
7,3.451283785522673e-10
8,3.3545053134156866e-10
9,3.1856049252716343e-10
10,3.452680840539566e-10
11,1.9185964602639436e-10
12,1.707733771010891e-10
13,1.8516721746752456e-10
14,2.760740914897288e-10
15,1.3907818496905528e-10
16,5.035648147539034e-10
17,2.1349470303975144e-10
18,8.000619506860165e-11
19,5.471685084833817e-10
20,6.200535926782028e-11
