"region_id","n_pix","area_arcsec2","sfr","surface_sfr"
1,809,0.323599999999993,0.0619337324510322,0.19138977889689
2,681,0.272399999999994,0.109965405596517,0.40369091628678
3,661,0.264399999999994,0.0725574067101214,0.274422869554171
4,441,0.176399999999996,0.0636275192093486,0.360700222275226
5,510,0.203999999999996,0.0916522503545538,0.449275737032136
6,334,0.133599999999997,0.115320546193546,0.863177740969676
7,360,0.143999999999997,0.025723143364632,0.178632940032171
8,259,0.103599999999998,0.0453572703192191,0.437811489567761
9,162,0.0647999999999986,0.101244599028162,1.56241665166921
10,196,0.0783999999999984,0.00681602671373482,0.0869391162466194
11,53,0.0211999999999996,0.20158862833806,9.50889756311621
12,136,0.0543999999999989,0.0151966816488113,0.279350765603155
13,116,0.046399999999999,0.0343391143508907,0.740067119631281
14,77,0.0307999999999994,0.00125412772566693,0.0407184326515245
15,138,0.0551999999999988,0.00204752112381461,0.0370927739821495
16,92,0.0367999999999992,0.000188623083473935,0.00512562726831354
17,55,0.0219999999999995,0.00623620175611401,0.283463716187007
18,78,0.0311999999999993,0.0310495558468828,0.995178072015494
19,5,0.00199999999999996,1.0595423479767e-05,0.00529771173988361
20,64,0.0255999999999995,0.0217063485751434,0.847904241216557
21,53,0.0211999999999996,0.0218913346224067,1.03261012369845
22,35,0.0139999999999997,1.38059197199398e-06,9.86137122852866e-05
23,46,0.0183999999999996,0.021155078726394,1.14973253947796
24,52,0.0207999999999996,1.06099886407784e-07,5.10095607729741e-06
25,20,0.00799999999999983,7.05732847812889e-07,8.8216605976613e-05
26,6,0.00239999999999995,0.000138421791764152,0.057675746568398
27,10,0.00399999999999992,0.00120881423166585,0.30220355791647
28,10,0.00399999999999992,9.28848864124552e-08,2.32212216031143e-05
29,13,0.00519999999999989,4.23241327499886e-08,8.1392562980749e-06
30,6,0.00239999999999995,0.000248807957348159,0.103669982228402
31,6,0.00239999999999995,1.76144782427363e-08,7.33936593447362e-06
32,8,0.00319999999999993,7.39760956004875e-08,2.31175298751528e-05
33,2,0.000799999999999983,5.55950309603373e-07,0.000694937887004231
34,2,0.000799999999999983,3.23824794972574e-08,4.04780993715726e-05
35,1,0.000399999999999992,5.60560850656315e-09,1.40140212664082e-05
36,1,0.000399999999999992,7.79731550371626e-06,0.0194932887592911
37,1,0.000399999999999992,3.58853583309739e-07,0.000897133958274366
38,3,0.00119999999999997,4.7257177969136e-06,0.00393809816409475
39,6,0.00239999999999995,0.023510538361369,9.79605765057064
40,4,0.00159999999999997,1.94484538677059e-09,1.21552836673164e-06
