"method","region","n_pixels","avg_corr","mean_pixel_intravariance","median_pixel_intravariance","cluster_snr"
"voronoi",1,40,0.998301980878268,0.00251851807717721,0.00104086269145297,59.0396864574498
"voronoi",2,132,0.995439024504751,0.0107433110530874,0.00657708928181347,58.8005249128652
"voronoi",3,125,0.997199441841286,0.00762232605051187,0.00409841628663331,54.9045518957724
"voronoi",4,676,0.937432583501732,0.130912203375222,0.0615275257510203,48.9915198914941
"voronoi",5,1091,0.929802064883103,0.288055046616045,0.0308725281026718,52.1885257348916
"voronoi",6,134,0.997820507915781,0.0048168301980993,0.00189798332971629,53.6252527699281
"voronoi",7,1239,0.946142644312798,0.172189039178725,0.0598037067014083,52.610122063238
"voronoi",8,25,0.998451518349417,0.0032645470124152,0.00173053525202667,53.8725432799992
"voronoi",9,61,0.99756949056832,0.0079063356855338,0.0035633633797417,54.2544827506441
"voronoi",10,141,0.993625600485405,0.0277881037978564,0.0135672050185933,57.2598431862658
"voronoi",11,133,0.995775835641079,0.0245946911920695,0.0162382587598042,60.3120287468199
"voronoi",12,143,0.993831441687315,0.0118496196153374,0.00492808605106986,55.5860293062456
"voronoi",13,947,0.951291451737519,0.137094572342262,0.0830566220999554,51.3045176894507
"voronoi",14,1099,0.880407989731341,0.272721194040185,0.128039195077541,48.3216377760534
"voronoi",15,1281,0.920190738471552,0.185337726748544,0.0426823334709302,46.4228248498605
"voronoi",16,1182,0.97142960290417,0.089836612211442,0.0264086466615051,47.1425238518885
