region,n_pix,F090W,F115W,F150W,F200W,F277W,F356W,F410M,F444W,F090W_err,F115W_err,F150W_err,F200W_err,F277W_err,F356W_err,F410M_err,F444W_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F200W_n_eff,F277W_n_eff,F356W_n_eff,F410M_n_eff,F444W_n_eff
1,222,3.104168954195232e-8,4.062358896594963e-8,4.212238028212029e-8,4.7510085294086614e-8,2.09436258558873e-7,1.661851553388425e-7,1.2173229181563332e-7,1.1634093300315524e-7,2.0833817900155152e-9,2.726476771902272e-9,2.8270690586372855e-9,3.1886681428861005e-9,1.4056441311315767e-8,1.1153617329234737e-8,8.17013647671429e-9,7.808292165431676e-9,222,222,222,222,222,222,222,222
2,254,7.433669102198245e-8,9.491872818151348e-8,1.0404955013965664e-7,1.1723921143889447e-7,4.968417184016213e-7,3.9942655801496366e-7,3.0209451682602314e-7,2.873399408882389e-7,4.664298831650452e-9,5.955730701382156e-9,6.528649425714145e-9,7.356242380715433e-9,3.117462204459155e-8,2.5062251255284243e-8,1.895509582828953e-8,1.8029311395838083e-8,254,254,254,254,254,254,254,254
3,473,1.9105946833749471e-7,2.464712046599439e-7,2.7964336908572246e-7,3.1983935978938806e-7,1.3474815240426508e-6,1.0772638419211859e-6,7.933354938045645e-7,7.697533401019824e-7,8.784923713620716e-9,1.1332758064191093e-8,1.285801580949886e-8,1.4706229431141242e-8,6.195726648478795e-8,4.953264422364339e-8,3.6477604868394804e-8,3.53932962859271e-8,473,473,473,473,473,473,473,473
4,263,1.3394091136689776e-7,1.7522001434921758e-7,2.0137459815075502e-7,2.3205942138118928e-7,9.670058387467633e-7,7.741490620347639e-7,5.683741500921798e-7,5.418843457096043e-7,8.25915041290249e-9,1.0804528945580812e-8,1.2417289672675183e-8,1.4309396930025933e-8,5.962813445764169e-8,4.773607615553874e-8,3.5047451510600054e-8,3.341402019696091e-8,263,263,263,263,263,263,263,263
5,397,2.3001696124414923e-7,3.0397933447509053e-7,3.614470275903081e-7,4.2015753411883774e-7,1.7763531878588833e-6,1.4148965871321255e-6,1.0476993308964989e-6,9.769065977625766e-7,1.1544220364697495e-8,1.5256285469182077e-8,1.8140506309177877e-8,2.108710216638054e-8,8.915261089989488e-8,7.101162412877123e-8,5.258252211660739e-8,4.90295366885034e-8,397,397,397,397,397,397,397,397
6,302,1.9869641917120434e-7,2.658517671789024e-7,3.2405349252781377e-7,3.826143541918598e-7,1.6266765430646635e-6,1.3015727824027323e-6,9.458629171536023e-7,8.978569181277062e-7,1.1433694105531714e-8,1.529805014110251e-8,1.8647183088889745e-8,2.2016982009353115e-8,9.360471658032052e-8,7.489709735159306e-8,5.4428294710141786e-8,5.166585988428008e-8,302,302,302,302,302,302,302,302
7,201,1.5300679832104502e-7,2.0848816527298305e-7,2.54759413152566e-7,3.064982626428696e-7,1.3156860077492929e-6,1.0626924353908606e-6,7.676744911120595e-7,7.303222072169555e-7,1.0792267439230982e-8,1.4705621333370145e-8,1.7969343516587174e-8,2.161872058234253e-8,9.280133574124655e-8,7.495654503090401e-8,5.414758367123716e-8,5.151295670246543e-8,201,201,201,201,201,201,201,201
8,173,1.6034244009517358e-7,2.1789854066575864e-7,2.6510324806101606e-7,3.2168273452484705e-7,1.3706614244003968e-6,1.1016991502083958e-6,7.951283720160767e-7,7.529506692315751e-7,1.2190609978639162e-8,1.6566519273339068e-8,2.0155426718366086e-8,2.4457085417478144e-8,1.0420945837991024e-7,8.376063533782419e-8,6.04524906845924e-8,5.724577932273694e-8,173,173,173,173,173,173,173,173
9,133,1.3139379034699755e-7,1.8425710650204913e-7,2.285068901244078e-7,2.7730799269120245e-7,1.200058684345661e-6,9.617611551269682e-7,7.01351381833214e-7,6.5406945436987e-7,1.1393286554344364e-8,1.5977117400359432e-8,1.9814060253182665e-8,2.4045652509126346e-8,1.0405828492101216e-7,8.339526859116278e-8,6.081487753270976e-8,5.6715014464531576e-8,133,133,133,133,133,133,133,133
10,58,5.851916476920252e-8,8.367078596798193e-8,1.0552210018178562e-7,1.2928395073885624e-7,5.665938252237383e-7,4.55813160541524e-7,3.2796440541864966e-7,3.100837698602667e-7,7.683942779774332e-9,1.0986512440025034e-8,1.3855730562736551e-8,1.6975814397531306e-8,7.439741407047417e-8,5.985120016122356e-8,4.306383618048275e-8,4.0715993708046765e-8,58,58,58,58,58,58,58,58
11,74,8.076136019167585e-8,1.1630656609430993e-7,1.482356697333688e-7,1.835619050256907e-7,7.99945262676498e-7,6.479949629358537e-7,4.6995468795561146e-7,4.4283021629014096e-7,9.388317424021402e-9,1.3520363678865482e-8,1.7232046584112762e-8,2.1338638022553758e-8,9.299174791044717e-8,7.532788435918169e-8,5.4631122791428246e-8,5.1477967008143665e-8,74,74,74,74,74,74,74,74
12,54,6.63947794211076e-8,9.792066097121766e-8,1.27563174884131e-7,1.5865416429775347e-7,6.974377107523273e-7,5.609418845094897e-7,4.057546478467401e-7,3.789704173755608e-7,9.035185064797485e-9,1.3325314147530371e-8,1.7359149357529756e-8,2.1590097116510233e-8,9.490925103988927e-8,7.633452180019227e-8,5.5216213777066135e-8,5.157134167664978e-8,54,54,54,54,54,54,54,54
13,31,4.547595251458933e-8,6.800087820796744e-8,8.912423238224854e-8,1.1237711280597932e-7,5.008343672824935e-7,3.9564084649702905e-7,2.8830055237231635e-7,2.6759707689692935e-7,8.167722186338091e-9,1.2213318268627928e-8,1.6007184674918223e-8,2.0183525286414872e-8,8.995250780116095e-8,7.10591937292278e-8,5.178030778331592e-8,4.806185381755511e-8,31,31,31,31,31,31,31,31
14,13,2.4110712632314755e-8,3.6723744868168586e-8,4.8932231811610455e-8,6.079690105996858e-8,2.6502678274475823e-7,2.0724309682173133e-7,1.4739831566432184e-7,1.3903304218783164e-7,6.6871085141375536e-9,1.0185334242249182e-8,1.357135929381936e-8,1.6862026473925208e-8,7.350520419672929e-8,5.747889323666926e-8,4.0880937311133794e-8,3.856082789169039e-8,13,13,13,13,13,13,13,13
15,13,3.556067753560508e-8,5.296614259582508e-8,6.97850722088237e-8,8.718061409887293e-8,3.4962882040871145e-7,2.6461269616296366e-7,1.8253643512123517e-7,1.6880205273189905e-7,9.862757403451117e-9,1.4690164845598822e-8,1.9354896623913147e-8,2.4179551873840396e-8,9.696958764335381e-8,7.339035724264145e-8,5.062649819000148e-8,4.681726588680294e-8,13,13,13,13,13,13,13,13
