region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F444W,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F444W_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F444W_n_eff
1,181,2.839074174566945e-8,3.6815089796268504e-08,4.584467438156222e-8,6.026811009475205e-8,5.362317757464672e-8,4.496570171825278e-8,1.7763786121847864e-7,1.788763613020176e-7,1.6828326144842564e-7,1.6194716170081154e-7,1.620940110611348e-7,2.110267214717116e-9,2.7364440739130166e-9,3.4076078104422624e-9,4.479693343880895e-9,3.9857793994407234e-9,3.3422742869073443e-9,1.320371823955617e-8,1.3295775225778285e-8,1.2508396314599621e-8,1.2037437729355652e-8,1.2048352956346491e-8,181,181,181,181,181,181,181,181,181,181,181
2,164,1.2887097829936274e-7,1.4859747759084662e-7,1.6916783452992195e-7,1.816775436417293e-7,1.8726411740150635e-7,1.850853845683592e-7,6.361542233795095e-7,4.5771875098259095e-7,4.2965700775272657e-7,3.6624164543750815e-7,3.8500211119596144e-7,1.0063132739638199e-8,1.1603513541260177e-8,1.3209788554543571e-8,1.4186632720605136e-8,1.4622870840671412e-8,1.4452740389320005e-8,4.967529910325132e-8,3.5741829613952666e-8,3.355057561127265e-8,2.8598667764124347e-8,3.006361402026436e-8,164,164,164,164,164,164,164,164,164,164,164
3,317,4.1851169137635945e-7,4.7075018870092775e-7,5.357807029450185e-7,5.674891271509671e-7,5.884145535570792e-7,5.821511087166904e-7,1.9778857216347097e-6,1.3933474764307763e-6,1.3284648069820728e-6,1.161035746641643e-6,1.243836033054247e-6,2.350595842434438e-8,2.6439964741403964e-8,3.0092442308059766e-8,3.187336484008107e-8,3.3048653877995706e-8,3.2696863767838534e-8,1.1108912964402808e-7,7.825819093353305e-8,7.461401715787097e-8,6.521026425805055e-8,6.986079166276338e-8,317,317,317,317,317,317,317,317,317,317,317
4,340,5.721107376965279e-7,6.454291005267104e-7,7.252464691591615e-7,7.582475232789562e-7,7.888919832585617e-7,7.737411297568547e-7,2.656691532161161e-6,1.8924999663373442e-6,1.8063925856443988e-6,1.5878885024878491e-6,1.7089638039597529e-6,3.102706106286923e-8,3.500330756668568e-8,3.933201214651521e-8,4.112174559119153e-8,4.278367477443686e-8,4.1962004377819685e-8,1.4407932758866693e-7,1.0263522102983787e-7,9.796539265101638e-8,8.611534495241736e-8,9.268157509712534e-8,340,340,340,340,340,340,340,340,340,340,340
5,319,6.789188445240119e-7,7.701049536923148e-7,8.738936660873471e-7,9.131187987829326e-7,9.572784634397865e-7,9.38419412271235e-7,3.256578158170233e-6,2.2857550174143837e-6,2.1967806330471317e-6,1.94252346785375e-6,2.1217111736668806e-6,3.801215765957963e-8,4.31175996222332e-8,4.892865190140617e-8,5.112483770515696e-8,5.3597304257926414e-8,5.2541400106625886e-8,1.823333722101923e-7,1.279777116130082e-7,1.2299610246559498e-7,1.08760434200731e-7,1.1879301965474425e-7,319,319,319,319,319,319,319,319,319,319,319
6,145,4.146190611303196e-7,4.596600466227858e-7,5.207123113433782e-7,5.47199863343906e-7,5.677247227735651e-7,5.600835683165425e-7,1.93622096180305e-6,1.3489375167983388e-6,1.303178228727193e-6,1.1574580019617807e-6,1.271913195246721e-6,3.4432238888074536e-8,3.8172689141381734e-8,4.3242803761260894e-8,4.544247522729561e-8,4.714697202756221e-8,4.651240868904222e-8,1.607943988758042e-7,1.1202316337523045e-7,1.0822306133959664e-7,9.612165518346718e-8,1.056266416315676e-7,145,145,145,145,145,145,145,145,145,145,145
7,116,4.112409425060658e-7,4.441315791628473e-7,5.026005295578948e-7,5.275357892986527e-7,5.434354678487021e-7,5.351970612182324e-7,1.8454354524194223e-6,1.2859721368336913e-6,1.2333333170209147e-6,1.0973403614605393e-6,1.2199359589599852e-6,3.818276294545672e-8,4.1236581893876506e-8,4.6665287652109315e-8,4.898046839715565e-8,5.045671648978456e-8,4.9691799637142006e-8,1.713443802104727e-7,1.1939951541779917e-7,1.1451212369461192e-7,1.0188549475837158e-7,1.1326821022671027e-7,116,116,116,116,116,116,116,116,116,116,116
8,72,2.747815388440688e-7,3.236348600698717e-7,3.686188284327104e-7,3.855884526705616e-7,4.0469352424311013e-7,4.0112412705943437e-7,1.340680137878838e-6,9.52141995427615e-7,8.983887368456452e-7,7.889344316765171e-7,8.311959672019424e-7,3.238331491025263e-8,3.814073403062762e-8,4.3442145542968345e-8,4.544203493843038e-8,4.769358921576428e-8,4.7272931723543396e-08,1.5800066948270698e-7,1.1221101026989288e-7,1.0587612799419542e-7,9.297681442500337e-8,9.795738415056745e-8,72,72,72,72,72,72,72,72,72,72,72
9,62,2.7425359271755937e-7,3.2456727870356497e-7,3.7453819148502766e-7,3.9472481399983273e-7,4.13066989111471e-7,4.075572882621951e-7,1.3874774956705099e-6,9.696889007116667e-7,9.288344657473126e-7,8.175856733362491e-7,8.705706691766192e-7,3.483024110538856e-8,4.122008561545897e-8,4.7566397885020186e-8,5.0130101508105335e-8,5.245956007674312e-8,5.175982736915203e-8,1.76209818160061e-7,1.231506135410568e-7,1.1796209511206278e-7,1.038334843472399e-7,1.1056258554807146e-7,62,62,62,62,62,62,62,62,62,62,62
10,42,2.105461315085749e-7,2.4993081726363404e-7,2.9152316406611716e-7,3.0848659381638646e-7,3.2412209451569197e-7,3.1924741238121786e-7,1.100125415344743e-6,7.748379099495302e-7,7.443935167910708e-7,6.573652958979884e-7,7.044735694027804e-7,3.248797341333225e-8,3.8565162362542165e-8,4.4983000806950415e-8,4.7600514844263574e-8,5.0013124980501046e-8,4.926094519715133e-8,1.697530369661316e-7,1.195600851828382e-7,1.1486241333092494e-7,1.014336673058814e-7,1.0870263171860127e-7,42,42,42,42,42,42,42,42,42,42,42
