region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F444W,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F444W_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F444W_n_eff
1,757,9.709463482802004e-8,1.5752217634363457e-7,2.132419556323951e-7,2.6048127784799003e-7,2.804379423870431e-7,2.9442163650304325e-7,1.4018854211849643e-6,1.60825684386616e-6,1.5583787377952e-6,1.422042257393039e-6,1.3156414013160143e-6,3.5289645276248616e-9,5.7252408808744285e-9,7.750410705606877e-9,9.467353075318193e-9,1.0192690385384509e-8,1.0700936392879456e-8,5.095239229148931e-8,5.845308922955788e-8,5.6640238629302764e-8,5.168500496461419e-8,4.7817800072502276e-8,757,757,757,757,757,757,757,757,757,757,757
2,281,6.973110141029618e-8,1.2509240696409355e-7,1.8814019121468203e-7,2.3225827027177448e-7,2.577671485327452e-7,2.81945542730626e-7,1.3539273935596792e-6,1.5846556541354324e-6,1.5420664027371371e-6,1.4341171136522072e-6,1.3187565082353286e-6,4.159808758903621e-9,7.462387365714811e-9,1.1223502848631e-8,1.3855366794216082e-8,1.5377098891855434e-8,1.681946096453765e-8,8.076853680411672e-8,9.453263087201707e-8,9.199196913831875e-8,8.555225444615118e-8,7.867041768837556e-8,281,281,281,281,281,281,281,281,281,281,281
3,109,4.0502894600119906e-8,7.693609414694144e-8,1.2006210962385155e-7,1.547695115373325e-7,1.733899458316811e-7,1.904121070186614e-7,9.527972739983612e-7,1.1536081808825587e-6,1.1268804192629713e-6,1.0618225735478734e-6,9.86805850866492e-7,3.879473707553668e-9,7.369141325618969e-9,1.1499864445682838e-8,1.4824230630129531e-8,1.6607744771065576e-8,1.8238172112681676e-8,9.126142735226899e-8,1.1049562384954712e-7,1.0793556858711053e-7,1.0170415711853224e-7,9.451885823699494e-8,109,109,109,109,109,109,109,109,109,109,109
4,211,9.237172348457808e-8,1.8438267004970282e-7,2.9926673380931924e-7,3.9304990089035836e-7,4.4684390344399966e-7,4.881091481155359e-7,2.5178024167338263e-6,3.081799607339169e-6,3.005682616291153e-6,2.848755265526608e-6,2.6601352191505492e-6,6.359131695589796e-9,1.2693426483769114e-8,2.0602371598276007e-8,2.7058671078250504e-8,3.076200293963568e-8,3.3602819538243855e-8,1.7333266661585874e-7,2.1215983445148788e-7,2.0691972468535173e-7,1.9611640032907982e-7,1.8313126082874486e-7,211,211,211,211,211,211,211,211,211,211,211
5,156,8.822314078405513e-8,1.7520494604401856e-7,2.91106685900963e-7,3.813655604006904e-7,4.388246517207039e-7,4.80793992791373e-7,2.5373479461430413e-6,3.1105574094944295e-6,3.0285691761610647e-6,2.885026155680545e-6,2.6939332937904318e-6,7.063504328318519e-9,1.4027622273774297e-8,2.3307188086819294e-8,3.05336815559025e-8,3.5134090662098336e-8,3.849432721312946e-8,2.0315042108850743e-7,2.4904390764353873e-7,2.424795954248325e-7,2.3098695599425675e-7,2.156872824043596e-7,156,156,156,156,156,156,156,156,156,156,156
6,99,7.152373540001687e-8,1.3948099972360751e-7,2.278714938795826e-7,2.995149211935198e-7,3.443528744533781e-7,3.788632118667576e-7,1.9727912413998185e-6,2.422423036090662e-6,2.347948338981015e-6,2.2440316891639438e-6,2.0910403716538616e-6,7.188405876561093e-9,1.4018367923238526e-8,2.2901946836858862e-8,3.010238220338702e-8,3.460876606188529e-8,3.8077185473665404e-8,1.9827297992189824e-7,2.434626755826146e-7,2.3597768689509756e-7,2.2553367062497691e-7,2.1015746467458075e-7,99,99,99,99,99,99,99,99,99,99,99
7,123,1.0906393072499754e-7,2.1228629702401835e-7,3.487586400249562e-7,4.6076197646450453e-7,5.325008647082068e-7,5.823138794266006e-7,3.0515398859573214e-6,3.736777548751965e-6,3.6475944399377733e-6,3.4732495498415926e-6,3.2298248171556373e-6,9.833963457220266e-9,1.9141210788254866e-8,3.1446507553841276e-8,4.154550829873938e-8,4.8013986014154064e-8,5.2505474292435814e-8,2.751480854144236e-7,3.3693388472166476e-7,3.288925146073649e-7,3.131723652714492e-7,2.9122349629245296e-7,123,123,123,123,123,123,123,123,123,123,123
8,71,6.788924762895194e-8,1.3502850701999087e-7,2.2876585092429197e-7,3.114831823098952e-7,3.577901252384109e-7,3.9472451083850516e-7,2.1071604967395684e-6,2.609353692570877e-6,2.549484708342221e-6,2.4650995445604863e-6,2.2882072615959854e-6,8.056971387462071e-9,1.602493554646251e-8,2.7149511589805907e-8,3.696625276012357e-8,4.246187581158277e-8,4.684518095026788e-8,2.5007394284011684e-7,3.0967331020835193e-7,3.0256816897062534e-7,2.9255349251064067e-7,2.7156024082080997e-7,71,71,71,71,71,71,71,71,71,71,71
9,106,9.922757077360368e-8,2.097599562102089e-7,3.7841672488068106e-7,5.257814703916585e-7,6.231119947942862e-7,6.885850988394153e-7,3.843433122687635e-6,4.81148781783386e-6,4.7401357389166264e-6,4.628071434540713e-6,4.289862508826258e-6,9.637833664845611e-9,2.0373687995565472e-8,3.6755081495614386e-8,5.106841088808324e-8,6.052198712089234e-8,6.688129715326034e-8,3.7330722549821323e-7,4.6733300943662314e-7,4.604026828864123e-7,4.4951803543488973e-7,4.1666828062794083e-7,106,106,106,106,106,106,106,106,106,106,106
10,54,4.7830196310376445e-8,1.1067722666659903e-7,2.1076645597007534e-7,3.055256633335071e-7,3.6458593411499005e-7,4.021794369608764e-7,2.3353980158910306e-6,2.9698388050779384e-6,2.9225392435918394e-6,2.8561279057227863e-6,2.655886740585708e-6,6.5088652920873845e-9,1.506126285997351e-8,2.8681681778970104e-8,4.157677658291401e-8,4.961386144320509e-8,5.472968919966558e-8,3.1780741584673697e-7,4.0414387170877e-7,3.9770721666997325e-7,3.886697782858203e-7,3.6142040716991884e-7,54,54,54,54,54,54,54,54,54,54,54
11,47,7.216409486770498e-8,1.4393382276040682e-7,2.4995083658700887e-7,3.5206050587996535e-7,4.1297666280571436e-7,4.578693035113915e-7,2.5708216476278474e-6,3.2469573068481366e-6,3.193683567042294e-6,3.115008473382034e-6,2.8732683134222237e-6,1.0526215084331044e-8,2.0994905833206203e-8,3.645907665365568e-8,5.135330269692561e-8,6.02388374089844e-8,6.678710206383603e-8,3.749928777738392e-7,4.736173999574301e-7,4.6584662635358977e-7,4.5437068448573984e-7,4.1910925810850255e-7,47,47,47,47,47,47,47,47,47,47,47
12,29,4.581968247623033e-8,1.0097275443015793e-7,1.8723571054298973e-7,2.7070331468348006e-7,3.213213551015781e-7,3.5740702866954904e-7,2.0556074762334e-6,2.5819760465663387e-6,2.5529290819091133e-6,2.4762385177674982e-6,2.3084002065743624e-6,8.50850143258873e-9,1.875016978057659e-8,3.476879858810108e-8,5.0268343565797724e-8,5.966787769909612e-8,6.636881905564719e-8,3.817167254584373e-7,4.794609151321837e-7,4.7406702920714337e-7,4.5982594896387725e-7,4.286591570078026e-7,29,29,29,29,29,29,29,29,29,29,29
13,21,5.268091950683462e-8,1.1171908181661751e-7,1.992388498121082e-7,2.816746598585109e-7,3.352049681651014e-7,3.7069301993665585e-7,2.0734851837654254e-6,2.5770751190935822e-6,2.531431160051886e-6,2.4692422009154548e-6,2.293276186016514e-6,1.1495919110473587e-8,2.4379102333124495e-8,4.3477481459044e-8,6.146645000726502e-8,7.314772094961142e-8,8.08918487357857e-8,4.5247156223688015e-7,5.623638954682703e-7,5.524035670241733e-7,5.38832823565449e-7,5.00433891040967e-7,21,21,21,21,21,21,21,21,21,21,21
14,13,4.6939064379129176e-8,9.870653831450281e-8,1.7252106220816735e-7,2.4204085710149736e-7,2.872291177791541e-7,3.136523264970864e-7,1.7274721336652419e-6,2.1272002887885923e-6,2.1104572581953683e-6,2.044831361751822e-6,1.862028350824596e-6,1.301855411086581e-8,2.7376268085883902e-8,4.784873352992769e-8,6.713005546436161e-8,7.966302399684812e-8,8.699150352721672e-8,4.791145657588625e-7,5.899792088006982e-7,5.853355276229649e-7,5.671341788056191e-7,5.164337457896715e-7,13,13,13,13,13,13,13,13,13,13,13
15,9,4.151142664755248e-8,9.616710559776638e-8,1.7142286749820205e-7,2.419486907419811e-7,2.8124907854619776e-7,3.0857533338852876e-7,1.5549103736845352e-6,1.8901560592456202e-6,1.839029979708015e-6,1.7456011009074849e-6,1.5881752014042723e-6,1.383714221585083e-8,3.205570186592213e-8,5.7140955832734016e-8,8.064956358066036e-8,9.37496928487326e-8,1.0285844446284292e-7,5.18303457894845e-7,6.300520197485401e-7,6.13009993236005e-7,5.818670336358283e-7,5.293917338014242e-7,9,9,9,9,9,9,9,9,9,9,9
